Yiddish	Proto-Germanic	probability
b	b	0.624
b	β	0.246
b	β_ɑ	0.127
d	θ	0.684
d	d	0.187
d	-	0.086
d	ð	0.045
f	ɸ	0.77
f	p_ɑ	0.111
f	p_ɑ̃	0.059
f	p	0.051
h	x	0.937
h	k	0.063
j	j	1.0
k	k	0.566
k	ɣ	0.184
k	x	0.078
k	kʷ	0.052
k	s	0.045
l	l	0.761
l	l_i	0.092
l	lː	0.072
l	x_l	0.042
l	w	0.03
m	m	0.691
m	m_ɑ	0.252
m	mː	0.052
n	n	0.429
n	n_ɑ̃	0.353
n	nː	0.068
n	u_n	0.051
n	-	0.044
p	pː	0.457
p	p	0.347
p	β	0.149
s	t	0.423
s	t_ɑ	0.322
s	s	0.247
t	d	0.307
t	t	0.189
t	ð_ɑ̃	0.094
t	ð	0.077
t	ð_ɑ	0.068
v	w	0.8
v	xʷ	0.11
v	x	0.047
v	ɸ	0.041
z	s	0.868
z	s_ɑ̃	0.129
ŋ	ŋ	0.874
ŋ	n	0.108
ə	ɑ	0.244
ə	ɛː	0.164
ə	-	0.09
ə	e	0.077
ə	i_j	0.077
ə_ʀ	ɔː	0.891
ə_ʀ	r	0.069
ɛ	ɑ	0.66
ɛ	ɔːː	0.16
ɡ	ɣ	0.648
ɡ	ɡ	0.253
ɡ	x	0.048
ɡ	ɡʷ	0.036
ɡ	-	0.033
ɪ	ɑ	0.304
ɪ	i	0.201
ɪ	ˈi	0.201
ʀ	r	0.741
ʀ	z	0.137
ʀ	r_ɑ̃	0.068
ʀ	-	0.034
ʀ_ə	r	1.0
ʀ_ɛ	r	1.0
ʁ	r	0.699
ʁ	θ	0.21
ʃ	s	0.579
ʃ	s_k	0.417
ʎ	l	1.0
ʦ	t	1.0
ʧ	s_k	0.493
ˈa	ˈɑ	0.926
ˈa	ˈe	0.046
ˈa	ɑi̯	0.035
ˈaɪ̯	ˈiː	0.508
ˈaɪ̯	ˈiu̯	0.159
ˈaɪ̯	ˈi_j	0.115
ˈaɪ̯	ˈĩː	0.066
ˈaɪ̯	w	0.055
ˈi	ˈu	1.0
ˈɔ	ˈu	0.412
ˈɔ	ˈɑ	0.392
ˈɔ	ˈɛː	0.164
ˈɔ	ˈe	0.035
ˈɔɪ̯	ˈɑu̯	0.489
ˈɔɪ̯	ˈuː	0.277
ˈɔɪ̯	ˈu	0.183
ˈɔɪ̯	ɔ̃ː	0.043
ˈɛ	ˈe	0.555
ˈɛ	ˈɑ	0.267
ˈɛ	ˈu	0.064
ˈɛ	ˈi	0.042
ˈɛ	ˈɑi̯	0.042
ˈɛɪ̯	ˈɑi̯	0.935
ˈɛɪ̯	ˈɑu̯	0.057
ˈɪ	ˈi	0.444
ˈɪ	ˈe	0.162
ˈɪ	ˈeu̯	0.16
ˈɪ	ˈu	0.115
ˈɪ	ˈɔː	0.089
ˈʊ	ˈu	0.52
ˈʊ	ˈɔː	0.336
ˈʊ	ˈuː	0.064
ˈʊ	ˈɑu̯	0.043
ˈʊ	ˈeu̯	0.043
χ	x	0.626
χ	ɑ_z	0.119
χ	k_s	0.104
χ	z	0.078
χ	k	0.063
