Yiddish	Proto-Germanic	probability
a	ɔː	1.0
b	b	0.603
b	β	0.39
d	θ	0.682
d	d	0.23
d	-	0.052
f	ɸ	0.689
f	p	0.21
h	x	0.956
j	j	1.0
k	k	0.581
k	ɣ	0.159
k	kː	0.098
l	l	0.922
m	m	0.92
n	n	0.87
n	nː	0.069
p	p	0.672
p	pː	0.233
p	β	0.095
s	t	0.783
s	s	0.217
t	d	0.331
t	ð	0.286
t	t	0.277
t	θ	0.089
v	w	0.91
v	xʷ	0.078
z	s	1.0
ŋ	ŋ	0.908
ŋ	x	0.092
ə	ɑ	0.239
ə	ɛː	0.161
ə	j_ɑ	0.128
ə	i	0.099
ə	ɔː	0.068
ə	e	0.068
ə	u	0.059
ə	r_ɑ	0.056
ɛ	ɔːː	0.831
ɛ	ɑ	0.169
ɡ	ɣ	0.743
ɡ	ɡ	0.175
ɪ	ɑ	0.602
ɪ	i	0.398
ʀ	r	0.677
ʀ	z	0.179
ʀ	-	0.056
ʃ	s	1.0
ʦ	t	0.958
ʧ	s	1.0
ˈa	ˈɑ	0.834
ˈa	ˈe	0.088
ˈa	ˈu	0.05
ˈaɪ̯	ˈiː	0.395
ˈaɪ̯	ˈi	0.21
ˈaɪ̯	ˈiu̯	0.128
ˈaɪ̯	w	0.075
ˈaɪ̯	ˈeu̯	0.053
ˈɔ	ˈu	0.431
ˈɔ	ˈɑ	0.29
ˈɔ	ˈɛː	0.201
ˈɔɪ̯	ˈɑu̯	0.486
ˈɔɪ̯	ˈuː	0.322
ˈɔɪ̯	ˈu	0.131
ˈɛ	ˈe	0.503
ˈɛ	ˈɑ	0.284
ˈɛ	ˈu	0.111
ˈɛ	ˈɑu̯	0.052
ˈɛɪ̯	ˈɑi̯	0.745
ˈɛɪ̯	ˈɑu̯	0.119
ˈɛɪ̯	ɑ	0.06
ˈɪ	ˈi	0.562
ˈɪ	ˈe	0.116
ˈɪ	ˈu	0.11
ˈɪ	ˈeu̯	0.09
ˈɪ	ˈɔː	0.054
ˈʊ	ˈu	0.657
ˈʊ	ˈɔː	0.221
ˈʊ	ˈe	0.053
χ	x	0.471
χ	k	0.362
χ	z	0.167
