Alsatian	Proto-Germanic	probability
b̥	b	0.903
b̥	β	0.087
d̥	θ	0.449
d̥	d	0.332
d̥	d_ɑ	0.162
d̥	-	0.054
e	m	0.12
f	ɸ	0.809
f	p	0.162
h	x	1.0
i	u	0.304
i	i	0.265
i	ɑ_ɣ	0.2
i	ɣ_ɑ	0.107
i	ɑ	0.08
j	ɣ	0.638
j	j	0.33
k	ɣ_j	0.382
k	x	0.325
k	k	0.111
k	ɣ	0.08
k	s	0.059
kʰ	k	0.97
l	l	0.686
l	l_ɑ	0.126
l	lː	0.089
l	ɑ_l	0.054
m	m	0.69
m	m_ɑ	0.168
n	n	0.827
n	nː	0.092
p͡f	pː	0.325
p͡f	p	0.283
p͡f	β	0.052
s	s	0.588
s	t	0.227
s	t_ɑ	0.095
t	t	0.238
t	d	0.184
t	ð	0.144
t	ð_ɑ̃	0.123
t	θ	0.075
t	ð_ɑ	0.069
t	ð_i	0.057
t	-	0.052
v	β	0.517
v	ɣ	0.45
w	w	1.0
x	x	0.833
x	ɣ	0.107
ŋ	ŋ_ɡ	0.692
ŋ	ŋ	0.15
ŋ	n	0.08
ŋ_ə	ŋ	1.0
ə	ɑ_n	0.383
ə	ɛː	0.138
ə	-	0.108
ə	i	0.103
ə	i_j	0.074
ɡ̊	ɣ	0.879
ɡ̊	k	0.118
ʁ	r	0.789
ʁ	z	0.068
ʁ	r_ɑ	0.051
ʃ	s	0.425
ʃ	s_k	0.268
ʃ	k_s	0.102
ʋ	w	0.749
ʋ	xʷ	0.182
ʋ	ɔːː	0.066
ʦ	t	1.0
ˈai̯	ˈɑu̯	1.0
ˈaː	ˈɑ	1.0
ˈe	ˈe	0.472
ˈe	ˈɑ	0.337
ˈe	ˈu	0.096
ˈe	ˈi	0.07
ˈei̯	ˈe	0.379
ˈei̯	ˈiː	0.187
ˈei̯	j	0.106
ˈei̯	ˈiu̯	0.106
ˈeː	ˈɑu̯	0.307
ˈeː	ˈɑi̯_w	0.226
ˈeː	ˈe	0.176
ˈeː	ˈɑi̯	0.115
ˈeː	ˈiː	0.059
ˈi	ˈi	0.734
ˈi	ˈe	0.142
ˈi	ˈu	0.074
ˈiː	ˈiː	0.268
ˈiː	ˈɔː	0.242
ˈiː	ˈeu̯	0.228
ˈiː	ˈe	0.136
ˈiː	ˈiu̯	0.068
ˈiː	ˈuː	0.057
ˈo	ˈu	0.979
ˈoː	ˈɑu̯	0.51
ˈoː	ˈɛː	0.268
ˈoː	ˈu	0.159
ˈoː	ˈe	0.056
ˈu	ˈu	0.859
ˈu	ˈeu̯	0.079
ˈu	ˈɑu̯	0.058
ˈyː	ˈuː	0.956
ˈæ	ˈe	0.826
ˈæ	ˈi	0.142
ˈæː	ˈe	0.903
ˈæː	ˈɑ	0.066
ˈø	ˈu	0.493
ˈøi̯	ˈuː	1.0
ˈøː	ˈɔː	1.0
ˈœ	ˈɑu̯	1.0
ˈɒ	ˈɑ	0.951
ˈɒː	ˈɑ	0.862
ˈɒː	ˈɛː	0.118
ˈɔi̯	ɔ̃ː	1.0
ˈəi̯	ˈɑi̯	1.0
ˈɛ	ˈɑ	0.574
ˈɛ	ˈe	0.283
ˈʊː	ˈɔː	0.593
ˈʊː	ˈɑu̯	0.274
ˈʊː	ˈuː	0.11
