Megleno-Romanian	Logudorese	probability
b	b	1.0
f	f	1.0
m	m	1.0
o̯ˈa	ˈo	1.0
v	b	1.0
w	-	1.0
ŋ	ŋ	1.0
ɲ	-	1.0
ʃ	s	1.0
ʧ	k	1.0
ˈɔ	ˈa	1.0
n	n_u	0.091
ə	u	0.101
ʦ	ɣ	0.081
ˈo	ˈo	0.711
ˈu	ˈu	0.591
n	nː	0.122
p	p	0.872
z	-	0.572
ɡ	b	0.092
ʎ	ʣ	0.232
ʦ	-	0.32
i	u	0.063
l	r	0.183
l	-	0.343
r	rː	0.173
t	t	0.653
ʎ	l	0.103
d	-	0.064
e̯ˈa	ˈi	0.614
i	e	0.784
j	<#_i	0.074
l	l	0.474
r	-	0.074
ə	a	0.84
ˈe	ˈi	0.244
ˈi	i	0.124
ˈi	ˈi	0.354
k	ɣ	0.135
r	r	0.655
ˈa	ˈe	0.335
ˈa	ˈa	0.665
d	d	0.936
e̯ˈa	ˈe	0.386
i	i	0.106
j	j	0.136
k	k	0.736
n	-	0.126
n	n	0.66
ʎ	r	0.616
ˈe	ˈe	0.756
ˈi	ˈe	0.496
p	β	0.07
t	ð	0.347
ʦ	t	0.17
p	b	0.058
r	l	0.068
s	s	0.948
u	u	0.658
z	d	0.428
ɡ	ɡ	0.908
j	-	0.79
k	ɣ_u	0.129
u	o	0.299
ə	e	0.059
ʦ	k	0.429
ˈo	ˈu	0.289
ˈu	ˈo	0.409
