Bokmål Norwegian	North Frisian	probability
b	b	1.0
f	f	1.0
h	h	1.0
i	i	1.0
kʰ	k	1.0
m	m	1.0
mː	m	1.0
p	p	1.0
pʰ	p	1.0
sː	s	1.0
ç	ʃ	1.0
ŋ	ŋ	1.0
ŋː	ŋ	1.0
ɡː	-	1.0
ɪ	i	1.0
ʈ	t	1.0
ˈyː	ˈiː	1.0
ˈæɪ̯	ˈiː	1.0
ˈæː	ˈeː	1.0
ˈʊ	ˈœ	1.0
j	j	0.491
kː	ŋ_k	0.761
l	ə_l	0.1
l	l	0.891
lː	l_ə	0.101
n	n	0.951
nː	n	0.871
tʰ	d	0.061
ə	ə	0.981
ʋ	v	0.851
ˈeː	ˈiː	0.801
ˈuː	ˈœ	0.131
ˈœ	ˈʏ	0.301
ˈɑ	n_#>	0.061
ˈɑ	ˈɔː	0.081
ˈɑ	d_#>	0.081
ˈʏ	ˈʊ	0.241
d	-	0.112
ɾ	r	0.932
ʂ	s	0.2
ˈoː	ˈɛi̯	0.052
ˈɑ	ˈɒ	0.2
ˈɛ	ˈa	0.292
lː	l	0.793
t	t	0.613
tː	x_t	0.453
ɳ	r_n	0.893
ˈøː	ˈiː	0.053
ˈøː	ˈɛ	0.133
ˈɪ	ˈa	0.283
ˈʉ	ˈʊ	0.893
k	x	0.084
ˈiː	ˈiː	0.114
ˈuː	ˈɔu̯	0.144
ˈuː	ˈɔ	0.584
ˈœ	ˈiː	0.224
ˈɑ	ə_#>	0.054
ˈɔ	ˈɔ	0.614
ˈɛ	ˈɒ	0.054
ˈɛ	ˈeː	0.124
ˈɛ	ˈɒː	0.194
ˈɪ	ˈi	0.504
ˈʏ	ˈeː	0.424
k	k_ə	0.05
k	k	0.865
t	tʲ	0.25
ɡ	-	0.385
ˈiː	ə	0.205
ˈiː	ˈi	0.535
ˈoː	ˈɔu̯	0.215
ˈoː	ˈyː	0.285
ˈuː	ˈœi̯	0.055
ˈuː	ˈœ_dʲ	0.085
ˈœ	ˈaː	0.475
ˈɑ	ˈœ	0.225
ˈɑː	ˈeː	0.265
ˈɑː	ˈɒː	0.535
ˈɪ	ˈai̯	0.105
ˈʉː	ˈɔː	0.135
ˈʏ	ˈʏ	0.335
lː	lʲ	0.106
nː	nʲ	0.096
ʋ	-	0.126
ˈoː	ˈɛː	0.16
ˈøː	ˈuː	0.406
ˈɔ	ˈa	0.386
ˈɛ	ˈiː	0.336
t	z	0.137
tː	t	0.547
ɡ	j	0.147
ɳ	r	0.107
ˈiː	ˈeː	0.147
ˈɪ	ˈiː	0.107
ˈʉ	ˈyː	0.107
ˈʉː	ˈøː	0.287
ˈʉː	ˈyː	0.577
d	d	0.888
s	s	0.98
ɡ	ɡ	0.468
ɾ	-	0.068
ʂ	ʃ	0.8
ˈoː	ˈuː	0.288
ˈøː	ˈyː	0.408
ˈɑ	ˈʊ	0.068
j	-	0.509
kː	k	0.239
tʰ	t	0.939
ˈeː	ˈɛː	0.199
ˈɑː	ˈɒ	0.199
