American English	Nynorsk Norwegian	probability
b	b	1.0
d	d	0.599
d	-	0.352
d	n	0.035
d	tʰ	0.029
f	f	0.726
f	ʋ	0.171
f	-	0.067
f	ɡ	0.037
h	h	0.952
h	-	0.05
i	e	0.644
i	ɑ	0.234
j	ˈoː	0.488
j	ˈʊ	0.28
j	ɡ	0.167
k	k	0.738
k	ʰkː	0.143
k	ç	0.101
kʰ	kʰ	1.0
l	l	0.966
l	-	0.041
m	m	0.827
m	m_j	0.089
m	ʃ	0.044
m	mː	0.043
n	n	0.736
n	-	0.128
n	nː	0.098
n	ŋ	0.03
n_d	nː	1.0
oʊ̯	-	0.608
oʊ̯	j	0.254
p	p	0.891
p	-	0.079
pʰ	pʰ	1.0
s	s	0.913
s	ʃ	0.064
s	sː	0.029
t	t	0.554
t	ʰtː	0.225
t	t_ɑ	0.09
t	-	0.056
t	çː	0.042
tʰ	tʰ	0.912
tʰ	ç	0.071
v	ʋ	0.563
v	m	0.273
v	-	0.157
w	ʋ	0.476
w	-	0.141
w	ˈuː	0.111
w	kʰ_ʋ	0.093
w	ˈɔ	0.08
w_ˈɪ	ˈʏ	1.0
w_ˈʊ	ˈʉ	1.0
z	s_e	0.784
z	s	0.119
ð	d	0.74
ð	nː	0.129
ð_ɚ	ɾ	1.0
ŋ	ŋː	0.809
ŋ	ŋ	0.074
ŋ	ɲ	0.074
ŋ_k	ʰkː	1.0
ə	e	0.384
ə	ˈɛ	0.253
ə	ɑ	0.151
ə	-	0.095
ɚ	ɾ	0.301
ɚ	e_ɾ	0.242
ɚ	ɾ_e	0.156
ɚ	-	0.093
ɚ	ɾ_ɑ	0.063
ɡ	ɡ	0.667
ɡ	ɡː	0.099
ɡ	-	0.096
ɡ	j	0.096
ɪ	ɪ	0.574
ɪ	e	0.275
ɫ	l	0.668
ɫ	lː	0.17
ɫ	ɡ_l	0.157
ɫ_d	lː	1.0
ɹ	ɾ	0.988
ɹ	e	0.027
ɾ	t	1.0
ʃ	s_k	0.543
ʃ	ʃ	0.446
ʤ	ɡː	1.0
ʧ	ç	0.794
ʧ	k	0.158
ˈaɪ̯	ˈiː	0.252
ˈaɪ̯	ˈɛ	0.227
ˈaɪ̯	ˈʉː	0.111
ˈaɪ̯	ˈyː	0.106
ˈaɪ̯	ˈɪ	0.084
ˈaɪ̯_d	ˈiː	1.0
ˈaʊ̯	ˈʉː	0.618
ˈaʊ̯	ˈʊ	0.201
ˈaʊ̯	ˈʉ	0.175
ˈeɪ̯	ˈɑː	0.332
ˈeɪ̯	ˈɑ	0.227
ˈeɪ̯	ˈɛ	0.096
ˈeɪ̯	ˈoː	0.096
ˈeɪ̯	ˈeː	0.096
ˈi	ˈeː	0.175
ˈi	ˈøː	0.156
ˈi	ˈoː	0.122
ˈi	ˈœʏ̯	0.102
ˈi	ˈæʉ̯	0.096
ˈoʊ̯	ˈæɪ̯	0.424
ˈoʊ̯	ˈoː	0.167
ˈoʊ̯	ˈɑː	0.101
ˈoʊ̯	ˈɑ	0.101
ˈoʊ̯	ˈøː	0.077
ˈu	ˈuː	0.45
ˈu	ˈoː	0.268
ˈu	ˈyː	0.092
ˈu	-	0.092
ˈu	ˈɑ	0.063
ˈæ	ˈɑ	0.526
ˈæ	ˈɑː	0.172
ˈæ	ˈɛ	0.099
ˈæ	ˈʊ	0.075
ˈæ	ˈeː	0.058
ˈɑ	ˈɑ	0.541
ˈɑ	ˈɔ	0.103
ˈɑ	ˈɑː	0.103
ˈɑ	ˈʏ	0.075
ˈɑ	ˈʉː	0.075
ˈɔ	ˈʊ	0.263
ˈɔ	ˈɑ	0.195
ˈɔ	ˈɔ	0.17
ˈɔ	ˈɛː	0.112
ˈɔ	ˈiː	0.112
ˈɛ	ˈɛ	0.187
ˈɛ	ˈoː	0.139
ˈɛ	ˈøː	0.121
ˈɛ	ˈʉː	0.111
ˈɛ	-	0.103
ˈɛ_d	ˈæʉ̯	1.0
ˈɝ	ɾ	0.425
ˈɝ	ˈʏ	0.28
ˈɝ	ˈuː	0.28
ˈɪ	ˈɪ	0.276
ˈɪ	ˈiː	0.195
ˈɪ	ˈʏ	0.191
ˈɪ	ˈʊ	0.078
ˈɪ	ˈeː	0.068
ˈʊ	ˈuː	0.822
ˈʊ	ˈʉ	0.106
ˈʌ	ˈuː	0.338
ˈʌ	ˈɔ	0.183
ˈʌ	-	0.095
ˈʌ	ˈæɪ̯	0.075
ˈʌ	ˈɑː	0.073
θ	tʰ	0.444
θ	ç	0.173
θ	nː	0.131
θ	ɾ	0.099
θ	-	0.056
