Fuzhounese	Fuzhounese	probability
⁵⁵	¹¹	1.0
⁵³	¹¹	1.0
ɥ_ʔ	ʔ	1.0
ɥ_ŋ	ŋ	1.0
ɥ	j	1.0
ɛ_j	ə̃	1.0
ɑ_ŋ	æ̃	1.0
²⁴	²	1.0
²¹³	⁴⁵	1.0
w_ʔ	ʔ	1.0
w_ŋ	ɒ̃	1.0
w_o	ə̃	1.0
tʰ_o	tʰ͡x	1.0
tʰ	tʰ͡x	1.0
pʰ	-	1.0
o_w	u	1.0
l̃	l	1.0
k_j	ʨ	1.0
j_²⁴²	⁴⁵	1.0
j_e	z̩	1.0
e_ŋ	e	1.0
e_w	w	1.0
a_ŋ	æ̃	1.0
a_w	ə_w	1.0
a_j	ə	1.0
<#_ŋ	<#	1.0
<#	<#_x	1.0
³³	⁵³	0.958
ʔ	ʔ	0.81
⁵	²	0.8
ɑ	a	0.778
²⁴²	⁴⁵	0.75
kʰ	kʰ͡x	0.75
ŋ	ŋ	0.731
ʦʰ	ʦʰ	0.727
ø	ũ	0.667
s	s	0.667
nˡ	n	0.667
m	m	0.667
ɔ	-	0.636
h	x	0.636
ʦ	ʦ	0.6
e	a	0.6
a	a	0.6
u	-	0.556
w	w	0.448
ɛ	i	0.417
t	t	0.417
k	ʨ	0.417
k	k	0.417
j	j	0.407
y	y	0.4
y	-	0.4
o	ə	0.4
e	-	0.4
p	p	0.385
p	f	0.385
w	-	0.379
o_ŋ	ɒ̃	0.375
o_ŋ	e	0.375
i	z̩	0.364
i	ĩ	0.364
ɛ	-	0.333
ø	ə	0.333
t	ʦ	0.333
s	ɕ	0.333
nˡ	ʐ	0.333
m	v	0.333
ʦʰ	-	0.273
i	-	0.273
h	f	0.273
ɛ	j	0.25
²⁴²	⁵³	0.25
t	ʦʰ	0.25
o_ŋ	æ̃	0.25
kʰ	ʨʰ	0.25
p	pʰ͡x	0.231
ɑ	-	0.222
u	ə̃	0.222
u	u	0.222
j	ə	0.222
⁵	⁵⁴	0.2
ʦ	ʨʰ	0.2
ʦ	-	0.2
y	ỹ	0.2
o	ɤ	0.2
o	a_w	0.2
o	-	0.2
a	ĩ	0.2
ʔ	ə_ʔ	0.19
ɔ	ə	0.182
ɔ	ũ	0.182
w	ɥ	0.172
k	ʨʰ	0.167
j	-	0.148
a	ɣ	0.133
ŋ	æ̃	0.115
j	ɤ	0.111
j	a	0.111
h	h	0.091
ŋ	ɒ̃	0.077
ŋ	v	0.077
a	o	0.067
