Corsican	Sicilian	probability
ˈɔ_n	ˈɔ_n	1.0
ˈu_m	nː	1.0
ˈu	ˈu	1.0
ˈi	ˈi	1.0
ˈa_l	ˈa_w	1.0
ʧː	ʧː	1.0
ʧ	ɕ	1.0
ʦː	ʦː	1.0
ʦ	-	1.0
ʣ	ʦː	1.0
ʒ	z	1.0
ʎ	ɟː	1.0
ʃː	-	1.0
ʃ	ʃ	1.0
ŋ_ɟ	n_ɕ	1.0
ŋ	ŋ	1.0
z	z	1.0
w_e	ʊ	1.0
w	w	1.0
v_ˈɔ	v_ˈu	1.0
v	v	1.0
sː	sː	1.0
rː	ʐː	1.0
r_ˈa	r_ˈa	1.0
p_j	c	1.0
p	p	1.0
nː	nː	1.0
n_d	nː	1.0
mː	mː	1.0
l_ˈɛ	l_ˈi	1.0
l_ˈe	l_ˈɛ	1.0
l_e	l_ɪ	1.0
kː	kː	1.0
k	k	1.0
fː	r_ˈi	1.0
f_j	ç	1.0
f	f	1.0
dː	dː	1.0
c	cː	1.0
bː	ɟː	1.0
l	l	0.973
ˈa	ˈa	0.957
n	n	0.949
a	a	0.939
lː	ɖː	0.926
e	ɪ	0.92
m	m	0.917
ɲ	ɲː	0.912
tː	tː	0.892
t	t	0.876
u	ʊ	0.86
s	s	0.852
ɡ	ɡ	0.801
r_a	ɾ_a	0.745
ˈe	ˈɛ	0.727
r	ɾ	0.695
b	b	0.695
ˈo	ˈu	0.628
ˈɔ	ˈɔ	0.62
i	i	0.619
ɟ	j	0.584
ˈɛ	ˈi	0.535
j	-	0.464
d	ɾ	0.433
o	a	0.423
ˈɛ	ˈɛ	0.416
j	j	0.394
d	d	0.371
ɟ	ʤ	0.343
i	ɪ	0.323
o	o	0.288
o	-	0.288
ˈɔ	ˈu	0.287
r_a	r_a	0.255
ˈe	ˈi	0.212
ˈo	ˈɔ	0.201
ɡ	-	0.199
d	-	0.196
r	r	0.185
b	v	0.18
j	ˈi	0.142
ˈo	ˈo	0.138
b	bː	0.125
t	ʈ	0.124
tː	ʈː	0.108
s	ʃ	0.106
ˈɔ	ˈo	0.093
u	u	0.092
ɲ	ɲ	0.088
r	ɽ	0.088
m	mː	0.083
lː	lː	0.074
ɟ	ɟ	0.073
e	i	0.072
ˈe	ˈe	0.061
i	-	0.057
n	nː	0.051
