Friulian	Eastern Lombard	probability
b	b	1.0
c	k	1.0
p	p	1.0
s	s	1.0
z	z	1.0
ɟ	ʤ	1.0
ʤ	z	1.0
ˈaː	ˈa	1.0
ˈoː	ˈu	1.0
i	ˈi	0.1
i	-	0.411
t	ʧ	0.091
t	t	0.751
u	o	0.441
ŋ	ŋ	0.691
ˈe	-	0.071
ˈo	ˈu	0.171
ˈu	ˈy	0.241
ˈɛ	ˈɛ	0.251
a	e	0.412
d	d	0.932
j	l	0.202
l	j	0.102
n	-	0.082
t	t_e	0.092
u	-	0.452
ɡ	ɡ	0.842
ˈe	ˈe	0.462
ˈeː	ˈɛ	0.302
ˈeː	ˈi	0.532
ˈiː	ˈe	0.562
ˈo	ˈo	0.572
ˈɔ	ˈo	0.082
ˈɔ	ˈø	0.422
w	w	0.893
ɡ	-	0.083
ɲ	ɲ	0.903
ʧ	z	0.053
ˈuː	ˈy	0.463
ˈɛ	ˈe	0.363
a	a	0.554
i	ˈɛ	0.104
k	k	0.94
r	e_r	0.054
ˈi	ˈɛ	0.14
f	f	0.975
o	u	0.095
o	o	0.905
v	-	0.195
v	ʋ	0.805
ʧ	s	0.85
e	a	0.836
k	-	0.06
r	r	0.876
ˈo	e	0.056
ˈɔ	ˈɔ	0.496
ˈɛ	-	0.386
i	e	0.157
j	e	0.067
j	-	0.237
u	ø	0.107
w	o	0.107
ɲ	n	0.097
ʧ	-	0.097
ˈa	ˈa	0.87
ˈeː	ˈe	0.167
ˈo	ˈɔ	0.17
ˈuː	ˈø	0.537
e	e	0.08
j	j	0.408
n	n	0.888
ˈe	ˈi	0.088
ˈiː	ˈi	0.438
i	i	0.229
l	-	0.129
l	l	0.769
m	m	0.959
ŋ	n	0.309
ˈe	ˈɛ	0.379
ˈi	ˈe	0.359
ˈi	ˈi	0.459
ˈu	ˈø	0.759
