Alsatian	Old West Norse	probability
ˈɛ	-	1.0
ˈəi̯	ˈɛi̯	1.0
ˈœ	ˈɑu̯	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈo_ɣ	1.0
ˈæː	-	1.0
ˈæ	ˈe	1.0
ˈyː	ˈuː	1.0
ˈeː_ʁ	ˈeː_r̥	1.0
ˈaː	-	1.0
ˈai̯	ˈøy̯	1.0
ʃ_t	s_t	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
x	-	1.0
w	v	1.0
n_d̥	nː	1.0
h_ˈæ	ç	1.0
h	h	1.0
f_ə	p_ɑ	1.0
eː	ɑː	1.0
e	mː	1.0
ʁ	r	0.89
b̥	b	0.856
m	m	0.844
ˈeː	-	0.815
ɡ̊	ɡ	0.778
l	l	0.761
kʰ	kʰ	0.726
f	f	0.725
ˈɒ	ˈɑ	0.717
ˈu	ˈu	0.645
ˈo	ˈo	0.64
ˈɒː	ˈɑ	0.614
ə	ɑ	0.593
i	-	0.592
ʦ	tʰ	0.585
ˈei̯	-	0.579
t	ð	0.567
n	n	0.541
ˈoː	ˈɑː	0.529
d̥	d	0.518
s	t	0.515
ˈi	ˈi	0.512
j	ˈuː_ɣ	0.5
j	ɣ	0.5
s	s	0.485
ˈʊː	ˈoː	0.451
ə_ʁ	r	0.429
k	-	0.426
ˈei̯	ˈɛi̯	0.421
i	u	0.408
k	ɡː	0.379
ˈo	ˈu	0.36
d̥	θ	0.341
ə	i	0.332
ʋ	x_w	0.323
ʦ	tː	0.292
t	d	0.292
ə_ʁ	ɡ	0.286
ə_ʁ	r̥	0.286
ˈe	ˈe	0.281
ˈʊː	-	0.277
ˈoː	-	0.274
ˈiː	ˈiː	0.274
kʰ	cʰ	0.274
ʋ	ɣ	0.271
ʃ	k	0.256
ˈe	-	0.254
ʋ	v	0.254
ˈu	ˈo	0.24
ˈɒː	-	0.228
l	lː	0.223
ɡ̊	ɟ	0.222
ˈi	-	0.206
ʃ	-	0.198
k	cː	0.194
ʃ	c	0.193
ʃ	s	0.188
ˈe	j	0.187
ˈeː	ˈɛː	0.185
ˈɒ	ˈa	0.177
ˈʊː	ˈɑu̯	0.165
ʃ	s_k	0.165
ˈiː	j_ˈoː	0.161
ˈiː	ˈyː	0.159
ˈɒː	ˈɑː	0.158
m	-	0.156
ˈi	ˈyː	0.153
ˈoː	ˈɑu̯	0.152
ˈiː	ˈøː	0.152
ʋ	ʝː	0.152
ˈe	e	0.146
b̥	v	0.144
ˈiː	-	0.143
n	-	0.142
f	v	0.142
n	nː	0.138
ˈe	ˈɛ	0.132
ˈi	ˈe	0.128
ʦ	t	0.123
ˈu	ˈy	0.116
f	p	0.116
ˈiː	j	0.11
ˈʊː	ˈɔː	0.107
ˈɒ	ˈɔ	0.107
t	tː	0.101
d̥	ð	0.099
ʁ	r̥ː	0.082
ə	a	0.075
n	u	0.065
n	s	0.058
