Corsican	Aragonese	probability
c	ʎ	1.0
f	f	1.0
kː	k	1.0
o	o	1.0
s	s	1.0
sː	ʃ	1.0
z	s	1.0
ŋ	ŋ	1.0
ʃː	ʃ	1.0
ʎ	ʎ	1.0
ʤ	-	1.0
ʧ	θ	1.0
ʧː	-	1.0
e	w	0.051
e	a	0.101
e	ˈe	0.11
e	-	0.221
i	-	0.11
k	-	0.091
k	k	0.71
n	n	0.951
r	ɾ	0.831
ʃ	ʃ	0.401
ˈe	ˈe	0.551
ˈi	ˈi	0.911
e	ˈa	0.052
j	-	0.112
m	m_b	0.082
p	β	0.172
r	-	0.082
u	o	0.792
w	w	0.622
ɟ	-	0.072
ɲ	n	0.132
ˈu	ˈu	0.972
j	ɾ	0.093
t	t	0.483
a	a	0.94
b	b	0.684
e	o	0.054
lː	-	0.054
lː	ʎ	0.54
tː	t	0.694
v	b	0.634
ɡ	ɣ	0.14
d	ð	0.125
ˈa	ˈa_ɾ	0.15
ˈo	ˈo	0.735
ˈɔ	o	0.065
ˈɛ	ˈe	0.665
b	β	0.316
d	d	0.56
e	ˈi_ɾ	0.066
i	i	0.176
i	e	0.606
l	l	0.956
lː	l	0.406
tː	j_t	0.306
u	-	0.096
ɟ	ʧ	0.86
ɡ	ɡ	0.86
ˈa	ˈa	0.736
ˈo	w_ˈe	0.236
ˈɛ	j_ˈe	0.216
e	e	0.197
k	ɣ	0.17
r	r	0.087
u	e	0.067
v	β	0.237
ˈɔ	ˈo	0.397
e	ɾ_e	0.148
j	j	0.208
j	l	0.588
m	m	0.898
p	p	0.828
t	w	0.058
t	ð	0.448
v	-	0.128
w	-	0.378
ɟ	ɡ	0.068
ɲ	ɲ	0.868
ˈɛ	e	0.088
d	-	0.269
i	ˈi	0.09
ʃ	s	0.599
ˈe	j_ˈe	0.449
ˈi	ˈe	0.089
ˈɔ	ˈe	0.099
ˈɔ	w_ˈe	0.329
