Old Frisian	Old Frisian	probability
θ	θ	1.0
ˈɛː	ˈɛː	1.0
ˈɔː	ˈɔː	1.0
ˈuː	ˈuː	1.0
ˈu	ˈu	1.0
ˈoː	ˈoː	1.0
ˈo	ˈo	1.0
ˈi̯uː	ˈi̯uː	1.0
ˈi̯aː	ˈi̯aː	1.0
ˈiː	ˈiː	1.0
ˈi	ˈi	1.0
ˈeː	ˈeː	1.0
ˈe_n	ˈe_n	1.0
ˈe	ˈe	1.0
ˈaː	ˈaː	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʣ	ʣ	1.0
ɣ̥	ɣ̥	1.0
ɣ	ɣ	1.0
ɡː	ɡː	1.0
ɡ	ɡ	1.0
ə_n	ə_n	1.0
ə_l	ə_l	1.0
ə_d	ə_d	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	z	1.0
x	x	1.0
w	w	1.0
v	v	1.0
tː	tː	1.0
t	t	1.0
s_ˈi	s_ˈi	1.0
s	s	1.0
r_ə	r_ə	1.0
r_t	r_t	1.0
r_s	r_s	1.0
r_n	r_n	1.0
r_d	r_d	1.0
r	r	1.0
pː	pː	1.0
p	p	1.0
nː	nː	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
l	l	1.0
kː	kː	1.0
k	k	1.0
j	j	1.0
iː	iː	1.0
i	i	1.0
h	h	1.0
f	f	1.0
dː	dː	1.0
d	d	1.0
bː	bː	1.0
b	b	1.0
