Swiss German	Bokmål Norwegian	probability
b̥	b	0.587
b̥	-	0.364
d̥	-	0.443
d̥	tʰ	0.268
d̥	d	0.228
f	f	0.642
f	p	0.14
f	-	0.12
f	ʋ	0.08
fː	p	1.0
h	h	0.779
h	-	0.153
h	j	0.068
i	ə	0.382
i	-	0.256
i	i	0.246
i	ɪ	0.116
j	-	1.0
k	kː	0.77
k	ɕ	0.151
k	k	0.078
kː	kː	1.0
l	l	0.792
l	lː	0.187
lː	lː	1.0
m	m	0.745
m	-	0.135
m	mː	0.091
mː	mː	1.0
n	n	0.512
n	nː	0.323
n	-	0.136
nː	nː	1.0
p	d	1.0
p͡f	pʰ	0.652
p͡f	p	0.348
r	ɾ	0.916
r	-	0.057
rː	ɳ	1.0
s	s	0.83
s	ʂ	0.095
sː	t	0.654
sː	tː	0.235
sː	d	0.101
t	d	0.385
t	t	0.296
t	-	0.229
tː	-	0.922
tː	d	0.078
æ	ə	1.0
ŋ	ŋː	0.582
ŋ	nː	0.253
ŋ	-	0.165
ə	ə	0.827
ə	-	0.154
ɡ̊	ɡ	0.372
ɡ̊	j	0.284
ɡ̊	-	0.236
ɡ̊	ŋ	0.06
ɡ̊ː	ɡː	1.0
ʃ	s	0.883
ʃ	ʃ	0.106
ʃː	k	1.0
ʋ	ʋ	0.661
ʋ	-	0.339
ʦ	tʰ	0.61
ʦ	tː	0.153
ʦ	ʈː	0.109
ˈau̯	ˈøː	0.385
ˈau̯	ˈeː	0.282
ˈau̯	ˈœ	0.154
ˈau̯	ˈuː	0.11
ˈau̯	ˈœʏ̯	0.07
ˈe	ˈɛ	0.671
ˈe	ˈʉː	0.152
ˈe	ˈæː	0.107
ˈe	ˈeː	0.07
ˈeː	ˈøː	0.416
ˈeː	ˈæː	0.367
ˈeː	ˈoː	0.134
ˈeː	ˈeː	0.083
ˈi	ˈɪ	0.64
ˈi	ˈiː	0.097
ˈi	ˈʏ	0.083
ˈi	ˈeː	0.062
ˈiə̯	ˈyː	0.642
ˈiə̯	ˈɛ	0.172
ˈiə̯	ˈiː	0.123
ˈiə̯	ˈæː	0.063
ˈiː	ˈiː	0.827
ˈiː	ˈɛ	0.098
ˈiː	ˈyː	0.075
ˈo	ˈuː	0.425
ˈo	ˈʉ	0.16
ˈo	ˈoː	0.089
ˈo	ˈʊ	0.089
ˈo	ˈʉː	0.073
ˈo	ˈœ	0.063
ˈo	ˈɑ	0.063
ˈoː	ˈøː	0.454
ˈoː	ˈuː	0.181
ˈoː	ˈœ	0.124
ˈoː	ˈoː	0.123
ˈoː	ˈʉː	0.069
ˈu	ˈʉ	0.489
ˈu	ˈɔ	0.14
ˈu	ˈʊ	0.11
ˈu	ˈʏ	0.105
ˈu	ˈʉː	0.089
ˈu	ˈœ	0.068
ˈuə̯	ˈuː	0.88
ˈuə̯	ˈøː	0.093
ˈuː	ˈʉː	0.773
ˈuː	ˈʊ	0.133
ˈuː	ˈʉ	0.094
ˈy	ˈœ	0.412
ˈy	ˈɔ	0.186
ˈy	ˈʏ	0.161
ˈy	ˈiː	0.081
ˈy	ˈyː	0.081
ˈyə̯	ˈœ	0.538
ˈyə̯	ˈøː	0.369
ˈyə̯	ˈuː	0.093
ˈyː	ˈyː	0.429
ˈyː	ˈɪ	0.123
ˈyː	ˈeː	0.123
ˈyː	ˈiː	0.123
ˈyː	ˈʉː	0.087
ˈyː	ˈʏ	0.057
ˈæ	ˈɛ	0.439
ˈæ	ˈæː	0.138
ˈæ	j	0.121
ˈæ	ˈøː	0.071
ˈæ	ˈɑ	0.071
ˈæi̯	ˈæɪ̯	0.564
ˈæi̯	ˈɛ	0.302
ˈæi̯	ˈeː	0.134
ˈæː	j	0.452
ˈæː	ˈiː	0.422
ˈæː	ˈæɪ̯	0.126
ˈø	ˈɛ	0.409
ˈø	ˈɔ	0.246
ˈø	ˈʉ	0.218
ˈø	ˈœ	0.126
ˈøi̯	ˈyː	0.447
ˈøi̯	ˈœ	0.38
ˈøi̯	ˈuː	0.114
ˈøi̯	ˈɔ	0.059
ˈøː	ˈøː	0.589
ˈøː	ˈʊ	0.411
ˈɒ	ˈɑ	0.713
ˈɒ	ˈɑː	0.109
ˈɒ	ˈoː	0.064
ˈɒː	ˈoː	0.57
ˈɒː	ˈɑ	0.199
ˈɒː	ˈɑː	0.194
χ	k	0.363
χ	kʰ	0.3
χ	-	0.132
χ	tː	0.126
χ	ɕ	0.065
