Swiss German	Bokmål Norwegian	probability
b̥	b	0.682
b̥	-	0.313
d̥	-	0.431
d̥	tʰ	0.288
d̥	d	0.106
d̥	d_ə	0.094
d̥	ç	0.049
f	f	0.695
f	ʋ	0.125
f	p	0.085
f	-	0.059
fː	p	1.0
h	h	0.929
h	-	0.071
i	ə	0.431
i	ɪ	0.262
i	i	0.207
j	ˈʊ	0.365
j	-	0.176
k	k	0.66
k	kː	0.153
l	l	0.767
l	lː	0.181
l	-	0.031
l	nː	0.03
m	m	0.916
m	n	0.051
m	mː	0.043
mː	mː	1.0
n	n	0.608
n	nː	0.208
n	-	0.075
n	ɳ	0.069
n	ŋ	0.035
n_d̥	nː	1.0
nː	nː	0.232
p	-	0.482
p͡f	p	0.644
p͡f	pʰ	0.235
r	ɾ	0.899
r	-	0.076
r_d̥	ɾ	1.0
r_n	ɳ	0.482
r_ˈo	ɾ	0.232
rː	ɳ	0.482
s	s	0.704
s	t	0.083
s	ʂ	0.081
s	sː	0.062
s	-	0.05
sː	t	0.627
sː	tː	0.152
sː	d	0.105
sː	nː	0.074
t	d	0.437
t	-	0.259
t	t	0.218
t	tʰ	0.044
t	n	0.037
tː	-	1.0
ŋ	ŋː	0.532
ŋ	nː	0.459
ŋ_k	kː	1.0
ŋ_ɡ̊	ŋː	0.482
ə	ə	0.584
ə	-	0.396
ɡ̊	-	0.398
ɡ̊	ɡ	0.34
ɡ̊	j	0.119
ɡ̊	ɡː	0.1
ɡ̊	ŋ	0.036
ɡ̊_l	l	1.0
ʃ	s	0.702
ʃ	s_k	0.277
ʃ	ʃ	0.031
ʃː	k	0.482
ʋ	ʋ	0.569
ʋ	-	0.426
ʦ	tʰ	0.538
ʦ	d	0.105
ʦ	tː	0.081
ʦ	t	0.08
ʦ	-	0.058
ˈa	ˈɑ	0.758
ˈa	ˈeː	0.178
ˈau̯	ˈøː	0.74
ˈau̯	ˈœ	0.13
ˈe	ˈɛ	0.538
ˈe	ˈɛː	0.194
ˈe	ˈeː	0.129
ˈe	ˈʉː	0.082
ˈei̯	ˈɛ	0.419
ˈei̯	ˈeː	0.085
ˈei̯	ˈæɪ̯	0.047
ˈeː	ˈøː	0.683
ˈeː	ˈeː	0.217
ˈi	ˈɪ	0.55
ˈi	ˈʏ	0.079
ˈi	ˈæɪ̯	0.079
ˈi	ˈʉː	0.079
ˈi	ˈɛ	0.079
ˈiə̯	ˈyː	0.533
ˈiə̯	ˈæː	0.193
ˈiə̯	ˈɛ	0.193
ˈiə̯	ˈiː	0.057
ˈiː	ˈiː	1.0
ˈo	ˈʉ	0.276
ˈo	ˈʉː	0.178
ˈo	ˈʊ	0.135
ˈo	ˈoː	0.135
ˈo	ˈɑ	0.135
ˈo_r	ˈuː	1.0
ˈou̯	ˈœʏ̯	0.425
ˈou̯	ˈuː	0.235
ˈou̯	ˈøː	0.13
ˈoː	ˈøː	0.496
ˈoː	ˈɔ	0.148
ˈoː	ˈuː	0.142
ˈoː	ˈœ	0.085
ˈoː_t	ˈøː	0.482
ˈu	ˈʏ	0.306
ˈu	ˈʉ	0.232
ˈu	ˈʊ	0.182
ˈu	ˈʉː	0.091
ˈu	-	0.08
ˈuə̯	ˈuː	0.796
ˈuə̯	ˈʉː	0.154
ˈuə̯_t	ˈuː	1.0
ˈuː	ˈʉː	0.792
ˈuː	ˈʉ	0.203
ˈy	ˈœ	0.258
ˈy	ˈyː	0.148
ˈy	ˈoː	0.148
ˈy	ˈɪ	0.105
ˈy	ˈɛ	0.105
ˈyə̯	ˈœ	0.561
ˈyə̯	ˈuː	0.28
ˈyə̯	ˈøː	0.101
ˈyː	ˈyː	0.46
ˈyː	ˈʉː	0.203
ˈyː	ˈeː	0.106
ˈyː	ˈʏ	0.085
ˈyː	ˈiː	0.062
ˈæ	ˈɛ	0.225
ˈæ	j	0.196
ˈæ	ˈeː	0.123
ˈæ	ˈɑ	0.107
ˈæ	ˈæː	0.093
ˈæi̯	ˈæɪ̯	0.378
ˈæi̯	ˈeː	0.249
ˈæː	ˈiː	0.723
ˈæː	ˈæɪ̯	0.2
ˈø	ˈʉ	0.265
ˈø	ˈɛ	0.265
ˈø	ˈœ	0.265
ˈø	ˈɔ	0.159
ˈøi̯	ˈyː	0.315
ˈøi̯	ˈuː	0.315
ˈøi̯	ˈɔ	0.113
ˈøi̯	ˈœ	0.113
ˈøː	ˈøː	0.378
ˈøː	ˈʊ	0.12
ˈɒ	ˈɑ	0.549
ˈɒ	ˈɑː	0.205
ˈɒ	ˈæɪ̯	0.058
ˈɒ	ˈɛ	0.058
ˈɒ	ˈɔ	0.049
ˈɒː	ˈoː	0.48
ˈɒː	ˈɑː	0.251
ˈɒː	ˈɑ	0.18
ˈɒː	ˈɛ	0.064
ˈɛi̯	ˈæɪ̯	0.365
ˈɛi̯	ˈɛ	0.176
χ	k	0.402
χ	kʰ	0.306
χ	-	0.16
χ	s	0.063
χ	ç	0.051
χ_t	tː	1.0
