Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈʉː_#>	ˈuː_#>	1.0
ˈɑ_ɾ	ˈɑː	1.0
ˈœʏ̯	ˈaː	1.0
ˈœ_nː	ˈĩː	1.0
ˈœ_n	ˈõː	1.0
ˈæː	-	1.0
ˈæɪ̯_n	ˈãː	1.0
ˈæɪ̯	-	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ʋ_#>	b̥_#>	1.0
ʈː	ɐ_ʦ	1.0
ʈ	-	1.0
ɾ_ə	ɐ	1.0
ɳ	ɐ_n	1.0
ə_ɾ	æ̆	1.0
ə_n	ɛː	1.0
ŋː	ŋ	1.0
ç	kʰ	1.0
sː	-	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
pː	f	1.0
pʰ	f	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
l_ˈyː	l_ˈi	1.0
kː	ŋ_ɡ̊	1.0
h	h	1.0
f	f	1.0
<#_ˈɔ	<#_ˈu	1.0
<#_ɾ	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_d	<#	1.0
<#	<#_v	1.0
l	l	0.929
ˈɪ	ˈi	0.867
lː	l	0.8
s	s	0.788
ʋ	v	0.783
ˈeː	-	0.778
kʰ	kʰ	0.778
ˈœ	-	0.75
ʂ	ʃ	0.714
ˈyː	ˈiː	0.7
ˈʏ	ˈi	0.667
p	f	0.667
j	-	0.667
d	d̥	0.643
nː_#>	n_d̥_#>	0.625
ˈɑ	ˈɑ	0.6
ˈoː	ˈɑː	0.583
n	n	0.583
ə	ə	0.58
ɡː	-	0.571
b	b̥	0.556
ˈʉː	ˈau̯	0.538
ˈʉ	ˈu	0.5
ˈɑː	ˈɑː	0.5
ˈɑː	ˈa	0.5
ɡ	ɡ̊	0.5
ɡ	-	0.5
ˈiː	ˈai̯	0.455
tʰ	d̥	0.444
b	p	0.444
ˈɔ	-	0.429
ɡː	k	0.429
tː	ʦ	0.429
ɾ	ʀ	0.425
nː_#>	#>	0.375
ə	-	0.36
k	ʃ	0.357
k	x	0.357
d	t	0.357
ˈʏ	-	0.333
ˈʉ	ˈo	0.333
ˈoː	-	0.333
tʰ	ʦ	0.333
p	v̥	0.333
j	h	0.333
ˈʉː	-	0.308
ˈɑ	ˈa	0.3
ˈyː	ˈoi̯	0.3
ˈɔ	ˈɑ	0.286
ˈɔ	ˈo	0.286
ˈøː	ˈoː	0.286
ˈøː	-	0.286
ˈuː	ˈɔ	0.286
ˈuː	ˈuː	0.286
ʂ	s	0.286
tː	ʃ_t	0.286
tː	x_t	0.286
ˈɛ	ˈɛ	0.273
ˈiː	-	0.273
t	t	0.267
#>	d̥_#>	0.265
ˈœ	ˈaː	0.25
n	ə	0.25
ˈɛ	-	0.227
ˈeː	ˈiː	0.222
tʰ	t	0.222
kʰ	k	0.222
ˈøː	ˈaː	0.214
ˈuː	ˈuː_d̥	0.214
ˈuː	ˈu	0.214
#>	ə_#>	0.206
ɾ	ɐ	0.2
t	z̥	0.2
t	s	0.2
t	d̥	0.2
lː	l_d̥	0.2
ˈɛ	ˈai̯	0.182
ˈiː	ˈi	0.182
ˈʉ	-	0.167
n	-	0.167
ˈʉː	ˈoː	0.154
s	ʃ	0.152
ɾ	-	0.15
#>	ʃ_#>	0.147
#>	s_#>	0.147
ˈøː	ˈeː	0.143
k	ʤ̥	0.143
k	-	0.143
ˈɛ	ˈe	0.136
ˈɪ	-	0.133
t	-	0.133
ʋ	-	0.13
ɾ	æ̆	0.125
ˈɑ	-	0.1
ɾ	d̥_æ̆	0.1
ˈɛ	ˈæ	0.091
ˈɛ	ˈi	0.091
ˈiː	ˈoĩ̯	0.091
#>	t_#>	0.088
#>	f_#>	0.088
ʋ	f	0.087
ˈoː	ˈɛ̃ː	0.083
ˈøː	oː	0.071
l	ɣ̊_l	0.071
s	-	0.061
#>	b̥_#>	0.059
