North Frisian	Afrikaans	probability
b	b	0.914
b	-	0.056
b	p	0.048
d	d	0.474
d	t	0.286
d	-	0.203
d	f	0.038
dʲ	t	0.693
dʲ	-	0.132
dʲ	d	0.132
f	f	0.936
f	v	0.061
h	ɦ	0.926
h	-	0.074
i	ə	0.784
i	-	0.168
j	-	0.386
j	χ	0.333
j	j	0.081
j	ɫ	0.081
j	ˈi	0.069
k	k	0.878
k	-	0.061
k	χ	0.061
l	ɫ	0.751
l	l	0.2
l	-	0.048
lʲ	ɫ	0.488
lʲ	t	0.331
m	m	1.0
n	n	0.811
n	-	0.127
n	ŋ	0.056
nʲ	n	0.633
nʲ	n_t	0.343
p	p	1.0
r	r	0.966
r	-	0.037
s	s	0.929
s	t	0.054
t	t	0.611
t	-	0.232
t	d	0.155
tʲ	t	0.624
tʲ	d	0.312
v	v	0.654
v	w	0.137
v	-	0.127
v	f	0.044
v	p	0.043
v_ə	f	1.0
w	ˈɪə̯	0.415
w	χ	0.372
x	χ	1.0
z	t	0.583
z	s	0.398
ŋ	ŋ	0.929
ŋ	-	0.073
ə	-	0.729
ə	ə	0.271
ə_v	f	0.514
ɡ	χ	1.0
ʃ	s	0.514
ʃ	s_k	0.374
ʃ	k	0.099
ˈa	ˈə	0.335
ˈa	ˈɛ	0.215
ˈa	ˈa	0.135
ˈa	ˈɑː	0.098
ˈa	ˈæ	0.078
ˈai̯	ˈə	0.306
ˈai̯	ˈɪə̯	0.219
ˈai̯	ˈi	0.219
ˈaː	ˈɪə̯	0.333
ˈaː	ˈə	0.333
ˈaː	ˈɪø̯	0.333
ˈeː	ˈɑː	0.218
ˈeː	ˈɛː	0.117
ˈeː	ˈəɪ̯	0.107
ˈeː	ˈæː	0.107
ˈeː	ˈɛ	0.107
ˈi	ˈəɪ̯	0.377
ˈi	ˈə	0.243
ˈi	ˈɪə̯	0.123
ˈi	ˈæ	0.081
ˈi	ˈœi̯	0.071
ˈiː	ˈi	0.511
ˈiː	ˈəɪ̯	0.199
ˈiː	ˈʊə̯	0.162
ˈiː	ˈɪə̯	0.123
ˈuː	ˈʊə̯	0.756
ˈuː	ˈa	0.114
ˈuː	w	0.067
ˈuː	ˈœɪ̯	0.064
ˈyː	ˈœɪ̯	0.241
ˈyː	ˈʊə̯	0.226
ˈyː	ˈɔ_n	0.11
ˈyː	-	0.073
ˈyː	ˈi	0.073
ˈøː	ˈʊə̯	0.392
ˈøː	ˈyː	0.133
ˈøː	ˈœɪ̯	0.133
ˈøː	-	0.133
ˈøː	ˈɪə̯	0.133
ˈœ	ˈu	0.331
ˈœ	ˈa	0.254
ˈœ	ˈœu̯	0.117
ˈœ	ˈɛ	0.089
ˈœ	ˈə	0.089
ˈɒ	ˈa	0.613
ˈɒ	ˈə	0.119
ˈɒ	ˈɪə̯	0.095
ˈɒ	ˈœu̯	0.093
ˈɒ	ˈəɪ̯	0.074
ˈɒː	ˈa	0.463
ˈɒː	ˈɑː	0.437
ˈɒː	ˈəɪ̯	0.081
ˈɔ	ˈɔ	0.51
ˈɔ	ˈʊə̯	0.459
ˈɔu̯	ˈʊə̯	0.274
ˈɔu̯	ˈuː	0.181
ˈɔu̯	-	0.133
ˈɔu̯	ˈa	0.123
ˈɔu̯	ˈɑː	0.123
ˈɔː	ˈɔ	0.293
ˈɔː	ˈa	0.2
ˈɔː	ˈɪə̯	0.152
ˈɔː	ˈɑː	0.115
ˈɔː	ˈɪø̯	0.09
ˈɛ	ˈə	0.322
ˈɛ	ˈu	0.288
ˈɛ	ˈæː	0.206
ˈɛi̯	ˈɑː	0.426
ˈɛi̯	ˈu	0.259
ˈɛi̯	ˈɛ	0.098
ˈɛi̯	ˈi	0.095
ˈɛi̯	ˈa	0.085
ˈɛː	ˈɪə̯	0.642
ˈɛː	ˈɑː	0.267
ˈɛː	ˈɔː	0.08
ˈʊ	ˈɔ	0.362
ˈʊ	ˈa	0.169
ˈʊ	ˈə	0.116
ˈʊ	v_ˈɔ	0.098
ˈʊ	ˈɛ	0.076
ˈʏ	ˈɔ	0.461
ˈʏ	ˈœ	0.272
ˈʏ	ˈœɪ̯	0.095
