Hoisanese	Hoisanese	probability
ɛ	a	1.0
ɔ_n	ã	1.0
ɔ_k̚	o_ʔ	1.0
ɔ_j	j	1.0
²²	⁵⁵	1.0
²	⁵²	1.0
v_ɔ_ŋ	ŋ̍	1.0
t	ʦ	1.0
p	p	1.0
n_²²	⁵⁵	1.0
m̩	ŋ_o	1.0
m	m	1.0
k̚_³³	ʔ_²	1.0
kʰ	k	1.0
k	k	1.0
j_a	ĩ	1.0
e_w	a_w	1.0
e_n	ĩ	1.0
e_j	i	1.0
a_n	u_ŋ	1.0
<#_v	<#_w	1.0
<#_h	<#	1.0
ŋ	ŋ	0.895
n	ŋ	0.882
tʰ	ʦʰ	0.833
i	i	0.833
ɬ	s	0.75
k̚	k̚	0.75
a_ŋ	ẽ	0.75
ɵ	a	0.714
²¹	⁵²	0.714
s	ʦ	0.714
l	l	0.714
³³	³³	0.711
ʦʰ	ʦʰ	0.667
pʰ	pʰ	0.667
a_w	o	0.667
<#	<#_t	0.625
ⁿd	l	0.6
ʦ	t	0.6
w_ɔ	w_e	0.6
⁵⁵	⁵²	0.579
ᵐb	b	0.545
ɔ	a	0.545
³²	⁴	0.5
³²	¹¹	0.5
t̚	ʔ	0.5
t̚	k̚	0.5
e	w	0.5
j	j	0.471
ᵑɡ	ʣ	0.455
ᵐb	m	0.455
a	a	0.414
ⁿd	n	0.4
ʦ	ʦ	0.4
w_ɔ	u	0.4
w	w	0.389
h	kʰ	0.389
u	u	0.385
f	p	0.385
a	e	0.379
<#	<#_h	0.375
ᵑɡ	ɡ	0.364
⁵⁵	²	0.342
ʦʰ	t	0.333
pʰ	p	0.333
h	tʰ	0.333
a_w	e	0.333
f	h_w	0.308
²¹	³⁵	0.286
s	ʦʰ	0.286
l	n	0.286
w	-	0.278
h	h	0.278
ɔ	ɯ	0.273
ɬ	-	0.25
k̚	ʔ	0.25
e	u	0.25
e	e	0.25
a_ŋ	õ	0.25
³³	²¹³	0.222
w	a	0.222
j	-	0.206
ᵑɡ	-	0.182
ɔ	o	0.182
tʰ	ʨʰ	0.167
i	-	0.167
u	o	0.154
f	kʰ	0.154
f	h	0.154
ɵ	o	0.143
ɵ	e	0.143
a	o	0.138
n	e_ŋ	0.118
u	o_w	0.115
u	-	0.115
w	ũ	0.111
ŋ	ã	0.105
j	e	0.088
⁵⁵	³⁵	0.079
u	w	0.077
u	j	0.077
u	i	0.077
a	-	0.069
j	ɯ	0.059
j	w	0.059
j	ĩ	0.059
j	i	0.059
