Lower Sorbian	Ukrainian	probability
ˈɪ_t	ˈi_t	1.0
ˈɨ	ˈɪ	1.0
ˈi	ˈɪ	1.0
ˈa_r	r	1.0
ʨ_#>	tʲ_#>	1.0
ʦ	ʦʲ	1.0
ʑ_ˈe	ˈɛ	1.0
ʑ	d	1.0
ʐ	ʒ	1.0
ɲ_#>	nʲ_#>	1.0
ɲ	n	1.0
ɨ_#>	j_#>	1.0
ɡ	ɦ	1.0
ɕ	r	1.0
x	x	1.0
w_ɨ	ɫ_e	1.0
w_#>	ɫ_#>	1.0
vʲ	ʋʲ	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
p_#>	b_#>	1.0
p	p	1.0
mʲ	m	1.0
m_#>	m_#>	1.0
l_#>	lʲ_#>	1.0
kʲ_i	k_e	1.0
kʲ	k	1.0
k	k	1.0
i	ˈɪ	1.0
b	b	1.0
<#_ʦ	<#_ʧ	1.0
<#_ɡ	<#_ɦ	1.0
<#_z	<#_z	1.0
<#_vʲ	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_p	<#_p	1.0
<#_n	<#_nʲ	1.0
<#_mʲ	<#_mʲ	1.0
<#_m	<#_m	1.0
<#_d	<#_d	1.0
d	d	0.75
<#_s	<#_s	0.75
ˈu	ˈu	0.714
ɔ_#>	ɔ_#>	0.714
r	r	0.7
<#	<#_w	0.667
ɕ_#>	tʲ_#>	0.636
<#_k	<#_k	0.636
#>	j_#>	0.636
v	ʋ	0.625
ʂ	r	0.6
z	z	0.6
t_#>	t_#>	0.6
s	s	0.6
rʲ	r	0.6
pʲ	p	0.6
a_#>	ˈɑ_#>	0.6
<#_ɕ	<#_t	0.6
<#_r	<#_r	0.6
<#_l	<#_lʲ	0.6
w	ɫ	0.583
ˈɪ	ˈi	0.571
t	t	0.571
l	ɫ	0.571
n	n	0.556
k_#>	ɦ_#>	0.5
k_#>	k_#>	0.5
e	ɐ	0.5
e	i	0.5
<#_j	<#_j	0.5
<#_j	<#	0.5
ˈa	ˈɑ	0.455
n	n_e	0.444
ˈe	ɛ	0.429
t	d	0.429
l	lʲ	0.429
ˈɛ	ˈi	0.417
ʂ	ʒ	0.4
z	zʲ	0.4
t_#>	d_#>	0.4
s	sʲ	0.4
rʲ	rʲ_i	0.4
pʲ	pʲ	0.4
a_#>	ɐ_#>	0.4
<#_ɕ	<#_tʲ	0.4
<#_r	<#_rʲ	0.4
<#_l	<#_ɫ	0.4
v	ʋ_e	0.375
ˈa	ˈɛ	0.364
ɕ_#>	t_e_#>	0.364
ˈɔ	ˈɔ	0.357
ˈɔ	ˈi	0.357
ˈɛ	ɔ	0.333
<#	<#_d	0.333
r	ɔ_r	0.3
ˈɔ	ɔ	0.286
ˈu	ʊ	0.286
ˈe	ˈɔ	0.286
ˈe	e	0.286
ˈɛ	ˈɔ	0.25
w	ˈɔ	0.25
d	-	0.25
<#_s	<#_sʲ	0.25
ˈa	ɐ	0.182
<#_k	<#_x	0.182
<#_k	<#_kʲ	0.182
#>	ˈa_#>	0.182
#>	ɪ_#>	0.182
w	ɔ_ɫ	0.167
ˈɪ	ɐ	0.143
ˈɪ	j_ˈɑ	0.143
ˈɪ	i	0.143
ɔ_#>	ˈɔ_#>	0.143
ɔ_#>	#>	0.143
