Megleno-Romanian	Megleno-Romanian	probability
ˈɔ	ˈa	1.0
ʤ	ɕ	1.0
ʒ	-	1.0
ʃ	-	1.0
ɲ	-	1.0
w_ə	v_ɪ	1.0
v	v	1.0
t_r	ɽ	1.0
p_ˈa	ʈː	1.0
p_t	tː	1.0
p_l	c	1.0
p	p	1.0
o̯ˈa	ˈɔ	1.0
n_ə	n_ʊ	1.0
n_#>	n_ʊ_#>	1.0
kʲ	p	1.0
k_ʎ	cː	1.0
j_n	n	1.0
j	-	1.0
f	f	1.0
e̯ˈa	ˈi	1.0
e	ɪ	1.0
<#_ˈa	<#_ˈa	1.0
<#_w_ˈo	<#_ˈɔ	1.0
<#	<#_j	1.0
k	k	0.9
#>	ʊ_#>	0.881
ə	a	0.852
m	m	0.812
n	n	0.786
ʦ	ɕ	0.75
d	d	0.714
ˈu	ˈu	0.684
t	t	0.684
ˈa	ˈa	0.667
i	ɪ	0.656
ˈe	ˈɛ	0.643
u	ʊ	0.625
ɡ	ɡ	0.6
l	l	0.588
ʎ	ɟː	0.571
ˈi	ˈi	0.533
r	ɾ	0.528
ˈo	ˈɔ	0.5
b	v	0.5
b	b	0.5
<#_j	<#_ˈi	0.5
<#_j	<#	0.5
ʎ	-	0.429
z	-	0.429
s	s	0.429
ɡ	-	0.4
ˈe	ˈi	0.357
ˈi	ˈɛ	0.333
ˈa	ˈɛ	0.333
l	ɖː	0.294
ˈo	ˈu	0.286
z	j	0.286
z	d	0.286
s	ʃ	0.286
s	-	0.286
d	ɾ	0.286
ʦ	t_ˈɛ	0.25
u	-	0.25
ˈo	-	0.214
ˈu	ˈɔ	0.211
m	-	0.188
ə	ɪ	0.148
n	nː	0.143
ˈi	f_ˈi	0.133
u	w	0.125
i	ʊ	0.125
i	i	0.125
#>	a_#>	0.119
l	w	0.118
r	-	0.111
ˈu	ˈo	0.105
t	ʈ_ɽ	0.105
t	ʈ	0.105
t	-	0.105
k	kː	0.1
i	-	0.094
r	l	0.083
n	-	0.071
r	ʐː	0.056
r	ʐ	0.056
r	ɽ	0.056
r	r	0.056
r	l_ʊ	0.056
