Romansch	Romansch	probability
ˈɔː_r	ˈɔ_ɾ	1.0
ˈu_n	ˈɔ_n	1.0
ˈo_ʨ	ˈɔ_t	1.0
ˈiə̯	ˈe	1.0
ˈe_l	ˈi_s	1.0
ˈaː	ˈa	1.0
ʨ_#>	t_u_#>	1.0
ʦ	t_u	1.0
ʒ	-	1.0
ə_r	ɛ_ɾ	1.0
ə_n	a_n	1.0
ə_#>	#>	1.0
z	-	1.0
w_n	n	1.0
t_ˈaː	t_ˈa	1.0
s_ˈa	s	1.0
s_#>	z_ɔ̆_#>	1.0
r_ə	ɾ_a	1.0
r_n	r_u	1.0
p	p	1.0
o	ɔ	1.0
k_l	k_ɾ	1.0
j_ˈɛ	ˈo_ɣ	1.0
j_ˈa	ˈɛ	1.0
j_r	ɛ_ɾ	1.0
f_l	f_ɾ	1.0
f	f	1.0
d_ˈa	ð	1.0
a	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_ə	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_b	1.0
ʨ	k	0.909
m	m	0.903
ˈa	ˈa	0.882
b	b	0.875
r	ɾ	0.847
ə	a	0.826
n	n	0.806
ʧ	k	0.75
ʃ_#>	ɣ_ɛ_#>	0.75
ˈiː	ˈi	0.722
k	k	0.722
ˈe	-	0.714
u	-	0.7
t	t	0.69
ˈi	ˈi	0.688
v	b	0.68
ˈɔː	ˈo	0.667
ˈuː	ˈɔ	0.667
ɲ	n_ʣ	0.667
ˈu	ˈu	0.615
l	l	0.607
ŋ	ŋ	0.6
e	-	0.6
d	d	0.591
s	s	0.55
ˈɛː	ˈɛ	0.5
ˈɔ_f	ˈɔ_ɛ	0.5
ˈɔ_f	ˈo_u	0.5
ˈeː	ˈɛ	0.5
ˈeː	ˈi	0.5
ɡ	ɡ	0.5
ɡ	b	0.5
i	u	0.5
i	i	0.5
#>	ɛ_#>	0.477
ˈɔ	ˈa	0.462
ˈa_j	ˈi	0.455
w	u	0.455
ˈɛ	ˈe	0.45
#>	u_#>	0.445
ʃ	i_s	0.444
ˈɛ	ˈɛ	0.4
ŋ	m_b	0.4
j	-	0.4
e	i	0.4
w	-	0.364
ˈɔː	ˈɔ	0.333
ˈuː	ˈu	0.333
ʎ	j_u	0.333
ɲ	ɲ	0.333
d	ð	0.318
ˈi	ˈu	0.312
ʥ	ʣ	0.3
ʥ	ɣ	0.3
u	ˈɔ	0.3
s	z	0.3
j	ˈɛ	0.3
j	ɛ	0.3
ˈe	ˈi	0.286
ˈiː	ˈu	0.278
ʃ	-	0.278
k	-	0.278
ˈa_j	ˈɛ	0.273
ˈa_j	ˈe	0.273
ˈɛː	ˈe_ɖː	0.25
ˈɛː	ˈe	0.25
ʧ	ʦ	0.25
ʃ_#>	#>	0.25
t	ð	0.241
ˈɔ	ˈo	0.231
ʎ	ʣ_u	0.222
ʎ	ʣ	0.222
ʎ	j	0.222
ʥ	i_ɣ	0.2
ʥ	-	0.2
v	-	0.2
w	β	0.182
l	ɾ	0.179
ʃ	s_k	0.167
ˈɔ	ˈɔ	0.154
ˈɔ	-	0.154
ˈu	ˈɔ	0.154
ˈu	ˈo	0.154
ˈɛ	-	0.15
l	ɖː	0.143
n	nː	0.139
b	-	0.125
v	β	0.12
ʃ	ɣ	0.111
s	ʦ	0.1
m	m_i	0.097
ʨ	t	0.091
d	i_ɣ	0.091
ˈu	ˈɔ_j	0.077
ə	e	0.072
l	j	0.071
t	d	0.069
r	ɛ_ɾ	0.068
ˈa	ˈi	0.059
ˈa	ɾ_ˈa	0.059
n	-	0.056
r	r	0.051
