Campidanese	Campidanese	probability
β	-	1.0
ˈɛ_n	ã	1.0
ˈɔ_z	u	1.0
ˈɔ_n	ɒ̃ʊ̯̃	1.0
ˈɔ_i	œ_f	1.0
ˈu_ɣ	u	1.0
ˈo_ɣ	øʏ̯	1.0
ˈo_u	œ_f	1.0
ˈo_n	ɒ̃ʊ̯̃	1.0
ˈi_ɾ	i_ʁ	1.0
ˈi_n	ẽɪ̯̃	1.0
ˈa_ð	e	1.0
ˈa_t	æɛ̯	1.0
ˈa_n	ẽɪ̯̃	1.0
ˈa_i	e	1.0
ʦ_a	s	1.0
ʦ	-	1.0
ʒ_i	ɛ	1.0
ɾ_ˈa	ʁ_æɛ̯	1.0
ɾ_u	ʁ	1.0
ɾ_d	æɛ̯_ʁ	1.0
ɣ	-	1.0
ɛ_ɾ	ʁ	1.0
ɛ	œ	1.0
ɔ̆	-	1.0
ð_u	ɛ	1.0
z	-	1.0
w	-	1.0
ŭ	-	1.0
u_z	øʏ̯	1.0
t_u	i	1.0
t_i	ʁ	1.0
t_a_#>	t_#>	1.0
s_ˈɛ	s_w	1.0
s_ˈi	s_ɛ	1.0
r	ʁ	1.0
o	ɑɔ̯	1.0
nː_u	ã	1.0
nː	-	1.0
n_ʤ	ɲ	1.0
n_i	ẽɪ̯̃	1.0
n_a	n	1.0
l_u_#>	#>	1.0
k_a	ʃ	1.0
ĭ	-	1.0
i_ɾ	d	1.0
i_#>	#>	1.0
f_ɾ	f	1.0
f	f	1.0
e	-	1.0
ă	-	1.0
a_ɾ	a_ʁ	1.0
a_n	ã	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈa	<#	1.0
<#_ʤ	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_r	<#_ʁ	1.0
<#	<#_ʒ	1.0
u_#>	#>	0.911
p	p	0.857
ˈe	-	0.833
m	m	0.812
l	l	0.786
ɡ	ɡ	0.75
ʧ	s	0.727
ɔ	-	0.714
<#_s	<#_e	0.714
ɭː	j	0.667
ŋ	-	0.667
ð	-	0.667
s	s	0.667
d	d	0.667
ʃ	s	0.6
k_ɾ	k	0.6
ɾ_i	ʁ	0.556
ɖː	l	0.556
b	v	0.556
t	t	0.524
k	k	0.516
ɾ	ʁ	0.515
ʤ	ʒ	0.5
ʤ	-	0.5
ʒ	z	0.5
ʒ	-	0.5
j_u_#>	ʒ_#>	0.5
j_u_#>	#>	0.5
t	-	0.476
ɾ_i	ɛ_ʁ	0.444
ɖː	-	0.444
b	b	0.444
a	a	0.412
ʃ	-	0.4
k_ɾ	k_l	0.4
k	ʃ	0.387
ˈo	u	0.385
ˈi	ɪ	0.353
a	-	0.353
ɭː	l	0.333
ŋ	ẽɪ̯̃	0.333
ð	ɛ	0.333
d	-	0.333
n	n	0.308
n	-	0.308
i	-	0.306
u	-	0.292
ˈa	-	0.286
ɔ	ɔ	0.286
<#_s	<#	0.286
ˈu	y	0.281
ˈu	-	0.281
ʧ	-	0.273
ɾ	-	0.273
ˈɛ	j	0.261
ˈa	æɛ̯	0.257
ɡ	-	0.25
u	ʁ	0.25
s	-	0.25
ˈo	ɔ	0.231
ˈo	ɑɔ̯	0.231
n	ɒ̃ʊ̯̃	0.231
ˈa	a	0.229
l	ɛ	0.214
ˈɔ	-	0.211
ˈi	w	0.206
ˈi	-	0.206
i	ʁ	0.194
m	-	0.188
ˈɛ	æɛ̯	0.174
ˈɛ	-	0.174
ˈe	æɛ̯	0.167
ˈɔ	ɔ	0.158
ˈɔ	u	0.158
ˈɔ	aœ̯	0.158
ˈu	u	0.156
ˈo	ɒ̃ʊ̯̃	0.154
n	ã	0.154
p	-	0.143
ˈɛ	ɛ	0.13
ˈɛ	w	0.13
ˈɛ	i	0.13
u	u	0.125
ˈi	i	0.118
a	æɛ̯	0.118
a	ã	0.118
ˈa	oʊ̯	0.114
i	e	0.111
ˈɔ	ɥ	0.105
ˈɔ	ɑɔ̯	0.105
ˈɔ	œ	0.105
k	-	0.097
ˈu	ʏ	0.094
ˈu	ʊ	0.094
ˈu	w	0.094
ɾ	l	0.091
u_#>	l_#>	0.089
u	ɛ	0.083
u	œ	0.083
u	øʏ̯	0.083
u	i	0.083
s	o	0.083
i	w	0.083
i	i	0.083
ɾ	ɛ	0.061
ɾ	i	0.061
ˈi	ɛ	0.059
ˈi	w_ɛ	0.059
ˈa	ʁ	0.057
ˈa	e	0.057
i	ɛ_ʁ	0.056
i	ɛ	0.056
i	w_ɛ	0.056
i	j	0.056
