Bokmål Norwegian	Westphalian	probability
b	b	0.985
b	-	0.034
d	d	0.759
d	t	0.117
d	-	0.067
d	p	0.055
e	ˈaʊ̯	1.0
f	f	0.93
f	ʃ	0.069
h	h	0.938
h	k	0.062
i	ɪ	0.491
j	x	0.216
j	-	0.214
j	ˈɛː	0.194
j	ɣ	0.097
j	ˈɪɛ̯	0.068
k	k	0.919
k	-	0.071
k_ə	k	1.0
kʰ	k	0.768
kʰ	f	0.223
kː	ŋ_k	0.667
kː	k	0.333
l	l	1.0
lː	l	0.899
lː	k	0.08
m	m	0.928
m	-	0.07
mː	m	1.0
n	n	0.838
n	-	0.089
n	m	0.067
nː	n	0.824
nː	l	0.087
nː	t	0.087
p	p	1.0
s	s	0.529
s	ʃ	0.399
s	z	0.039
s	ç	0.033
s_k	ʃ	1.0
sː	s	1.0
t	t	0.957
t	-	0.049
tʰ	d	0.663
tʰ	t	0.285
tː	t	0.519
tː	ç	0.301
tː	x	0.173
ç	k	0.594
ç	d	0.392
ŋ	ç	0.21
ŋ	n	0.21
ŋː	ŋ	1.0
ə	-	0.417
ə	n	0.298
ə	ə	0.24
ə	ɐ	0.029
ə	ŋ	0.029
ə_ɾ	ɐ	1.0
ɡ	x	0.793
ɡ	-	0.193
ɡː	-	0.361
ɡː	ɣ	0.361
ɡː	k	0.204
ɪ	-	0.21
ɪ	ɪ	0.21
ɳ	n	0.683
ɳ	-	0.221
ɾ	r	0.493
ɾ	ɐ	0.323
ɾ	-	0.101
ɾ	d_ɐ	0.039
ɾ	p	0.03
ɾ_m	m	1.0
ɾ_ə	ɐ	1.0
ʂ	s	0.058
ʃ	ʃ	1.0
ʈ	t	0.241
ʈː	t	0.241
ʋ	w	0.573
ʋ	v	0.158
ʋ	f	0.149
ʋ	-	0.094
ˈeː	ˈaɪ̯	0.298
ˈeː	ˈɪɛ̯	0.203
ˈeː	ˈeː	0.203
ˈeː	ˈɪə̯	0.134
ˈeː	ˈɪ	0.07
ˈiː	ˈiː	0.585
ˈiː	ˈɪ	0.214
ˈiː	ˈiə̯	0.075
ˈiː	ˈeː	0.059
ˈiː	ˈaɪ̯	0.046
ˈoː	ˈɔː	0.686
ˈoː	ˈaʊ̯	0.104
ˈoː	ˈyːœ̯	0.104
ˈoː	ˈoː	0.104
ˈuː	ˈoː	0.454
ˈuː	ˈoː_d	0.159
ˈuː	ˈœː	0.092
ˈuː	r	0.092
ˈuː	ˈɔ	0.074
ˈyː	ˈaɪ̯	0.395
ˈyː	ˈiː	0.22
ˈyː	ˈyː	0.22
ˈyː	ˈɛ	0.094
ˈæ	ˈɪ	0.324
ˈæ	ˈɪɛ̯	0.159
ˈæɪ̯	ˈeː	0.367
ˈæɪ̯	ˈɪɛ̯	0.126
ˈæɪ̯	ˈaː	0.126
ˈæɪ̯	ˈɛ	0.126
ˈæɪ̯	ˈiː	0.106
ˈæː	ˈɪɛ̯	0.561
ˈæː	-	0.128
ˈæː	ˈiː	0.118
ˈøː	ˈaʊ̯	0.379
ˈøː	ˈaʊ̯_d	0.152
ˈøː	ˈøː	0.1
ˈøː	ˈɔː	0.078
ˈøː	ˈœː	0.077
ˈœ	ˈʏ	0.201
ˈœ	ˈøː	0.141
ˈœ	-	0.133
ˈœ	ˈɛ	0.133
ˈœ	ˈaɪ̯	0.133
ˈœʏ̯	ˈaʊ̯	0.491
ˈɑ	ˈa	0.717
ˈɑ	ˈaː	0.109
ˈɑ	ˈɔ	0.089
ˈɑ	ˈɛ	0.048
ˈɑ	ˈɔː	0.042
ˈɑː	ˈaː	0.367
ˈɑː	ˈa	0.295
ˈɑː	ˈɒː	0.151
ˈɑː	ˈɛ	0.093
ˈɔ	ˈuːə̯	0.351
ˈɔ	ˈuː	0.232
ˈɔ	ˈa	0.232
ˈɔ	ˈiɛ̯	0.142
ˈɛ	ˈɛ	0.295
ˈɛ	ˈɪ	0.155
ˈɛ	ˈa	0.135
ˈɛ	ˈø	0.089
ˈɛ	ˈaɪ̯	0.089
ˈɪ	ˈɪ	0.885
ˈɪ	ˈɪɛ̯	0.114
ˈʉ	ˈʊ	0.402
ˈʉ	w_ˈʊ	0.185
ˈʉ	ˈʏ	0.107
ˈʉ	ˈuː	0.107
ˈʉ	ˈɪ	0.107
ˈʉː	ˈuː	0.351
ˈʉː	ˈʊ	0.186
ˈʉː	ˈuə̯	0.107
ˈʉː	ˈaʊ̯	0.107
ˈʉː	ˈɪɛ̯	0.083
ˈʊ	ˈuː	0.33
ˈʊ	j	0.186
ˈʊ	ˈa	0.121
ˈʊ	ˈʊ	0.105
ˈʊ	w	0.044
ˈʏ	ˈuːə̯	0.289
ˈʏ	ˈʏ	0.289
ˈʏ	ˈyː	0.139
ˈʏ	ˈɪ	0.092
