Old Frisian	Zeelandic	probability
ˈa_l	ˈɑu̯	1.0
ʦ	k	1.0
ʣ	x	1.0
ɡː	x	1.0
ɡ_ə	ə	1.0
ɡ	x	1.0
ə_n	ə_n	1.0
ə_l	ə_ɫ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	-	1.0
x	x	1.0
tː	t	1.0
t	t	1.0
s_k	s	1.0
r_ə	ɾ	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
m	m	1.0
lː	ɫ	1.0
iː	iː	1.0
f	v	1.0
d_ə	ə	1.0
d_r	d_ɾ	1.0
b	b	1.0
n	n	0.929
r	ɾ	0.924
w	ʋ	0.882
ˈi̯aː	ˈiː	0.838
l	ɫ	0.826
ˈuː	ˈyː	0.811
k	k	0.8
ə	ə	0.78
ɣ	x	0.763
ˈiː	ˈi	0.738
ˈi̯uː	ˈiː	0.731
i	ɪ	0.727
ˈaː	ˈʊə̯	0.721
ˈa	ˈɑ	0.696
θ	d	0.679
ˈɛː	ˈɪə̯	0.658
v	v	0.613
ˈeː	ˈɛː	0.584
ˈo	ˈɔ	0.574
s	z	0.514
ˈi	ˈɪ	0.508
s	s	0.486
d	d̥	0.478
j	x	0.448
d	d	0.426
v	-	0.387
ˈɔː	ˈɑ	0.369
ˈu	ˈɔ	0.365
ˈɔː	ˈʊə̯	0.354
ˈoː	ˈuː	0.344
ˈe	ˈæ	0.322
θ	d̥	0.321
j	-	0.297
ˈɔː	ˈɛː	0.277
i	i	0.273
ˈi̯uː	ˈeː	0.269
ˈu	ˈøː	0.265
ˈi	ˈi	0.257
j	j	0.256
ˈoː	ˈɑ_n	0.248
ˈu	ˈu	0.247
ˈeː	-	0.246
ɣ	-	0.237
ˈoː	-	0.236
ˈo	ˈʏ	0.218
ˈo	-	0.208
ˈa	ˈɛː	0.205
ə	-	0.201
k	x	0.2
ˈuː	ˈɔ	0.189
ˈɛː	ˈæi̯	0.18
ˈoː	ˈu	0.172
ˈeː	ˈuː	0.17
ˈi̯aː	-	0.162
ˈɛː	ˈʊə̯	0.161
ˈaː	ˈɛː	0.155
ˈi	ˈeː	0.147
l	ɫ_ə	0.138
ˈe	ˈɛː	0.136
ˈiː	ˈiː	0.133
ˈiː	ˈyː	0.129
ˈaː	ˈæi̯	0.125
ˈu	ˈʏ	0.123
ˈe	ˈɑ	0.12
w	-	0.118
ˈe	ˈeː	0.105
ˈa	ˈɒː	0.099
d	-	0.095
ˈi	ˈæ	0.088
ˈe	-	0.087
ˈe	ˈɔ	0.081
r	-	0.076
ˈe	ˈʏ	0.066
ˈe	ˈɪ	0.051
