West Flemish	West Flemish	probability
ˈu_ʋ	ˈɑːʊ̯	1.0
ˈi	ˈiː	1.0
ʃ_h	s_k	1.0
ɾ_ˈiə̯	r	1.0
ɾ_t	ɐ_t	1.0
ɾ_n	ɐ_n	1.0
ɪ	ə	1.0
ɦ̥	ɣ̊	1.0
ɦ_ə	ɣ̊	1.0
ɦ	ɡ	1.0
ə	-	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
ç	ɣ̊	1.0
z̥	z̥	1.0
w	l	1.0
v̥	v̥	1.0
t	t	1.0
s	s	1.0
p	p	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j	-	1.0
iə̯	ɑɪ̯	1.0
h_ˈi	ˈiːi̯	1.0
h	χ	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
l	l	0.969
d̥	d̥	0.926
d	d	0.926
ˈɪ	ˈɪ	0.867
v	f	0.857
z	z	0.826
ʋ	v	0.818
ˈœ	-	0.778
ˈoː	ˈoː	0.692
ˈɔ	ˈɔ	0.636
ˈɛː	ˈæɪ̯	0.625
ɾ	ɐ	0.615
ˈøː	ˈøː	0.6
ˈuə̯	ˈɑʊ̯	0.6
ˈɑ	ˈɑ	0.583
ˈɛ	ˈɪ	0.571
ˈu	ˈɔ_l	0.571
ˈyː	ˈuː	0.545
ˈæ	ˈɛ	0.538
ˈeː	ˈeː	0.538
ˈɒː	ˈɒː	0.5
v_ə_#>	f_#>	0.5
v_ə_#>	#>	0.5
ˈɛ	-	0.429
ˈu	ˈʊ	0.429
ˈiə̯	ˈæɪ̯	0.412
ˈøː	ˈøːø̯	0.4
ˈɛː	-	0.375
ˈiə̯	-	0.353
ɾ	r	0.327
ˈæ	ˈɑː	0.308
ˈeː	ˈæɪ̯	0.308
ˈyː	-	0.273
ˈœ	ˈʏə̯	0.222
ˈɒː	ˈɒːɒ̯	0.2
ˈɒː	-	0.2
ˈuə̯	ˈœy̯	0.2
ˈɔ	ˈʊ	0.182
ˈɔ	ˈɑ	0.182
ˈyː	ˈuːu̯	0.182
ʋ	w	0.182
z	s	0.174
ˈɑ	ˈɑːɑ̯	0.167
ˈɑ	ˈɑː	0.167
ˈæ	-	0.154
ˈeː	ˈeːe̯	0.154
v	v	0.143
ˈɪ	-	0.133
ˈiə̯	ˈæːɪ̯	0.118
ˈiə̯	ˈæː	0.118
ˈoː	ˈøː	0.115
ˈoː	-	0.115
ˈɒː	ˈɔː	0.1
ˈɑ	-	0.083
ˈoː	ˈoːo̯	0.077
d̥	-	0.074
d	-	0.074
ˈuə̯	ˈœːy̯	0.067
ˈuə̯	ˈøy̯	0.067
ˈuə̯	ʊ	0.067
ɾ	-	0.058
