West Frisian	Faroese	probability
b	b̥	0.944
b	-	0.057
d	d̥	0.521
d	-	0.313
d	tʰ	0.102
d	ʤ̊	0.048
f	f	0.737
f	v	0.083
f	v_ʊ	0.068
f	-	0.055
f	ʧʰ	0.048
h	h	1.0
j	-	0.523
j	ˈʊ̯iː	0.216
j	ʤ̊	0.106
j	ˈœ	0.08
j	ˈɔːu̯	0.049
j_ə	a	1.0
j_ˈɔ	ˈʊ	1.0
k	k	0.455
k	ʰkː	0.171
k	kʰ	0.15
k	-	0.075
k	ʧ	0.057
l	l	0.658
l	l̥	0.121
l	l_ʊ	0.08
l	-	0.074
l	l̥_ʊ	0.036
l_ə	l	1.0
m	m	0.653
m	m_ʊ	0.296
m	-	0.049
n	n	0.552
n	-	0.233
n	nː	0.095
n	n̥	0.095
n	ʤ̊	0.027
p	p	0.612
p	ɹ	0.126
p	ʰp	0.08
p	v	0.08
p_ə	ʰp	1.0
r	ɹ	0.9
r	-	0.043
r	ɪ_ɹ	0.035
r	n̥	0.027
s	s	0.927
s	sː	0.031
s	f	0.031
s	ʃ	0.03
s_k	ʃ	1.0
t	t	0.459
t	-	0.165
t	tʰ	0.154
t	ʰt	0.085
t	w	0.08
v	v	0.719
v	kʰ_v	0.123
v	ʧʰ	0.081
v	-	0.066
z	s	0.278
z	j	0.278
ŋ	ŋ	0.706
ŋ	-	0.118
ŋ	ɲ	0.079
ŋ	ɡ̊	0.079
ɕ	s	1.0
ə	a	0.485
ə	-	0.185
ə	ɪ	0.12
ə	ʊ	0.089
ə	ɡ̊_ʊ	0.036
ɡ	ɡ̊	0.886
ɡ	ʧ	0.1
ɣ	ɡ̊	0.384
ɣ	ʎ	0.162
ɣ	ʧː	0.162
ɣ	ʤ̊	0.153
ɪ	ŋ	0.366
ɪ	ɛ	0.086
ʋ	v	0.581
ʋ	-	0.272
ʋ	ˈɔ	0.122
ʦ	ʧʰ	1.0
ˈa	ˈɛːa̯	0.327
ˈa	ˈɛ	0.255
ˈa	ˈa	0.2
ˈa	ˈɔ	0.189
ˈaː	ˈɛːa̯	0.2
ˈaː	ˈa	0.174
ˈaː	ˈɔ̯aː	0.132
ˈaː	ˈɔ	0.094
ˈaː	ˈɛːi̯	0.091
ˈeː	ˈɔ	0.194
ˈeː	ˈɔ̯aː	0.194
ˈeː	ˈiː	0.194
ˈeː	ˈʊ	0.117
ˈi	ˈʊ̯iː	0.552
ˈi	ˈeː	0.128
ˈi	ˈɛːa̯	0.097
ˈi	ˈɪ	0.086
ˈi	ˈaːi̯	0.049
ˈiə̯	ˈɔ̯aː	0.267
ˈiə̯	ˈɔːu̯	0.176
ˈiə̯	ˈaːi̯	0.13
ˈiə̯	ˈøː	0.099
ˈiə̯	ˈai̯	0.09
ˈiː	ˈʊ̯iː	0.388
ˈiː	ˈɪ	0.244
ˈiː	ˈai̯	0.14
ˈiː	ʊ̯ˈiː	0.14
ˈiː	ˈɔ	0.067
ˈoə̯	ˈɔ̯aː	0.162
ˈoə̯	ˈɔ_t	0.162
ˈoə̯	ˈɔ	0.156
ˈoə̯	ˈøː	0.154
ˈoə̯	ˈœ	0.154
ˈoː	ˈɔːu̯	0.256
ˈoː	ˈʉːu̯	0.142
ˈoː	ˈɪ	0.079
ˈu	ˈʊ	1.0
ˈuə̯	ˈɔːu̯	0.369
ˈuə̯	ˈɔːu̯_w	0.166
ˈuə̯	ɹ_ʊ	0.136
ˈuə̯	ˈɔ̯aː	0.09
ˈuə̯	ˈœ	0.09
ˈuː	ˈʉːu̯	0.459
ˈuː	ˈʊ	0.318
ˈuː	-	0.084
ˈuː	ˈʊ̯iː	0.08
ˈy	ˈuː	1.0
ˈyː	ˈʉːu̯	0.574
ˈyː	ˈɔ	0.278
ˈø	ˈɪ	0.333
ˈø	ˈɔ̯aː	0.333
ˈø	ˈøː	0.333
ˈøə̯	r	0.234
ˈɔ	ˈœ	0.309
ˈɔ	ˈʏ	0.16
ˈɔ	ˈɪ	0.139
ˈɔ	ˈʊ_t	0.139
ˈɔ	ˈʊ	0.092
ˈɔu̯	ˈʊ	0.574
ˈɔu̯	ɹ	0.278
ˈɔː	ˈa	0.656
ˈɔː	ˈɔ	0.219
ˈɔː	ˈɛːi̯	0.089
ˈɛ	ˈa	0.266
ˈɛ	ˈɪ	0.202
ˈɛ	ˈɛːi̯	0.202
ˈɛ	ˈœ	0.202
ˈɛ	ˈeə̯	0.086
ˈɛ_j	ˈʊ̯iː	1.0
ˈɛi̯	ˈʉːu̯	0.268
ˈɛi̯	ˈɛ	0.245
ˈɛi̯	ˈaːi̯	0.162
ˈɛi̯	ˈa	0.103
ˈɛː	ˈɛːa̯	0.44
ˈɛː	ˈɪ	0.201
ˈɛː	ˈa	0.201
ˈɪ	ˈɪ	0.248
ˈɪ	ˈiː	0.181
ˈɪ	-	0.105
ˈɪ	ˈɛ	0.101
ˈɪ	ˈeː	0.068
ˈɪə̯	ˈɛːi̯	0.431
ˈɪə̯	ˈɔːi̯	0.255
ˈɪə̯	ˈa	0.067
ˈɪə̯	ˈɛːa̯	0.067
ˈɪə̯	-	0.057
ˈɵ	ˈøː	0.484
χ	v_ʊ	0.312
χ	-	0.312
χ	ɡ̊	0.312
χ	ɹː	0.04
χ_t	ʰtː	1.0
