Aragonese	Aragonese	probability
ˈi_ɾ	e	1.0
ˈe_ʎ	c	1.0
ˈe_ɾ	e	1.0
ˈe_w	v_e	1.0
ˈe_r	rː	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ˈa_s	ˈa_z	1.0
ʝ_ˈe	ˈɛ	1.0
ʝ	-	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_o	j	1.0
ɾ_e	e	1.0
ɾ_#>	#>	1.0
ŋ	ŋ	1.0
ð_a	d_a	1.0
z	z_u	1.0
w_ˈa	w_ˈa	1.0
u_s	ˈɔ	1.0
u	-	1.0
t_#>	#>	1.0
s_a	s_a	1.0
p_ˈe	p_ˈɛ	1.0
p_o	p_u	1.0
p_l	p_j	1.0
p	p	1.0
o_s	i	1.0
n_o	n_a	1.0
m_b	m	1.0
l_ˈa	j_ˈa	1.0
l_o	l_u	1.0
l_#>	l_e_#>	1.0
k_ɾ	k_r	1.0
k_l	c	1.0
j_t	tː	1.0
f	f	1.0
e_s	ʃ	1.0
d	d	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#	<#_b	1.0
k	k	0.951
o	u	0.929
a	a	0.926
ˈi	ˈi	0.893
ˈa	ˈa	0.891
m	m	0.882
n	n	0.878
ɲ	ɲ	0.875
ɾ	r	0.845
ʧ	ɟ	0.833
w_ˈe	ˈɔ	0.833
s	s	0.811
ɡ	ɡ	0.8
#>	e_#>	0.8
θ	ʧ	0.783
ð	t	0.778
n_#>	n_e_#>	0.75
ˈu	ˈu	0.741
t	t	0.688
ɣ	k	0.643
ˈo	ˈɔ	0.6
b	v	0.6
j	-	0.562
w	ˈo	0.556
j_ˈe	ˈe	0.556
i	i	0.556
l	l	0.545
ʃ	ʃː	0.5
ʃ	sː	0.5
<#_a	<#_a	0.5
ˈe	ˈɛ	0.487
j_ˈe	ˈɛ	0.444
ʎ	lː	0.429
ˈo	ˈo	0.4
b	b	0.4
β	v	0.375
<#_a	<#	0.3
ʎ	ʎ	0.286
l	lː	0.273
ˈe	ˈe	0.256
e	i	0.255
n_#>	#>	0.25
w	ˈɔ	0.222
w	-	0.222
i	u	0.222
i	-	0.222
θ	-	0.217
ɣ	ɡ	0.214
e	-	0.213
β	p	0.208
ɡ	-	0.2
<#_a	<#_ˈa	0.2
#>	u_#>	0.2
ʎ	c	0.19
s	-	0.189
j	ˈɛ	0.188
ˈu	ˈɔ	0.185
e	e	0.17
β	b	0.167
β	-	0.167
ʧ	-	0.167
ð	d	0.167
w_ˈe	ˈo	0.167
t	tː	0.156
ɣ	-	0.143
ˈe	-	0.128
e	u	0.128
ɲ	nː	0.125
j	tː_e	0.125
j	t_r	0.125
ˈa	-	0.109
ˈi	i	0.107
e	ˈɛ	0.106
ʎ	-	0.095
t	-	0.094
l	j	0.091
l	-	0.091
ɾ	e	0.086
e	a	0.085
β	p_e	0.083
ˈe	j	0.077
ˈu	ˈo	0.074
t	l_t	0.062
n	n_t	0.061
n	-	0.061
m	ʒ	0.059
m	mː	0.059
ð	dː	0.056
ˈe	e	0.051
