Old English	Eastphalian	probability
a	-	1.0
b	b	0.98
bː	b	1.0
d	d	0.553
d	t	0.297
d	-	0.15
dː	d	1.0
e	ə	0.55
e	ɐ	0.391
e	-	0.06
eo̯	-	1.0
f	f	0.992
h	h	0.928
h	k	0.072
i	ɪ	0.535
i	-	0.465
iːy̯	ɒː	1.0
j	j	0.29
j	ç	0.275
j	-	0.192
j	ɣ	0.121
j	ˈøː	0.07
j	x	0.052
k	k	0.94
kː	k	1.0
l	l	0.985
lː	l	1.0
l̥	l	1.0
m	m	1.0
mː	m	1.0
n	n	0.922
n	-	0.051
nː	n	0.769
nː	-	0.231
o	ɐ	0.722
o	-	0.259
p	p	0.705
p	b	0.295
pː	p	1.0
r	ɐ	0.55
r	r	0.362
r	-	0.088
rː	ˈøː	0.534
rː	ɐ	0.466
r̥	r	1.0
s	s	0.502
s	z	0.474
t	t	0.993
tː	t	1.0
u	ə	1.0
v	v	0.616
v	m	0.287
v	p	0.097
w	v	0.631
w	w	0.188
w	-	0.155
x	ç	0.533
x	x	0.364
x	-	0.103
z	z	1.0
ç	x	0.651
ç	ç	0.349
ð	-	0.647
ð	n	0.353
ŋ	ŋ	1.0
ɑ	-	0.808
ɑ	ə	0.163
ɡ	ɣ	0.584
ɡ	-	0.416
ɣ	ɣ	0.537
ɣ	j	0.252
ɣ	ɡ	0.103
ɣ	ŋ	0.073
ɫ	l	0.923
ɫ	n	0.077
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʍ	v	1.0
ʤ	k	0.389
ʤ	ɡ	0.389
ʤ	ɣ	0.221
ʤː	-	1.0
ʧ	k	1.0
ʧː	k	1.0
ˈe	ˈɛː	0.349
ˈe	ˈɛ	0.299
ˈe	-	0.144
ˈe	ˈœ	0.098
ˈe	ˈeː	0.062
ˈeo̯	ˈeː	0.455
ˈeo̯	ˈɛ	0.342
ˈeo̯	ˈa	0.203
ˈeː	ˈɔʏ̯	0.398
ˈeː	ˈiː	0.292
ˈeː	ˈɪ	0.175
ˈeː	ɐ	0.083
ˈeː	ˈeo̯	0.053
ˈeːo̯	ˈɛɪ̯	0.622
ˈeːo̯	ˈʏ	0.176
ˈeːo̯	ˈɪ	0.095
ˈeːo̯	ˈɔ	0.063
ˈi	ˈɪ	0.742
ˈi	ˈɛː	0.067
ˈi	ˈɛ	0.056
ˈi	ˈeː	0.055
ˈiy̯	ˈa	0.512
ˈiy̯	ˈeː	0.399
ˈiy̯	ˈɪ	0.09
ˈiː	ˈiː	0.906
ˈiː	ˈɪ	0.073
ˈiːy̯	ˈɔʏ̯	0.341
ˈiːy̯	ˈøː	0.299
ˈiːy̯	ˈɛɪ̯	0.203
ˈiːy̯	ˈyː	0.103
ˈiːy̯	ˈiː	0.053
ˈo	ˈoː	0.564
ˈo	ˈɔ	0.4
ˈoː	ˈaʊ̯	0.585
ˈoː	ˈɒː	0.233
ˈoː	ˈʊ	0.086
ˈoː	ˈa	0.07
ˈu	ˈʊ	0.576
ˈu	ˈoː	0.189
ˈu	ˈœ	0.095
ˈu	ˈɔ	0.095
ˈuː	ˈuː	0.751
ˈuː	ˈaʊ̯	0.144
ˈuː	ˈʏ	0.07
ˈy	ˈʏ	0.698
ˈy	ˈoː	0.195
ˈy	r	0.107
ˈyː	ˈuː	0.375
ˈyː	ˈyː	0.294
ˈyː	ˈʏ	0.171
ˈyː	ˈøː	0.16
ˈæ	ˈa	0.526
ˈæ	ˈɒː	0.166
ˈæ	ˈɛː	0.117
ˈæ	ˈɛə̯	0.105
ˈæ	ˈaː	0.086
ˈæɑ̯	ˈa	0.797
ˈæɑ̯	ˈɔ	0.153
ˈæɑ̯	ˈaː	0.05
ˈæː	ˈɒː	0.663
ˈæː	ˈɛɪ̯	0.295
ˈæːɑ̯	ˈeo̯	0.761
ˈæːɑ̯	ˈɒː	0.115
ˈæːɑ̯	ˈoː	0.07
ˈæːɑ̯	ˈɔ	0.054
ˈɑ	ˈa	0.715
ˈɑ	ˈɒː	0.262
ˈɑː	ˈɛɪ̯	0.728
ˈɑː	ˈeo̯	0.067
ˈɑː	ˈɒː	0.062
ˈɛ	ˈʏ	1.0
θ	d	0.911
θ	t	0.067
