Dutch	Swiss German	probability
b	b̥	0.988
d	t	0.609
d	d̥	0.303
d	tː	0.076
f	b̥	0.622
f	f	0.321
f	p	0.057
j	j	1.0
k	χ	0.806
k	k	0.124
k	ɡ̊	0.07
m	m	0.952
n	n	0.815
n	-	0.176
p	f	0.605
p	p͡f	0.185
p	fː	0.126
p	p	0.085
s	ʃ	0.554
s	s	0.38
s	χ_s	0.054
t	t	0.422
t	ʦ	0.167
t	sː	0.155
t	d̥	0.108
t	s	0.108
v	f	0.829
v	b̥	0.141
w	ˈeː	0.5
w	ˈøi̯	0.5
z	s	0.82
z	ʃ	0.126
z	-	0.054
ŋ	ŋ	0.799
ŋ	ɡ̊	0.201
ə	ə	0.839
ə	-	0.132
ɦ	h	1.0
ɪ	i	1.0
ɫ	l	0.982
ɾ	r	0.945
ʋ	ʋ	1.0
ˈaː	ˈɒː	0.503
ˈaː	ˈɒ	0.119
ˈaː	ˈo	0.106
ˈaː	ˈæ	0.087
ˈaː	ˈoː	0.06
ˈaː	ˈe	0.053
ˈeː	ˈæ	0.374
ˈeː	ˈei̯	0.159
ˈeː	ˈɛi̯	0.145
ˈeː	ˈæː	0.061
ˈi	ˈiə̯	0.323
ˈi	ˈyː	0.294
ˈi	ˈeː	0.178
ˈi	ˈy	0.113
ˈi	ˈæː	0.054
ˈoː	ˈo	0.274
ˈoː	ˈoː	0.246
ˈoː	ˈøː	0.216
ˈoː	ˈou̯	0.116
ˈoː	ˈau̯	0.08
ˈoː	ˈøi̯	0.05
ˈu	ˈuə̯	0.54
ˈu	ˈyə̯	0.38
ˈu	ˈyː	0.08
ˈyː	ˈyː	1.0
ˈøː	ˈɒ	1.0
ˈœy̯	ˈuː	0.72
ˈœy̯	ˈyː	0.28
ˈɑ	ˈɒ	0.574
ˈɑ	ˈɒː	0.144
ˈɑ	ˈæ	0.124
ˈɑ	ˈa	0.085
ˈɑu̯	ˈɒ_l	0.41
ˈɑu̯	ˈo	0.28
ˈɑu̯	l	0.165
ˈɑu̯	ˈau̯	0.145
ˈɔ	ˈu	0.688
ˈɔ	ˈo	0.246
ˈɔ	ˈuː	0.054
ˈɛ	ˈæ	0.343
ˈɛ	ˈy	0.185
ˈɛ	ˈe	0.166
ˈɛ	ˈi	0.128
ˈɛ	-	0.106
ˈɛ	ˈa	0.052
ˈɛi̯	ˈiː	0.564
ˈɛi̯	ˈæi̯	0.106
ˈɛi̯	ˈei̯	0.102
ˈɛi̯	ˈi	0.085
ˈɛi̯	ˈɛi̯	0.084
ˈɛi̯	ˈyː	0.059
ˈɪ	ˈi	0.863
ˈɪ	ˈe	0.074
ˈʏ	ˈø	0.693
ˈʏ	ˈu	0.238
ˈʏ	ˈy	0.069
χ	ɡ̊	0.634
χ	χ	0.228
χ	ɡ̊ː	0.108
