Saterland Frisian	Elfdalian	probability
ˈɪ	ˈɪ	1.0
ˈɛɪ̯_t	ɑ̃	1.0
ˈɔːɪ̯	ˈɛ_ɡː	1.0
ˈœː	ˈʉː	1.0
ˈøː	ˈɑːu̯	1.0
ˈyː	ˈʉːə̯	1.0
ˈuː_ɣ̥	rː	1.0
ˈuː_s	sː	1.0
ˈu	ˈʉ	1.0
ˈoːu̯_n	ˈɑ_n	1.0
ˈiːu̯	ˈʏː	1.0
ˈeːu̯	ˈæ	1.0
ˈaːi̯	ˈɑː_ɣ	1.0
ɪ	ʉ_ŋ	1.0
ɣ̥	ʥː	1.0
ŋ_k	kː	1.0
z	-	1.0
x_t	tː	1.0
w	-	1.0
v_ə	v	1.0
s_v	s	1.0
s_l	l̥	1.0
j_ə	ɑ	1.0
i	ɔ̃	1.0
h	ˈoː	1.0
f	f	1.0
b	b	1.0
s	s	0.943
r	r	0.893
m	m	0.884
n	n	0.782
t	t	0.777
v	w	0.703
ˈɔ	-	0.667
ŋ	ŋ_ɡ	0.654
p	p	0.634
ˈaː	-	0.617
ˈɔː	-	0.6
ˈoːu̯	ˈʉːə̯	0.593
ˈʊ	ˈʉ	0.588
ɣ	ɣ	0.581
ˈɛː	-	0.569
d	ð	0.56
x	-	0.542
k	ʨ	0.517
l	ɽ	0.502
ˈa	ˈɛ	0.5
ˈa	-	0.5
ˈi	ˈɑːi̯	0.498
x	k	0.458
j	j	0.441
ˈi	ˈɪː	0.436
ɣ	-	0.419
ˈɛɪ̯	ˈyːœ̯	0.406
k	k	0.39
ˈoː	ˈʉːə̯	0.384
ˈaː	ˈæ	0.383
ə	ɑ	0.381
ˈeː	ˈiːe̯	0.378
p	pː	0.366
ˈɛɪ̯	r	0.358
ŋ	ŋ	0.346
ˈɛ	j	0.345
ˈɛ	-	0.345
j	-	0.335
ˈɔ	ˈɑ	0.333
ˈuː	-	0.33
ˈɛ	ˈɛ	0.31
ə	ɛ	0.307
ˈʊ	-	0.302
ˈiː	ˈɪ	0.282
ˈiː	-	0.269
d	d	0.267
ˈoːu̯	ˈʉ	0.256
ˈɛː	ˈɑ	0.244
ˈɛɪ̯	-	0.236
ˈuː	ˈɑːu̯	0.22
n	nː	0.218
ˈɔː	ˈɛ	0.204
ˈeː	-	0.204
ˈuː	ˈʏː	0.2
ˈoː	ˈœː	0.198
ˈɔː	ˈɑː	0.197
ˈiː	ˈɔː	0.195
ˈuː	ˈʉː	0.193
t	tː	0.191
ˈɛː	ˈʏ	0.187
l	-	0.184
l	lː	0.172
ˈeː	ˈœː	0.159
ˈoːu̯	ˈʉə̯	0.151
ˈiː	ˈɪː	0.144
l	l	0.142
ə	-	0.141
j	ɡ	0.141
ˈeː	ˈɛ	0.135
d	-	0.128
ˈeː	ˈæː	0.124
ˈoː	-	0.121
m	mː	0.116
ˈʊ	ˈɛ	0.11
r	-	0.107
ˈoː	ˈɑ	0.104
v	v	0.103
v	-	0.103
ˈoː	ˈoː	0.095
k	kː	0.093
v	w_ˈɛː	0.091
ə	ɔ	0.088
j	ˈɪː	0.083
ˈiː	ˈɑːi̯	0.078
ˈi	ˈɪ̃ː	0.066
ˈuː	ʏ	0.058
s	s_j	0.057
ə	ʉ	0.055
