Aromanian	Romanian	probability
d	d	1.0
e	e	1.0
f	f	1.0
l	l	1.0
n	n	1.0
o̯ˈa	o̯ˈa	1.0
p	p	1.0
s	s	1.0
t	t	1.0
w	w	1.0
z	z	1.0
ç	f	1.0
ŋ	ŋ	1.0
ɨ	ɨ	1.0
ʃ	ʃ	1.0
ʎ	j	1.0
ʧ	ʧ	1.0
ˈo	ˈo	1.0
ˈu	ˈu	1.0
ˈə	ˈi	1.0
b	-	0.121
e̯ˈa	e̯ˈa	0.181
v	-	0.071
ə	-	0.11
e̯ˈa	ˈa	0.302
j	v	0.382
r	r	0.992
a	ˈa	0.133
j	-	0.133
j	j	0.453
k	k	0.893
u	e	0.193
v	u_#>	0.053
ɡ	b	0.373
ˈe	j_ˈe	0.123
ˈɨ	ˈɨ	0.763
m	m	0.994
u	u	0.774
ɲ	m	0.384
ʣ	ʤ	0.644
ʤ	ʤ	0.554
ʦ	ʧ	0.844
ˈa	ˈa	0.914
ə	ə	0.85
i	e	0.86
ɲ	m_j	0.616
ʣ	z	0.356
ʤ	ʒ	0.446
ʦ	ʦ	0.156
ˈi	ˈi	0.846
a	a	0.867
e̯ˈa	ˈe	0.517
i	i	0.067
k	p_j	0.107
v	v	0.877
ɡ	ɡ	0.627
ˈe	ˈe	0.867
ˈɨ	ˈɨ_j	0.237
b	b	0.879
