East Frisian Low Saxon	East Frisian Low Saxon	probability
χ_t	tː	1.0
χ	k	1.0
ˈʊə̯	-	1.0
ˈɪə̯	-	1.0
ˈɔː	ˈoː	1.0
ˈɒːɒ̯	ˈɑː	1.0
ˈɑːʊ̯	-	1.0
ˈɑʊ̯_#>	ˈuː_#>	1.0
ˈɑɪ̯	-	1.0
ˈœːy̯	ˈʊ	1.0
ˈœy̯	ˈøː	1.0
ˈœ_s	ʂ	1.0
ˈœ	-	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈøː	1.0
ˈæːɪ̯	-	1.0
ˈæɪ̯_n	ˈeː_n	1.0
ˈyːʏ̯	ˈuː	1.0
ˈyː	ˈʏ	1.0
ˈiːi̯	ˈiː	1.0
ˈiː	ˈiː	1.0
ˈeːe̯	ˈɛː_d	1.0
ʊ	ˈuː	1.0
ɫ	ɡ_l	1.0
ɣ̊_#>	ɡ_#>	1.0
ə	-	1.0
ɑɪ̯	ɔ	1.0
ɐ_t	ʈː	1.0
ɐ_n	ɳ	1.0
ɐ_d̥	ɖ	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
z̥_#>	s_#>	1.0
z_n	sː	1.0
w	v	1.0
v̥_#>	v_#>	1.0
v̥	v	1.0
t_n	t_a	1.0
t_#>	#>	1.0
s_k	ɧ	1.0
r	r	1.0
o	-	1.0
n_n	nː_a	1.0
n_#>	#>	1.0
l_#>	l_#>	1.0
d_ɐ	r	1.0
b	b	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
s	s	0.917
v	v	0.905
f	f	0.905
h	h	0.9
d̥	d	0.852
ˈʊ	ˈɵ	0.8
ˈuː	ˈʉː	0.8
z	s	0.773
m	m	0.72
l	l	0.719
k	k	0.708
ˈɑʊ̯	ˈuː	0.667
ɡ	ɡ	0.667
t	t	0.667
ˈɑ	ˈa	0.611
ˈʏə̯	ˈʏ	0.6
ˈɛːɪ̯_#>	#>	0.6
ˈɑːɑ̯	ˈa	0.6
ɣ̊	ɡː	0.6
p	p	0.583
#>	r_#>	0.583
ˈɪ	ˈɪ	0.565
ˈɛ	ˈɛ	0.556
ˈɑː	ˈa	0.556
ˈoː	ˈøː	0.5
ɐ	r	0.486
ˈɒː	ˈoː	0.467
d	tʰ	0.455
n	n	0.443
ˈʏə̯	-	0.4
ˈɛːɪ̯_#>	ˈøː_#>	0.4
ˈɒː	ˈɑː	0.4
ˈɑːɑ̯	-	0.4
ɣ̊	ɡ	0.4
n	a	0.393
ˈʏ	ˈʏ	0.333
ˈʏ	ˈɛ	0.333
ˈʏ	-	0.333
ˈɑː	-	0.333
ˈɑʊ̯	-	0.333
ˈeː	-	0.333
ˈɪ	-	0.304
#>	ɛ_#>	0.292
ˈæɪ̯	ˈʉː	0.286
ˈæɪ̯	ˈeː	0.286
m	mː	0.28
ˈɔ	ˈɔ	0.25
ˈɔ	ˈœ	0.25
ˈɔ	ˈa	0.25
ˈɔ	-	0.25
p	pː	0.25
ɐ	ɛ	0.243
t	tː	0.233
z	ɧ	0.227
ˈɛ	ˈɛː	0.222
ˈɛ	-	0.222
ˈɑ	-	0.222
ˈoː	-	0.222
ˈeː	ˈʉː	0.222
ˈeː	ˈɛ	0.222
ˈeː	ˈæː	0.222
k	kː	0.208
ˈʊ	ˈʊ	0.2
ˈøː	ˈʉː	0.2
ˈøː	ˈœː	0.2
ˈøː	ˈœ	0.2
ˈøː	ˈoː	0.2
ˈøː	-	0.2
ˈuː	-	0.2
ɡ	j	0.19
d	-	0.182
ˈɑ	ˈɑː	0.167
ˈoː	ˈuː	0.167
p	pʰ	0.167
d̥	-	0.148
ˈæɪ̯	ˈɛ	0.143
ˈæɪ̯	ˈyː	0.143
ˈæɪ̯	-	0.143
ˈɒː	ˈa	0.133
ˈɪ	ˈɛ	0.13
#>	n_#>	0.125
ˈɑː	ˈæ	0.111
ˈoː	ˈɔ	0.111
h	-	0.1
ɡ	-	0.095
v	-	0.095
f	v	0.095
l	lː	0.094
d	ɕ	0.091
d	tʰ_ˈœ	0.091
d	j	0.091
d	d	0.091
s	ˈɛ_s	0.083
k	ɕ	0.083
n	nː	0.082
ɐ	r_a	0.081
ɐ	a	0.081
t	-	0.067
l	ˈœ_l	0.062
l	j	0.062
l	-	0.062
ɐ	ɳ	0.054
ɐ	d_ɛ	0.054
