Ligurian	Ligurian	probability
ˈɛː_#>	ˈɛ_#>	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈɔː	1.0
ˈɔ	ˈɔ	1.0
ˈyː	ˈuː	1.0
ˈy	ˈo	1.0
ˈe_l	ˈɛ_l	1.0
ˈe_j	ˈa	1.0
ʧ	p_j	1.0
ʤ_u_#>	j_#>	1.0
ʒ	z	1.0
ɲ	ɲ	1.0
ɥ	u_d	1.0
ɡ_u_#>	ɡ_#>	1.0
ɔː	-	1.0
ŋ_a	n_a	1.0
ŋ_#>	ŋ_#>	1.0
ŋ	ŋ	1.0
y	u	1.0
v	v	1.0
u_#>	#>	1.0
t	t	1.0
sː	s	1.0
s_u_#>	s_#>	1.0
r_u	e_r	1.0
p_u_#>	p_#>	1.0
p	p	1.0
o	-	1.0
m_e_#>	m_#>	1.0
m	m	1.0
l_ˈa	l_ˈɛ	1.0
l	l	1.0
k_u_#>	k_#>	1.0
k_r	k_r	1.0
k	k	1.0
j_a	r_a	1.0
j_#>	#>	1.0
f	f	1.0
e_#>	#>	1.0
d	d	1.0
b	b	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈøː	<#_ˈɔː	1.0
<#_ʧ	<#_ʧ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
n	n	0.923
a	a	0.907
ɡ	ɡ	0.905
z	ð	0.846
ˈuː	ˈʌu̯	0.833
ˈi	ˈe	0.8
r	r	0.765
s	s	0.596
i	i	0.583
ˈøː	ˈɔː	0.571
ˈe	ˈa	0.538
ˈaː	ˈɛ_r	0.517
ˈø	ˈɔ	0.5
ʃ	s	0.5
ʃ	f_j	0.5
ˈa	ˈa	0.485
ˈaː	ˈɛ	0.483
ˈu	ˈʌ	0.471
ˈa	ˈaː	0.455
#>	r_#>	0.444
#>	l_#>	0.444
ˈøː	ˈuː	0.429
j	j	0.4
e	e_r	0.4
ˈiː	ˈiː_r	0.385
s	θ	0.362
u	u	0.353
e	-	0.35
ˈɛː	ˈaː	0.333
w	w	0.333
j	e	0.333
ʤ	ʧ	0.318
ʤ	j	0.318
ˈiː	-	0.308
ˈu	ˈo	0.294
u	r	0.294
ˈe	ˈæ	0.269
w	-	0.267
j	-	0.267
ˈɛː	ˈɛ	0.25
ˈɛː	-	0.25
ˈø	ˈuː	0.25
ˈø	-	0.25
i	-	0.25
ˈeː	ˈɛː	0.235
ˈeː	ˈɛ	0.235
ˈeː	ˈiː	0.235
ˈi	-	0.2
ˈeː	ˈa	0.176
ˈɛː	e	0.167
ˈuː	-	0.167
i	r	0.167
ˈiː	ˈiː	0.154
ˈiː	ˈe	0.154
z	ʤ	0.154
e	e	0.15
ʤ	ʤ	0.136
ʤ	b_j	0.136
w	ˈɛ_d	0.133
w	u_r	0.133
w	r	0.133
ˈu	ˈɔ	0.118
ˈu	ˈaː	0.118
ˈeː	-	0.118
u	o	0.118
u	l	0.118
u	-	0.118
r	r_e	0.118
ˈe	ˈiː	0.115
#>	a_#>	0.111
e	a	0.1
ɡ	-	0.095
ʤ	-	0.091
ˈe	ˈɛ	0.077
n	-	0.077
ˈa	ˈɛ	0.061
r	e	0.059
r	-	0.059
a	n_a	0.056
