Danish	Old English	probability
ˈɛː	ˈɑ	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈoː	1.0
ˈɔ	ˈuː	1.0
ˈɒˀ	ˈæːɑ̯	1.0
ˈœː	ˈe	1.0
ˈæˀ	ˈæ	1.0
ˈyː	ˈeːo̯	1.0
ˈy_ɡ̊	kː	1.0
ˈy	-	1.0
ˈoː	-	1.0
ˈi	ˈi	1.0
ˈeː	-	1.0
ʨ	θ	1.0
ʁ	r	1.0
ɕ	s	1.0
ɐˀ_n	r_n	1.0
ɐˀ	r	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ_ɡ	1.0
pʰ	p	1.0
mˀ	m	1.0
jˀ	j	1.0
j_ˈɛ	ˈeo̯	1.0
i	iː	1.0
h	h	1.0
f	f	1.0
e	-	1.0
m	m	0.947
s	s	0.897
ˈu	ˈu	0.886
s_ɡ̊	ʃ	0.842
d̥	t	0.836
l	l	0.824
b̥	b	0.8
ʋ	w	0.786
ʦʰ	θ	0.752
ˈoˀ	ˈoː	0.744
ˈeˀ	ˈɑː	0.708
kʰ	k	0.707
ˈø	-	0.646
nˀ	n_d	0.641
ˈiˀ	ˈiː	0.638
ˈuː	ˈuː	0.631
ə	ɑ	0.611
n	n	0.601
ˈøː	ˈæːɑ̯	0.6
ˈiː	-	0.571
ˈe	ˈi	0.571
ˈøˀ	-	0.567
ˈyˀ	ˈeːo̯	0.556
ˈuˀ	ˈuː	0.54
ˈœˀ	ˈæːɑ̯	0.515
ɐ	r	0.507
ˈɑˀ	ˈæɑ̯	0.505
ˈo	ˈo	0.502
ˈo	-	0.498
ˈɑˀ	ˈæɑ̯_r	0.495
ˈœˀ	-	0.485
j	h	0.449
ˈʌ	-	0.443
ˈøˀ	ˈæːɑ̯	0.433
ˈiː	ˈiː	0.429
w	v	0.424
ð̞ˠ	t	0.416
ˈɔˀ	ˈæː	0.4
ˈøː	ˈeː	0.4
ˈœ	ˈu	0.395
j	ˈe	0.387
ˈɛ	ˈeo̯	0.373
ˈæ	ˈɑ	0.37
ˈuː	-	0.369
ˈœ	ˈy	0.363
nˀ	nː	0.359
ˈø	ˈi	0.354
ð̞ˠ	d	0.345
ˈʌ	ˈu	0.339
lˀ	ɫ	0.316
ˈɑ	ˈi	0.314
ˈuˀ	-	0.306
ˈɔˀ	ˈɑː	0.3
kʰ	ʧ	0.293
ˈæ	ˈæ	0.291
ˈɑ	ˈɑ	0.289
ˈoˀ	-	0.256
ˈɛ	-	0.251
lˀ	ɫ_d	0.246
ˈe	ˈe	0.245
ˈœ	ˈeːo̯	0.242
lˀ	ɫ_f	0.242
ˈɛ	ˈi	0.238
ɡ̊	ŋ_k	0.225
ɡ̊	-	0.225
ɡ̊	k	0.224
ˈyˀ	ˈiːy̯	0.222
ˈyˀ	-	0.222
ˈɑ	ˈe	0.221
ɐ	e_r	0.22
ˈʌ	ˈɑ	0.218
ˈiˀ	ˈi	0.217
ə	e	0.215
w	ɣ	0.212
ɡ̊	ç	0.201
ˈɔˀ	-	0.2
ˈæ	ˈæɑ̯	0.199
lˀ	ɫː	0.196
ˈe	-	0.184
ˈɑ	ˈeːo̯	0.176
j	ɣ	0.164
d̥	ç_t	0.164
s_ɡ̊	ʃː	0.158
ʦʰ	θ_ˈy	0.156
w	-	0.155
ˈuˀ	ˈyː	0.154
ʋ	h_w	0.15
b̥	p	0.148
ə	-	0.146
ˈiˀ	-	0.145
ˈeˀ	-	0.141
ˈæ	-	0.139
ˈɛ	ˈe_r	0.138
w	ɣ̊	0.13
ɐ	o_r	0.126
ɡ̊	ʧː	0.125
l	ɫ	0.118
ˈu	ˈo	0.114
ð̞ˠ	t_e	0.111
ˈeˀ	ˈeːo̯	0.11
ˈɔˀ	æːɑ̯	0.1
n	nː	0.099
n	n_d	0.099
n	n_e	0.094
ʦʰ	t_w	0.092
w	bː	0.079
n	-	0.075
ɐ	r_e	0.073
ɐ	e	0.073
ð̞ˠ	θ	0.072
s	z	0.066
l	l_ˈeːo̯	0.058
ð̞ˠ	-	0.056
m	mː	0.053
b̥	pː	0.052
