Lengadocian	Italian	probability
β_ɾ	p_r	1.0
β_ɔ	b_a	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈa_w	ˈɔ	1.0
ˈa_t	ˈa	1.0
ʀ_t	r_t	1.0
ʀ_k	r_k	1.0
ɾ_ˈi	r_ˈi	1.0
ɾ_e	r_o	1.0
ɲ	ɲː	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð	t	1.0
y	u	1.0
w_ʀ	r_o	1.0
w_s	ʧː	1.0
u	o	1.0
p_j	pː	1.0
p	p	1.0
nː	mː	1.0
n_d	n_e	1.0
mː	tː_i	1.0
m	m	1.0
lː	-	1.0
l_s	l_s	1.0
k_l	k_j	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈe	ˈi	1.0
j_ɾ	d_r	1.0
j_s	ʃː	1.0
e_ɣ	i_k	1.0
e_s	s	1.0
e_l	e_l	1.0
d	d	1.0
a_m	a_m	1.0
a_l	a_l	1.0
f	f	0.965
ɔ	a	0.957
n	n	0.954
ˈi	ˈi	0.952
ˈa	ˈa	0.943
a	a	0.92
ʀ	r	0.868
ɾ	r	0.827
k	k	0.81
ˈy	ˈu	0.799
ˈe	ˈe	0.766
ˈɔ	ˈɔ	0.745
ʎ	ʎː	0.71
ˈu	ˈo	0.678
s	s	0.675
i	i	0.644
t	t	0.641
z	-	0.638
ˈɛ	ˈɛ	0.634
b	v	0.624
ʦ	ʧ_e	0.59
ʤ	ʤ	0.589
β	v	0.556
ɥ	ˈɔ	0.537
e	e	0.537
ɥ	w	0.463
ʦ	ʦː	0.41
ʧ	tː_o	0.402
b	b	0.376
l	lː	0.365
i	o	0.356
ʧ	tː	0.342
β	p	0.335
l	j	0.304
t	tː	0.292
ʎ	-	0.29
w	v_e	0.281
j	ˈɛ	0.281
l	l	0.277
w	o	0.251
ʤ	j	0.232
j	-	0.214
e	i	0.202
z	d	0.199
w	-	0.189
j	d_ˈe	0.186
ʤ	d	0.18
j	ˈa	0.18
ˈɛ	kː	0.179
ˈu	ˈu	0.174
z	z	0.163
ʧ	-	0.158
ˈɔ	w_ˈɔ	0.156
w	l	0.152
j	e	0.139
s	ʧː	0.135
ʀ	rː	0.132
w	b_e	0.127
e	o	0.118
ˈu	w_ˈɔ	0.117
β	bː	0.109
ˈy	ˈu_r	0.109
e	-	0.108
ˈɔ	ˈo	0.1
ʧ	ʣː	0.098
ˈe	e	0.093
ˈy	ˈɔ	0.092
s	sː	0.09
ɾ	-	0.088
ɾ	e_r	0.085
a	u	0.08
k	k_w	0.076
k	kː	0.073
ˈɛ	ˈe	0.067
ˈɛ	j	0.06
ˈɛ	-	0.06
ˈe	ˈi	0.056
ˈe	-	0.056
l	ʎː_o	0.054
