Nuorese	Provençal	probability
β_ɛ	w	1.0
ˈɛ_ð	ˈɛ	1.0
ˈu_t	ˈy	1.0
ˈa_ɾ	ˈa	1.0
ˈa_t	ˈa	1.0
ʦ	s	1.0
ʣ_a	j_ɔ	1.0
ʣ	-	1.0
ɾ_ˈa	ˈa	1.0
ɾ_u	ɾ_e	1.0
ɾ_t	ˈe_ʀ	1.0
ɾ_k	ʀ_k	1.0
ɲ	ɲ	1.0
ɣ_ɛ	j	1.0
ɣ	-	1.0
ɛ_ɾ	ɾ	1.0
ɖː_u	w	1.0
ɖː	-	1.0
ɔ̆	e	1.0
ɔ_ɾ	ɾ	1.0
ŋ	ŋ	1.0
ð	-	1.0
t_ɾ	j_ɾ	1.0
t_a	d_ɔ	1.0
s_i	ˈe	1.0
p_ɾ	p_l	1.0
n_ʣ	ɲ	1.0
n_ɛ	ŋ	1.0
n_u	ŋ	1.0
n_t	ŋ	1.0
m_ɛ	ŋ_k	1.0
m	m	1.0
l_u	w	1.0
f	f	1.0
ă	-	1.0
a_ɾ	a_ɾ	1.0
l	l	0.875
j	-	0.81
d	d	0.807
p	p	0.744
o	-	0.726
a	ɔ	0.703
e	-	0.692
k_ɾ	j	0.681
s	s	0.647
ɾ	ɾ	0.632
t	t	0.589
z	-	0.58
r	ʀ	0.573
ɛ	e	0.543
β	v	0.54
b	v	0.535
n	n	0.524
ˈa	ˈa	0.512
ɡ	ɡ	0.503
ɔ	-	0.486
i	-	0.477
b	b	0.465
ˈi	ˈi	0.459
ˈe	ˈɛ	0.446
ˈo	w_ˈe	0.444
ɔ	u	0.411
ˈɛ	ˈɛ	0.41
i	e	0.407
ɡ	ʤ	0.406
ˈe	ˈẽ	0.375
ˈu	ˈu	0.373
k	k	0.363
β	-	0.355
ˈa	ˈã	0.352
k_ɾ	k_l	0.319
ˈɛ	ˈe	0.309
e	e	0.308
ˈu	ˈy	0.307
ˈi	ˈe	0.303
z	s	0.301
nː	ŋ	0.293
k	s	0.29
nː	n	0.281
o	w	0.274
n	-	0.259
ɾ	ʀ	0.245
nː	ɲ	0.24
ˈɔ	w_ˈe	0.231
u	j	0.227
r	ɾ	0.227
p	b	0.22
u	w	0.21
ˈɛ	ˈẽ	0.206
r	-	0.2
t	d	0.195
d	-	0.193
j	w_t	0.19
nː	ŋ_d	0.186
ˈu	ˈũ	0.182
n	ŋ	0.181
ˈɔ	ˈu	0.18
ˈe	j	0.178
ɛ	ˈi	0.166
k	-	0.163
a	a	0.162
ˈɔ	ˈũ	0.161
ˈi	ˈĩ	0.157
s	-	0.157
u	u	0.154
ˈo	-	0.145
u	-	0.144
u	y	0.139
ˈa	-	0.136
ˈo	w_ˈẽ	0.132
u	e	0.127
ˈɔ	ɥ_ˈe	0.126
l	-	0.125
t	-	0.122
z	ɾ	0.119
ˈɔ	w	0.118
k	z	0.115
ɛ	j	0.106
β	w	0.105
ˈu	ˈỹ	0.105
ˈo	w	0.103
ɔ	ũ	0.103
ˈo	ˈu	0.102
ɛ	-	0.099
s	ɡ	0.094
t	ʧ	0.093
ɡ	-	0.091
ɛ	w	0.085
ˈi	-	0.08
a	e	0.08
ˈɛ	-	0.075
ˈo	ˈe	0.075
ˈɔ	u	0.07
k	j	0.069
ˈɔ	ˈa	0.063
s	j_s	0.062
i	ĩ	0.059
i	ˈi	0.058
a	ã	0.055
ˈɔ	-	0.051
