Kashubian	Standard Serbian	probability
ˈ_w	̂	1.0
ʧ_i	a_k	1.0
ʤ	ɡ	1.0
ʣ	d	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ɾ	r	1.0
ɲ	n	1.0
ɡ	ɡ	1.0
ɞ_ˈ	̌	1.0
ɛ_ˈ	̂	1.0
z̥	z	1.0
z	z	1.0
w_ʉ	u	1.0
v_j	ʋ	1.0
v	ʋ	1.0
u_ˈ	̂	1.0
t	t	1.0
r_i	a_r	1.0
õ	uː	1.0
n_i	a_n	1.0
n	n	1.0
m_ə	a_m	1.0
m	m	1.0
l_a	l_e	1.0
j_ã	eː	1.0
j_a	e	1.0
f_j	ʋ	1.0
f	ʋ	1.0
e_ˈ	̂	1.0
d̥	d	1.0
d_w	l	1.0
d	d	1.0
b̥	b	1.0
b	b	1.0
a_ˈ	̂	1.0
s	s	0.966
k	k	0.916
a	a	0.87
r̝	r	0.847
p	p	0.842
l	l	0.8
x	x	0.725
u̯ɛ	o	0.705
ˈ	̂	0.693
w	l	0.688
r	r	0.624
ʧ	-	0.616
e	eː	0.616
ʃ	-	0.608
i	i	0.565
ã	eː	0.55
ɞ	-	0.542
ə	i	0.515
ɔ	o	0.476
ʦ	t	0.47
i	iː	0.435
u	o	0.426
ɛ	e	0.42
ʃ	ʧ	0.392
j	eː	0.385
ʧ	ʧ	0.384
e	e	0.384
ə	iː	0.377
r	-	0.376
j	-	0.316
u	oː	0.311
ˈ	̌	0.307
ɛ	a	0.303
j	e	0.298
ã	-	0.294
x	ʋ	0.275
ʦ	t_i	0.267
ʦ	ʦ	0.264
u	eː	0.263
ɞ	aː	0.24
ɔ	e	0.235
ɞ	uː	0.218
l	ʎ	0.2
ɛ	r̩	0.195
u̯ɛ	oː	0.189
ɔ	aː	0.177
p	-	0.158
ã	u	0.156
r̝	r̩	0.153
w	a	0.136
a	eː	0.13
ɔ	oː	0.112
ə	uː	0.108
u̯ɛ	a	0.106
w	uː	0.1
k	-	0.084
ɛ	eː	0.082
w	-	0.076
