Icelandic	Old Norse	probability
a	ɑ	0.863
a	a	0.137
aːu̯	ɑː	1.0
b̥	b	0.969
c	c	0.81
c	kː	0.19
cʰ	cʰ	1.0
d̥	d	0.976
f	f	0.94
f	v	0.06
h	h	1.0
i	i	1.0
j	j	0.74
j	-	0.113
j	ˈeː	0.106
k	k	1.0
kʰ	kʰ	0.668
kʰ	x	0.332
l	l	0.979
l̥	l	0.843
l̥	l̥	0.157
m	m	0.895
m	-	0.072
n	n	0.94
n	-	0.055
nː	nː	1.0
n̥	n	1.0
p	p	0.815
p	v	0.185
r	r	0.973
rː̥	rː	1.0
r̥	r	0.843
r̥	rː	0.131
s	s	0.949
sː	sː	1.0
t	t	0.794
t	-	0.206
tʰ	tʰ	0.939
tʰ	ð	0.061
u	u	0.632
u	ˈɑː	0.368
v	v	0.834
v	w	0.121
x	k	1.0
ç	ç	0.694
ç	h	0.306
ð	ð	0.943
ð	t	0.051
ŋ	ŋ	1.0
ɑu̯	ɑ	1.0
ɛ	i	1.0
ɛː	i	1.0
ɟ̊	ɟ	0.803
ɟ̊	ɡ	0.197
ɟ̊ː	ɟː	1.0
ɡ̊	ɡ	0.771
ɡ̊	ɣ	0.229
ɡ̊ː	ɡː	1.0
ɣ	ɣ	0.908
ɣ	ɡ	0.092
ɪ	i	0.963
ɲ	ŋ	1.0
ʏ	ˈuː	0.488
ʏ	u	0.261
ʏ	ˈyː	0.235
ʰc	cː	1.0
ʰk	kː	0.933
ʰk	k	0.067
ʰp	p	0.858
ʰp	pː	0.142
ʰt	tː	0.818
ʰt	t	0.182
ˈa	ˈɑ	0.901
ˈa	ˈa	0.088
ˈai̯	ˈɛ	0.585
ˈai̯	ˈøː	0.215
ˈai̯	ˈyː	0.201
ˈau̯	ˈɑ	1.0
ˈaː	ˈɑ	0.648
ˈaː	ˈa	0.122
ˈaː	ˈoː	0.066
ˈaː	-	0.065
ˈaː	ˈɔ	0.065
ˈaːi̯	ˈøː	0.514
ˈaːi̯	ˈɛː	0.352
ˈaːi̯	ˈɑː	0.134
ˈaːu̯	ˈɑː	1.0
ˈeːi̯	ˈɛi̯	0.648
ˈeːi̯	ˈøy̯	0.352
ˈi	ˈi	0.687
ˈi	ˈy	0.278
ˈiː	ˈiː	0.614
ˈiː	ˈyː	0.386
ˈou̯	ˈo	1.0
ˈoːu̯	ˈoː	0.786
ˈoːu̯	-	0.103
ˈoːu̯	ˈɒu̯	0.057
ˈoːu̯	ˈɔː	0.054
ˈu	ˈu	0.874
ˈu	ˈy	0.126
ˈuː	ˈuː	1.0
ˈœ	ˈɔ	0.95
ˈœ	ˈɑ	0.05
ˈœy̯	ˈɒu̯	1.0
ˈœː	ˈɔ	0.519
ˈœː	ˈɑu̯	0.406
ˈœː	ˈɛi̯	0.075
ˈœːy̯	ˈɑu̯	0.874
ˈœːy̯	ˈɒu̯	0.126
ˈɑu̯	ˈɑ	0.615
ˈɑu̯	ˈɑː	0.385
ˈɑːu̯	ˈɑː	1.0
ˈɔ	ˈo	0.897
ˈɔ	ˈoː	0.071
ˈɔu̯	ˈoː	0.53
ˈɔu̯	ˈɔ	0.359
ˈɔu̯	ˈɑː	0.111
ˈɔː	ˈo	1.0
ˈɛ	ˈe	0.584
ˈɛ	ˈɛ	0.353
ˈɛi̯	ˈɛi̯	1.0
ˈɛː	ˈe	0.549
ˈɛː	ˈeː	0.282
ˈɛː	ˈɛ	0.119
ˈɛːi̯	ˈɛi̯	0.589
ˈɛːi̯	ˈøy̯	0.374
ˈɪ	ˈi	0.607
ˈɪ	ˈy	0.393
ˈɪː	ˈi	0.679
ˈɪː	ˈy	0.321
ˈʏ	ˈu	0.973
ˈʏː	ˈu	0.852
ˈʏː	ˈuː	0.094
ˈʏː	ˈyː	0.055
θ	θ	0.948
θ	-	0.052
