Old Frisian	Bokmål Norwegian	probability
ˈo_l	l	1.0
ˈe_t	ˈɑ	1.0
ˈe_r	ɾ	1.0
ˈe_j	ˈæɪ̯	1.0
ˈe_d	ˈɑː	1.0
ʦ	ç	1.0
ʣ	-	1.0
ɡː	ɡː	1.0
ɡ_ə	ə	1.0
ŋ_ɡ	ŋː	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
ð	-	1.0
z_ə	s_ə	1.0
x_t	tː	1.0
x	k	1.0
w_ˈi	ˈʉː	1.0
w_ˈe	ˈœ	1.0
tː	tː	1.0
s_k	ʂ	1.0
r_t	ʈː	1.0
r_n	ɳ	1.0
pː	p	1.0
nː	nː	1.0
n_d	nː	1.0
mː	mː	1.0
lː	lː	1.0
l_d	lː	1.0
kː	kː	1.0
k	k	1.0
i	ə	1.0
h_w	ʋ	1.0
f	f	1.0
dː	-	1.0
bː	-	1.0
b	b	1.0
r	ɾ	0.938
s	s	0.911
θ	tʰ	0.895
ˈiː	ˈiː	0.838
h	h	0.831
w	ʋ	0.823
p	p	0.803
m	m	0.78
v_ə	ʋ_ə	0.775
ˈa	ˈɑ	0.769
ə	ə	0.74
ˈoː	ˈuː	0.736
d	-	0.736
t	t	0.733
ˈuː	ˈʉː	0.716
n	n	0.709
l	l	0.7
j	-	0.68
ˈi	ˈɪ	0.662
ˈi̯aː	ˈyː	0.65
ˈi̯uː	-	0.62
ˈu	ˈʉ	0.606
ˈe	ˈɛ	0.532
ˈaː	ˈøː	0.49
ˈo	-	0.422
ˈo	ˈɔ	0.413
ˈi̯uː	ˈyː	0.38
ˈeː	ˈoː	0.379
ˈɛː	ˈæɪ̯	0.377
ɣ	ˈʉː	0.363
ɣ	ɡ	0.353
ˈi̯aː	-	0.35
ˈɔː	ˈɑ	0.343
ˈɔː	ˈuː	0.343
j	ɡ	0.32
ˈaː	ˈoː	0.316
l	lː	0.3
ˈuː	-	0.284
ɣ	-	0.283
ˈɛː	ˈɛ	0.274
ˈoː	-	0.264
d	d	0.264
ə	-	0.242
ˈa	ˈɑː	0.231
v_ə	ə	0.225
m	mː	0.22
ˈu	-	0.207
ˈaː	-	0.194
ˈeː	ˈɑː	0.181
n	nː	0.18
ˈɔː	-	0.177
w	-	0.177
h	j	0.169
t	tː	0.168
ˈo	ˈʉː	0.165
ˈiː	-	0.162
ˈeː	ˈœ	0.162
ˈe	ˈʏ	0.162
ˈe	ˈɑː	0.159
ˈɛː	ˈeː	0.153
ˈi	ˈiː	0.153
ˈeː	ˈøː	0.151
ˈɛː	ˈøː	0.15
p	pʰ	0.138
ˈɔː	ˈoː	0.137
ˈeː	ˈæː	0.127
n	-	0.111
θ	nː	0.105
ˈi	ˈeː	0.098
ˈu	ˈœ	0.094
ˈu	ˈɔ	0.093
s	ʂ	0.089
ˈe	j_ˈæː	0.088
ˈi	-	0.087
t	-	0.066
p	pː	0.06
ˈe	-	0.058
