West Frisian	Westphalian	probability
ˈɪə̯_r	ɐ	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈø	1.0
ˈø	ˈʏ	1.0
ˈyː	ˈuː	1.0
ˈy	-	1.0
ˈu̯o	ˈøː	1.0
ˈu	ˈʊ	1.0
ˈeː	-	1.0
ˈai̯	ˈa	1.0
ʋ_ˈɪ	v	1.0
ʋ	v	1.0
ɪ	aɪ̯	1.0
ɣ	ɡ	1.0
ɡ	x	1.0
ə_r	ɐ	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
t_ə	t_n	1.0
t	t	1.0
s_k	ʃ	1.0
r_ˈuː	r	1.0
r_m	m	1.0
p	p	1.0
n_d	n	1.0
m	m	1.0
k_ə	k	1.0
k	k	1.0
j_ˈɪ	ˈaɪ̯	1.0
j_ˈɔ	ˈɛ	1.0
j_ˈuə̯	ˈyː	1.0
j_ə	n	1.0
h	h	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
f	f	0.956
l	l	0.953
n	n	0.935
n_ə	n_n	0.792
ˈɔː	ˈa	0.74
ˈɛi̯	-	0.723
ˈa	ˈa	0.696
ˈuə̯	ˈoː	0.691
ˈɛː	-	0.667
v	ʋ	0.637
ˈoː	-	0.593
ˈɛ	-	0.581
r	ɐ	0.558
z	ɡ	0.557
χ	ç	0.509
ˈuː	ˈʊ	0.507
ˈɔ	ˈʊ	0.497
ˈuː	ˈuː	0.493
χ	x	0.491
s	s	0.488
j	-	0.479
ˈi	ˈiː	0.469
z	z	0.443
ˈaː	-	0.44
ˈɪ	ˈɪ	0.438
ʦ	-	0.437
ˈiː	ˈiː	0.43
ˈɪə̯	ˈaʊ̯	0.427
ə	n	0.422
ˈi	ˈɪ	0.41
s	ʃ	0.409
ˈoː	ˈuː	0.407
ˈoə̯	ˈuːə̯	0.406
v	-	0.363
ˈɪ	-	0.359
ˈɔ	-	0.352
ə	-	0.346
r	r	0.34
ʦ	d	0.338
ˈiə̯	ˈɔː	0.336
ˈɛː	ˈʏ	0.333
ˈoə̯	-	0.33
ˈuə̯	-	0.309
j	ˈaɪ̯	0.307
ˈɛ	ˈɪɛ̯	0.285
ˈɛi̯	ˈɛ	0.277
ˈoə̯	ˈɔː	0.264
ˈɔː	ˈɔ_l	0.26
ˈiː	ˈɪ	0.245
ʦ	k	0.225
ˈiə̯	ˈeː	0.214
n_ə	n	0.208
ˈaː	ˈaː	0.205
ˈaː	ˈa	0.205
ˈiː	-	0.19
ˈiə̯	ˈøː	0.188
ˈiə̯	ˈaɪ̯	0.186
ə	ə	0.185
ˈɪə̯	ˈeː	0.177
ˈa	-	0.175
ˈɪə̯	ˈɔː	0.173
ˈɪ	ˈɛ	0.16
ˈɔ	ˈɪ	0.151
ˈaː	ˈɔː	0.149
ˈiː	ˈaɪ̯	0.135
ˈɛ	ˈɛ	0.134
ˈɪə̯	ˈaɪ̯	0.127
ˈi	-	0.121
j	ˈiː	0.108
j	ˈɪə̯	0.107
s	z	0.103
r	-	0.102
ˈɪə̯	ˈa_l	0.096
ˈa	ˈɛ	0.088
ˈiə̯	ˈɪɛ̯	0.076
n	ŋ	0.065
