Ripuarian	Swiss German	probability
b	b̥	1.0
d	t	0.511
d	d̥	0.404
d	tː	0.085
e	æ	1.0
f	f	0.8
f	b̥	0.19
h	h	0.956
j	ɡ̊	0.87
j	j	0.089
k	χ	0.425
k	ɡ̊ː	0.198
k	k	0.119
k	t	0.091
k	d̥	0.061
l	l	0.952
m	m	0.852
m	mː	0.09
m	-	0.057
n	n	0.791
n	-	0.201
p	p͡f	0.549
p	p	0.389
p	f	0.062
s	s	0.521
s	sː	0.394
s	ʃ	0.085
t	t	0.542
t	d̥	0.3
t	r_t	0.065
v	b̥	0.725
v	-	0.181
v	ʋ	0.064
x	χ	0.792
x	ɡ̊	0.208
z	s	0.927
z	ʃ	0.073
ŋ	ŋ	0.461
ŋ	n	0.445
ŋ	ɡ̊	0.094
ɐ	r	0.631
ɐ	ə_r	0.305
ɕ	χ	0.589
ɕ	ɡ̊	0.36
ɕ	-	0.05
ə	ə	0.82
ə	-	0.116
ə	i	0.064
ɣ	ɡ̊	1.0
ɪ	i	0.59
ɪ	-	0.41
ʀ	r	1.0
ʃ	ʃ	0.95
ʃ	ʃː	0.05
ʋ	ʋ	1.0
ʦ	ʦ	1.0
ˈa	ˈɒ	0.64
ˈa	ˈɒː	0.163
ˈa	ˈe	0.064
ˈa	ˈæ	0.064
ˈa	ˈi	0.061
ˈaʊ̯	ˈau̯	0.573
ˈaʊ̯	ˈuː	0.309
ˈaʊ̯	ˈou̯	0.061
ˈaʊ̯	ˈo	0.057
ˈaː	ˈɒ	0.526
ˈaː	ˈɒː	0.411
ˈaː	ˈæ	0.063
ˈe	ˈi	0.791
ˈe	ˈiː	0.15
ˈe	ˈy	0.052
ˈeɪ̯	ˈæi̯	0.597
ˈeɪ̯	ˈei̯	0.335
ˈeɪ̯	ˈyː	0.068
ˈeː	ˈyː	0.203
ˈeː	ˈeː	0.182
ˈeː	ˈei̯	0.134
ˈeː	ˈiə̯	0.113
ˈeː	ˈɛi̯	0.093
ˈeː	ˈy	0.081
ˈeː	ˈæː	0.065
ˈiː	ˈiː	0.393
ˈiː	ˈeː	0.277
ˈiː	ˈiə̯	0.125
ˈiː	ˈi	0.108
ˈiː	ˈæː	0.056
ˈo	ˈu	0.735
ˈo	ˈuə̯	0.142
ˈo	ˈoː	0.098
ˈoʊ̯	ˈo	0.806
ˈoʊ̯	ˈou̯	0.194
ˈoː	ˈɒː	0.27
ˈoː	ˈuə̯	0.225
ˈoː	ˈou̯	0.119
ˈoː	ˈoː	0.109
ˈoː	ˈo	0.106
ˈoː	ˈau̯	0.08
ˈoː	ˈyə̯	0.063
ˈu	ˈoː	0.737
ˈu	ˈu	0.164
ˈu	ˈo	0.098
ˈuː	ˈuː	0.55
ˈuː	ˈoː	0.45
ˈyː	ˈyː	0.405
ˈyː	ˈøː	0.273
ˈyː	ˈy	0.238
ˈøʏ̯	ˈøi̯	1.0
ˈøː	ˈyə̯	0.536
ˈøː	ˈɒː	0.142
ˈøː	ˈiː	0.115
ˈøː	ˈøi̯	0.083
ˈøː	ˈyː	0.074
ˈøː	ˈuə̯	0.051
ˈœ	ˈy	0.629
ˈœ	ˈyː	0.159
ˈœ	ˈu	0.15
ˈœ	ˈø	0.062
ˈɔ	ˈo	0.59
ˈɔ	ˈu	0.238
ˈɔ	ˈuː	0.079
ˈɔ	ˈoː	0.062
ˈɛ	ˈæ	0.366
ˈɛ	ˈe	0.158
ˈɛ	ˈæː	0.147
ˈɛ	ˈy	0.133
ˈɛ	ˈø	0.068
ˈɛː	ˈæ	0.612
ˈɛː	ˈæː	0.192
ˈɛː	ˈɒ	0.098
ˈɛː	ˈu	0.052
ˈɪ	ˈi	0.727
ˈɪ	ˈæ	0.223
ˈʊ	ˈu	0.658
ˈʊ	ˈøi̯	0.342
ˈʏ	ˈyː	0.43
ˈʏ	ˈy	0.391
ˈʏ	ˈøː	0.179
