Old Frisian	American English	probability
θ	θ	1.0
ˈo_r	ˈɝ	1.0
ˈi̯aː_ɣ	ˈaɪ̯	1.0
ˈi_x	ˈʌɪ̯	1.0
ˈeː_t	ˈi_ʔ	1.0
ˈe_nː	ˈɛ_n	1.0
ˈe_j	ˈeɪ̯	1.0
ˈa_x	ˈʌɪ̯	1.0
ˈa_l	ˈæ	1.0
ʦ	ʧ	1.0
ɡː	ʤ	1.0
ɡ	ɡ	1.0
ə_x	i	1.0
ə_r	ɚ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	z	1.0
v	v	1.0
tː	ʔ	1.0
s_k	ʃ	1.0
s	s	1.0
r_ə	ɚ	1.0
r_n	ɹ_n	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
mː	m	1.0
m_ˈɔː	m	1.0
m	m	1.0
lː	ɫ	1.0
l_ə	ɫ	1.0
kː	-	1.0
k	k	1.0
j	-	1.0
iː	i	1.0
i	ˈɪ	1.0
h_w	w	1.0
h_r	ɹ	1.0
h	h	1.0
e	-	1.0
dː	d	1.0
d_ə	ð	1.0
d	d	1.0
bː	v	1.0
b	b	1.0
f	f	0.95
w	w	0.925
n	n	0.921
ə	-	0.854
ˈu	ˈʌ	0.805
ˈeː	ˈi	0.736
ˈe_r	ˈɑ_ɹ	0.717
x	-	0.685
ˈi̯uː	-	0.667
ˈɛː	ˈoʊ̯	0.664
r	ɹ	0.647
l	ɫ	0.639
t	ʔ	0.629
ˈi	ˈɪ	0.627
k_ə	k	0.621
ˈuː	ˈaʊ̯	0.612
ə_n	ə_n	0.612
ˈo	ˈɔ	0.552
ˈiː	ˈaɪ̯	0.529
ɣ	ˈaɪ̯	0.526
ˈaː	ˈi	0.518
ˈi̯aː	ˈi	0.495
ɣ	-	0.474
ˈɔː	ˈɛə̯	0.457
ˈoː	ˈu	0.457
ə_n	n	0.388
k_ə	ʧ	0.379
ˈaː	ˈɛ	0.366
l	l	0.361
ˈe	ˈɛ	0.355
ˈi̯aː	-	0.354
ˈi̯uː	ˈɛ	0.333
t	t	0.329
x	ˈʌɪ̯	0.315
ˈoː	ˈʌ	0.309
ˈɔː	ˈeɪ̯	0.305
ˈe_r	ɹ	0.283
ˈuː	ˈʌ	0.277
ˈiː	ˈʌɪ̯	0.276
r	ɚ	0.253
ˈo	-	0.25
ˈa	ˈeɪ̯	0.25
ˈe	ˈɪ	0.24
ˈɛː	ˈi	0.238
ˈɔː	-	0.238
ˈoː	ˈʊ	0.234
ˈo	ˈɑ	0.198
ˈiː	ˈu	0.195
ˈi	ˈaɪ̯	0.176
ˈa	ˈɛə̯	0.175
ˈa	ˈɔ	0.175
ˈeː	-	0.173
ˈi̯aː	ˈɪ	0.151
ˈa	ˈæ	0.151
ˈa	ˈoʊ̯	0.151
ˈi	-	0.15
ˈe	ˈæ	0.148
ˈe	-	0.147
ˈu	-	0.125
ˈaː	ˈeɪ̯	0.116
ˈuː	-	0.111
ə	ɪ	0.103
r	ˈɝ	0.099
ˈɛː	-	0.098
ˈa	ˈɑ	0.097
ˈeː	ˈɛ	0.091
n	-	0.079
w	-	0.075
ˈe	ˈi	0.071
ˈu	ˈʊ	0.069
f	v	0.05
