Bulgarian	Lower Sorbian	probability
ˈɛ_#>	ɛ_#>	1.0
ˈɔ_#>	ɔ_#>	1.0
ˈa_t	ˈɪ_t	1.0
ˈa_#>	a_#>	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɫ_#>	l_#>	1.0
ɡ	ɡ	1.0
ɛ_t	e_ɕ	1.0
ɛ_n	n_ɨ	1.0
ɐ_t	ɕ	1.0
ɐ_k	kʲ	1.0
z	z	1.0
x	x	1.0
vʲ	vʲ	1.0
u	ˈu	1.0
s	s	1.0
r_ˈa	r_ˈɔ	1.0
mʲ	mʲ	1.0
lʲ	l	1.0
l	l	1.0
k	k	1.0
j_ɐ	ɕ	1.0
i	ˈɨ	1.0
f	v_ɨ	1.0
b	b	1.0
<#_v	<#	1.0
ɫ	w	0.833
p	p	0.727
m	m	0.692
#>	ɨ_#>	0.692
d	d	0.667
ˈɔ	ˈɔ	0.6
n	n	0.571
r	r	0.538
t	t	0.522
ˈi	ˈi	0.5
v	vʲ	0.5
v	v	0.5
o	ɔ	0.471
ˈa	ˈɪ	0.438
ɐ	a	0.438
ɐ	-	0.438
n	ɲ	0.429
ˈɔ	ˈɛ	0.4
ˈa	ˈa	0.375
ˈɤ	ˈu	0.308
m	mʲ	0.308
#>	i_#>	0.308
t	ɕ	0.304
ˈi	ˈɨ	0.3
o	ˈɛ	0.294
ˈɛ	ˈe	0.278
p	pʲ	0.273
r	rʲ	0.269
ɛ	ˈɪ	0.25
o	ˈɔ	0.235
ˈɤ	ˈɔ	0.231
ˈɤ	ˈe	0.231
ˈɤ	ˈa	0.231
ˈɛ	ˈa	0.222
d	ʑ	0.222
ˈi	i	0.2
ɛ	ɛ	0.2
ˈa	ˈɔ	0.188
t	ʨ	0.174
ˈɛ	ˈɪ	0.167
ɫ	l	0.167
ɛ	ˈe	0.15
ɐ	ɕ	0.125
r	ʂ	0.115
ˈɛ	ˈɔ	0.111
ˈɛ	e	0.111
ˈɛ	-	0.111
d	t	0.111
ɛ	ˈɔ	0.1
ɛ	ˈa	0.1
ɛ	ɨ	0.1
ɛ	ɔ	0.1
r	ɕ	0.077
