Mainland North Frisian	Mainland North Frisian	probability
ˈɛi̯_#>	ˈeɪ̯_#>	1.0
ˈɔ_ʀ	ˈɔː	1.0
ˈɒ_x	ˈaɪ̯	1.0
ˈɒ_l	ɫ	1.0
ˈɒ	ˈe	1.0
ˈœː	-	1.0
ˈœi̯	-	1.0
ˈœ_ʀ	ˈɜː	1.0
ˈuː_ʀ	ˈɪ_ə	1.0
ˈuː_x	ˈaɪ̯	1.0
ˈuː_l	ˈɑː	1.0
ˈu	-	1.0
ˈiː_nʲ	ˈəʊ̯_n	1.0
ˈiː_#>	ˈəʊ̯_#>	1.0
ˈi_#>	ˈiː_#>	1.0
ˈeː_l	ɫ	1.0
ˈaː	ˈɐ	1.0
ˈai̯	ˈɪ	1.0
ˈa_ʀ	ˈɑː	1.0
ˈa_x	ˈaɪ̯	1.0
ʀ_ˈiː	ɹ_ˈiː	1.0
ɡ	ɡ	1.0
ɛi̯	ˈiː	1.0
ə_l	ɫ	1.0
ç_#>	#>	1.0
z̥	θ	1.0
z	-	1.0
x	-	1.0
v_ˈʊ	w	1.0
v_ə	v	1.0
tʲ	t	1.0
t_ə	t	1.0
nʲ_#>	#>	1.0
nʲ	n_d	1.0
m	m	1.0
l_ˈuː	l_ˈiː	1.0
k_#>	#>	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
dʲ	d	1.0
d_ʀ	d_ɹ	1.0
b	b	1.0
<#_ʀ	<#_ɹ	1.0
<#_j	<#	1.0
s	s	0.958
v	w	0.909
ʃ	ʃ	0.846
d	d	0.846
ŋ	ŋ	0.833
p	p	0.833
ˈɔː	-	0.8
d̥	d	0.8
ə	-	0.788
ˈɛ	ˈiː	0.778
n	n	0.775
ˈɛi̯	ˈiː	0.75
l	l	0.735
v̥	f	0.714
ˈɒː	-	0.7
ə_n	ə_n	0.667
k_ə	k	0.667
ˈi	ˈaɪ̯	0.65
d_ə	ð	0.625
t	t	0.612
n_ə	n	0.6
lʲ	ɫ_d	0.6
ˈuː	-	0.571
ə_ʀ	ə	0.571
ˈyː	ˈe	0.556
j	-	0.545
ˈʏ	ˈaʊ̯	0.533
ˈɛː	ˈe	0.5
ˈɛː	-	0.5
#>	θ_#>	0.5
#>	ˈəʊ̯_#>	0.5
k	kʰ	0.444
k	k	0.444
ˈuː	ˈiː	0.429
ˈa	ˈɪ	0.429
ə_ʀ	d_ə	0.429
ʀ	ə	0.417
n_ə	n_d	0.4
lʲ	ɫ	0.4
ˈʊ	ˈɐ	0.389
ˈɔu̯	ˈɐ	0.375
ˈɔu̯	ˈuː	0.375
d_ə	t	0.375
ˈeː	ˈɪ	0.364
ˈa	-	0.357
ə_n	n	0.333
k_ə	ʧ	0.333
ˈɒː	ˈɑː	0.3
v̥	v	0.286
ʀ	ɹ	0.278
ˈeː	ˈe	0.273
j	j	0.273
ˈʏ	-	0.267
l	ɫ	0.265
ˈiː	ˈəʊ̯	0.263
ˈiː	ˈiː	0.263
ˈɛi̯	-	0.25
ˈɔu̯	-	0.25
ˈœ	ˈæ	0.25
ˈʊ	ˈɪ	0.222
ˈɛ	-	0.222
ˈyː	ˈəʊ̯	0.222
ˈyː	-	0.222
t	tʰ	0.204
ˈʏ	ˈɐ	0.2
ˈɔː	ˈæ	0.2
ˈi	ˈɪ	0.2
d̥	-	0.2
ˈœ	ˈʊ	0.188
ˈœ	ˈəʊ̯	0.188
t	θ	0.184
ˈeː	ˈæ	0.182
ˈeː	-	0.182
j	əʊ̯	0.182
ˈʊ	-	0.167
ŋ	-	0.167
p	pʰ	0.167
ˈiː	ˈaɪ̯	0.158
ʃ	-	0.154
d	θ	0.154
ˈi	-	0.15
ˈa	ˈɐ	0.143
ˈœ	ˈɐ	0.125
ˈœ	ˈuː	0.125
ˈœ	-	0.125
ˈʊ	ɹ	0.111
ˈʊ	w_ˈʊ	0.111
ʀ	ˈɔː	0.111
k	ʧ	0.111
ˈiː	ˈɪ	0.105
ˈiː	ˈe	0.105
ˈiː	-	0.105
n	-	0.1
ə	ə	0.091
v	v	0.091
ʀ	ˈɜː	0.083
n	n_d	0.075
ˈa	ɜː	0.071
ə	θ	0.061
ə	ɡ	0.061
ʀ	ˈɑː	0.056
ʀ	-	0.056
