Ladin	Portuguese	probability
a	ɐ	0.902
a	-	0.057
b	b	0.791
b	v	0.204
d	d	0.339
d	ð	0.25
d	-	0.18
d	ʎ	0.15
d	z	0.052
e	-	0.249
e	ɨ	0.191
e	ɐ	0.158
e	ˈe_ɾ	0.097
e	j	0.08
e	ɾ	0.072
f	f	0.745
f	v_ɨ	0.131
f	v_u	0.078
f_l	ʃ	1.0
i	ĩ	0.351
i	-	0.306
i	i	0.131
i	ˈi	0.131
j	-	0.314
j	j	0.167
j	ɾ	0.144
j	ʎ	0.109
j	ˈɐ	0.075
j_l	l	1.0
j_ˈɛ	ˈe	1.0
k	k	0.65
k	ɣ_u	0.155
k	k_u	0.078
k	ʃ	0.076
l	l	0.532
l	-	0.175
l	u	0.137
l	ɫ	0.089
l_j	l	1.0
m	m	0.742
m	m_ɨ	0.147
m	-	0.051
n	n	0.352
n	-	0.209
n	w̃	0.175
n	ɲ	0.166
o	u	0.453
o	-	0.132
o	ɐ	0.089
o	w	0.077
o	ɔ	0.068
o	o	0.065
p	p	0.936
p	β	0.06
p_l	ʃ	1.0
r	ɾ	0.684
r	ɾ_u	0.156
r	ʁ	0.085
s	s	0.576
s	ʃ	0.33
s	ʃ_u	0.057
t	t	0.338
t	t_ɨ	0.222
t	t_u	0.213
t	ð	0.063
t	-	0.063
t	ð_u	0.054
t_e	t	1.0
u	ˈa	0.574
u	u	0.283
v	v	0.785
v	β	0.183
w	ˈo	0.707
w	ɫ	0.117
w	β	0.077
w_ʃ	ʃ	1.0
w_ˈɛ	ˈɔ	1.0
z	z	1.0
ŋ	-	0.354
ŋ	ˈĩ	0.268
ŋ	n	0.174
ŋ	ɡ	0.101
ɡ	ɣ	0.436
ɡ	ɡ	0.423
ɡ	-	0.112
ɲ	ɲ	0.47
ɲ	ɲ_u	0.443
ɲ	ʒ	0.056
ʃ	i_ʃ	0.427
ʃ	ʃ	0.331
ʃ	-	0.164
ʃ	s	0.061
ʒ	ʒ	0.605
ʒ	-	0.132
ʒ	z	0.132
ʒ	v	0.093
ʤ	-	0.242
ʥ	-	0.222
ʥ	ʒ	0.222
ʥ	ɡ	0.204
ʥ	k	0.077
ʦ	s_u	0.443
ʦ	j	0.174
ʦ	t	0.118
ʦ	ʃ	0.118
ʦ	s	0.086
ʧ	s	1.0
ʨ	k	0.833
ʨ	s	0.11
ˈa	ˈa	0.483
ˈa	ˈɐ	0.2
ˈa	ˈɐ̃	0.187
ˈa_n	ˈɐ̃	1.0
ˈe	ˈe	0.5
ˈe	-	0.14
ˈe	ˈa_ɾ	0.125
ˈe	ˈɐ	0.097
ˈi	ˈi	0.834
ˈi	ˈi_ɾ	0.052
ˈi_n	ˈĩ	1.0
ˈo	ˈɔ	0.346
ˈo	-	0.183
ˈo	ˈu	0.144
ˈo	ˈɐ̃	0.144
ˈo	ˈo	0.132
ˈo_n	ˈõ	1.0
ˈu	ˈu	0.776
ˈu	ˈe	0.092
ˈu	u	0.071
ˈu	ˈũ	0.058
ˈɔ	ˈo	0.532
ˈɔ	ˈɔ	0.289
ˈɔ	u	0.088
ˈɔ	-	0.051
ˈɔ_n	ˈo	0.548
ˈɔ_n	ˈõ	0.415
ˈɛ	ˈɛ	0.355
ˈɛ	ˈa	0.2
ˈɛ	-	0.175
ˈɛ	ˈɐ	0.107
ˈɛ_n	ˈẽ	1.0
ˈɛ_s	ʃ	0.492
