Latvian	Lithuanian	probability
ʧ	kʲ	1.0
ʦ	kʲ	1.0
ʣ	ɡʲ	1.0
ʎ	lʲ	1.0
ɲ	nʲ	1.0
ɡ̊	ɡ_ɐ	1.0
ɛː	eː_̂	1.0
æː	-	1.0
z̥	-	1.0
w	v_ɐ	1.0
uː	uː_̂	1.0
s_i	ɕ_ɪ	1.0
r̩	r_ɐ	1.0
l̩	ɫ_ɐ	1.0
j	j	1.0
iɛ̯	iə̯	1.0
i_s	ɪ_s	1.0
e	ɛ	1.0
b̥	m_b	1.0
ai̯	ɐɪ̯	1.0
k	k	0.836
ɡ	ɡ	0.8
v	vʲ	0.776
iː	iː	0.75
s	s	0.737
z	ʑ	0.707
au̯	ɐʊ̯	0.662
r	r	0.651
a	ɐ	0.628
p	pʲ	0.62
d̥	d_ɐ	0.593
m	m	0.591
b	b	0.577
æ	æː_̌	0.556
l	ɫ	0.535
d	d	0.529
u	ʊ_ˈ	0.511
aː	oː_̂	0.511
n	n	0.507
ʃ	-	0.503
ʃ	ɐ_s	0.497
u	-	0.489
aː	oː	0.489
t	tʲ	0.477
d	dʲ	0.471
l	lʲ	0.465
i	ɪ	0.463
uɔ̯	uə̯	0.45
æ	ɛ	0.444
b	bʲ	0.423
m	mʲ	0.409
d̥	-	0.407
p	p	0.38
r	rʲ	0.349
ɛ	ɛ	0.34
ɛ	-	0.33
t	t	0.311
z	ʒ	0.293
n	-	0.262
iː	æɪ̯	0.25
n	nʲ	0.23
ɛ	æː	0.225
v	v	0.224
a	aː_̌	0.212
t	t_ɐ	0.211
ɡ	-	0.2
i	ɪ_ˈ	0.198
uɔ̯	ɐ_̌	0.183
uɔ̯	ɐ_ŋ	0.183
uɔ̯	aː	0.183
au̯	ɛʊ̯	0.169
au̯	aʊ̯	0.169
k	-	0.164
i	iː	0.149
i	-	0.117
ɛ	ɪ_ˈ	0.105
s	ʃ	0.098
a	aː	0.095
i	ɐ	0.073
a	-	0.065
s	sʲ_ɪ	0.063
s	sʲ	0.051
