Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	-	1.0
ˈɔː	ˈu_ʁ	1.0
ˈɔʏ̯_d	ˈiː_s	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈyː	ˈiː	1.0
ˈeː_l	l	1.0
ˈeː_d	s	1.0
ˈeː	-	1.0
ˈeɪ̯	-	1.0
ˈaʊ̯_ɐ	ˈo_ʁ	1.0
ˈaʊ̯_l	ˈɒ_l	1.0
ʒ	j	1.0
ʃ	ʃ	1.0
ɪ_ç	i	1.0
ə	-	1.0
z̥	z̥	1.0
z	s	1.0
tʰ	ʦ	1.0
r	ʁ	1.0
p	p	1.0
kʰ	kʰ	1.0
j	ɡ̊	1.0
i	i_ʃ	1.0
h	h	1.0
d_r	t_ʁ	1.0
b_m	f_ə	1.0
b_#>	f_#>	1.0
aɪ̯	eː	1.0
<#_r	<#_ʁ	1.0
#>	f_#>	1.0
f	f	0.92
b	b̥	0.9
l	l	0.892
ˈa	ˈɒ	0.833
v	ʋ	0.81
ŋ	ŋ	0.769
ˈʏ	ˈu	0.75
x	x	0.714
t	t	0.714
ˈuː	ˈyː	0.692
n	n	0.691
m	m	0.68
ˈʊ	ˈu	0.667
ˈɪ	ˈi	0.667
ɐ	ə_ʁ	0.567
ˈaʊ̯	ˈʊː	0.55
ˈɛ	ˈe	0.5
ˈɔʏ̯	-	0.5
ˈiː	ˈiː	0.5
ç	ʃ_t	0.5
ç	k	0.5
ɐ	ʁ	0.433
ˈɔ	ˈu	0.429
ɡ	ɡ̊	0.429
d	d̥	0.417
ˈoː	ˈoː	0.368
d	t	0.367
ˈaʊ̯	ˈoː	0.35
ˈʊ	ˈo	0.333
ˈɛ	-	0.333
ˈɔʏ̯	ˈeː	0.333
ˈaː	ˈɒː_ʁ	0.333
ˈaː	ˈɒ	0.333
ˈaː	ʁ	0.333
s	ʃ	0.333
ˈɔ	ˈo	0.286
ˈɔ	-	0.286
x	-	0.286
t	ʦ	0.286
ˈaɪ̯	ˈəi̯	0.278
ˈoː	-	0.263
ˈʏ	ˈi	0.25
ˈiː	ˈei̯	0.25
ˈiː	-	0.25
ŋ	j_ə	0.231
ˈaɪ̯	ˈiː	0.222
ˈaɪ̯	ˈei̯	0.222
s	ʃ_t	0.222
s	k_s	0.222
s	-	0.222
n	ə	0.221
ˈoː	ˈɒ	0.211
m	m_ə	0.2
ɡ	ʃ	0.19
ɡ	k	0.19
ˈɛ	ˈɛ	0.167
ˈɔʏ̯	ˈai̯	0.167
ˈaɪ̯	ˈeː	0.167
ˈa	ˈɒː	0.167
d	s	0.167
ˈuː	-	0.154
ˈɪ	ˈəi̯	0.125
ˈɪ	ˈiː	0.125
m	ə	0.12
ˈaɪ̯	-	0.111
ˈoː	ˈæː	0.105
ˈaʊ̯	ˈøː	0.1
b	p͡f	0.1
ɡ	i_ʃ	0.095
ɡ	-	0.095
v	ʋ_ˈi	0.095
v	-	0.095
ˈɪ	-	0.083
f	l_b̥	0.08
ˈuː	ˈɔi̯	0.077
ˈuː	ˈøi̯	0.077
n	n_d̥	0.059
l	ˈi_l	0.054
l	-	0.054
ˈoː	ˈø	0.053
