Latin	Latin	probability
ˈɪ_ɡ	ˈe	1.0
ˈyː	ˈi	1.0
ˈuː_r	ˈy	1.0
ˈu	ˈu	1.0
ˈoː_r_ɛ̃ː_#>	ˈu_#>	1.0
ˈoe̯	ˈe	1.0
ˈi	ˈi	1.0
ˈeː_ɡ	ˈɛ_j	1.0
ˈe	j	1.0
ˈaː_r	ˈa	1.0
ˈau̯	ˈa_w	1.0
ˈae̯	ˈɛ	1.0
ˈa_t	ˈa	1.0
ˈa_k	ˈa	1.0
ʊ̃ː_#>	#>	1.0
ɫ_ʊ̃ː	w	1.0
ɫ_ɛ̃ː	w	1.0
ɫ_ãː	ɔ	1.0
ɪ̃	e	1.0
ɪ_k	e	1.0
ɡ_ˈɛ	ʤ_ˈẽ	1.0
ɡ_ɛ	ʤ	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	e	1.0
ɛ̃	-	1.0
ɛ_r	ɾ	1.0
ɛ_#>	#>	1.0
ŋ_n	ɲ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
w_ʊ̃ː	w	1.0
w_ɪ	w	1.0
uː	-	1.0
tʰ	z	1.0
t_r	j_ɾ	1.0
t_i	s	1.0
t_e	s	1.0
t_ãː	d_ɔ	1.0
s_ˈeː	s_ˈe	1.0
s_t	s_t	1.0
s_k	j_s	1.0
s_#>	#>	1.0
rː	ʀ	1.0
r_ˈaː	ɾ_ˈa	1.0
r_ɛ_#>	#>	1.0
r_t	ʀ	1.0
r_n	ʀ	1.0
r_k	ʀ_k	1.0
r_ãː	ɾ_ɔ	1.0
p_ɛ	b	1.0
nː	-	1.0
n_ʊ̃ː	ŋ	1.0
n_ɛ	ŋ_d	1.0
n_t	ŋ	1.0
n_i	ɲ	1.0
n_e	ɲ	1.0
mː	m	1.0
lʲː_ʊ̃ː	w	1.0
lʲː	l	1.0
lʲ_i	j	1.0
kː_ãː	k_ɔ	1.0
kʷ_iː	ĩ	1.0
k_ʊ	j	1.0
k_ɛ̃ː_#>	s_#>	1.0
k_t	ʧ	1.0
k_r	k_ɾ	1.0
k_i	s	1.0
j	ʤ	1.0
ĩː	i	1.0
i_ʊ̃ː	ˈe	1.0
fː	u_f	1.0
f	f	1.0
e	-	1.0
d_i	ʤ	1.0
b_ɛ	w	1.0
b	b	1.0
ãː	ɔ	1.0
aː_d	a	1.0
a_n	ã_ŋ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
<#_ae̯	<#_e	1.0
<#_a	<#_a	1.0
#>	j_#>	1.0
ɛ	e	0.909
m	m	0.897
w	v	0.862
a	a	0.778
s	s	0.773
ˈɪ	ˈe	0.75
p	p	0.735
ˈiː	ˈi	0.724
ˈaː	ˈa	0.714
lʲ	l	0.714
kʷ	k	0.714
d	-	0.714
ˈa	ˈa	0.703
ˈuː	ˈy	0.692
ɫ	l	0.688
ˈʊ	ˈu	0.684
ˈeː	ˈe	0.667
sː	s	0.667
ˈɛ	ˈɛ	0.643
oː	-	0.636
<#	<#_e	0.615
r	ɾ	0.592
ˈɔ	w_ˈe	0.579
ʊ̃ː	e	0.571
tː	t	0.571
n	n	0.556
ˈoː	ˈũ	0.5
ˈoː	ˈu	0.5
ʊ_ɫ	l	0.5
ʊ_ɫ	j	0.5
ʊ	-	0.5
ɡ	ʤ	0.5
iː	i	0.5
iː	-	0.5
eː	e	0.5
eː	-	0.5
aː	a	0.5
aː	-	0.5
ɔ	u	0.462
ɪ	-	0.429
tː	-	0.429
t	-	0.429
n	ŋ	0.389
i	j	0.385
i	-	0.385
oː	u	0.364
ˈeː	ˈẽ	0.333
sː	-	0.333
k	k	0.324
t	t	0.321
ˈuː	ˈỹ	0.308
ɔ	-	0.308
r	ʀ	0.306
ɡ	ɡ	0.3
ˈa	ˈã	0.297
ˈaː	ˈã	0.286
ɪ	e	0.286
lʲ	ˈe	0.286
kʷ	ɡ	0.286
ʊ	ˈe	0.25
ʊ	y	0.25
t	d	0.25
k	s	0.243
i	i	0.231
<#	<#_s	0.231
a	ɔ	0.222
ʊ̃ː	ŋ	0.214
ʊ̃ː	w	0.214
ɪ	ˈe	0.214
ˈʊ	ˈũ	0.211
ɡ	-	0.2
ɫ	w	0.188
ˈiː	ˈĩ	0.172
ˈɛ	ˈẽ	0.167
p	-	0.163
ɔ	w	0.154
<#	<#_ɥ	0.154
d	ʤ	0.143
d	d	0.143
s	-	0.136
k	ɡ	0.135
ˈɔ	ɥ	0.132
ˈɪ	ˈẽ	0.125
ˈɪ	-	0.125
ɫ	-	0.125
k	z	0.108
ˈʊ	-	0.105
ˈiː	j	0.103
m	-	0.103
ˈɛ	j	0.095
ɛ	-	0.091
s	w	0.091
p	b	0.082
k	j	0.081
ˈɔ	ɥ_ˈe	0.079
ˈɔ	w_ˈẽ	0.079
ˈɔ	w	0.079
ɔ	ũ	0.077
ɪ	ẽ	0.071
w	ˈɔ	0.069
w	w	0.069
r	-	0.061
n	-	0.056
k	ˈe	0.054
k	-	0.054
ˈɔ	-	0.053
