Middle English	Old English	probability
θ	θ	1.0
ˈɛu̯	æːɑ̯	1.0
ˈɛi̯	ˈæɑ̯	1.0
ˈɔu̯	ˈɑː_w	1.0
ˈɔ	ˈo	1.0
ˈiː_n	ˈi_n	1.0
ˈiu̯	ˈeːo̯_w	1.0
ˈau̯	ˈiy̯	1.0
ʤ	ʤ	1.0
ʍ	h_w	1.0
ɡ	ɡ	1.0
ɛ	ˈe_n	1.0
ɔu̯	u	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	z	1.0
w	w	1.0
s	s	1.0
r_n	r_n	1.0
l_ə	ɫ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
eː	iːy̯	1.0
b	b	1.0
d	d	0.984
m	m	0.959
r	r	0.949
ʧ	ʧ	0.921
ɫ	ɫ	0.921
t	t	0.921
ˈu	ˈu	0.917
n	n	0.894
ˈoː	ˈoː	0.892
l	l	0.879
p	p	0.878
ʃ	ʃ	0.854
k	k	0.818
iː	i_j	0.75
v	v	0.724
ˈuː	ˈuː	0.7
ˈi	ˈi	0.69
ˈɔː	ˈɑː	0.674
ˈaː	ˈɑ	0.662
n_ə	n_e	0.591
ç	ç	0.571
ˈɛː	ˈæːɑ̯	0.552
ˈa	ˈæɑ̯	0.537
r_ə	r_ɑ	0.501
r_ə	r_e	0.499
ˈiː	ˈiː	0.484
ə	ɑ	0.468
x	ɣ̊	0.455
ˈeː	ˈeːo̯	0.449
ˈæi̯	ˈæːɑ̯	0.444
ˈɛ	ˈe	0.43
ç	x	0.429
n_ə	nː_ɑ	0.409
ˈɛ	ˈeo̯	0.378
ˈaː	ˈæ	0.338
x	x	0.33
ˈæi̯	ˈe_j	0.322
ˈeː	ˈeː	0.32
ˈuː	-	0.3
ə	e	0.297
ˈɔː	ˈɑ	0.258
iː	iː	0.25
ˈa	ˈɑ	0.24
ˈæi̯	ˈæ_j	0.234
ˈɛː	ˈæː	0.232
ˈeː	ˈiːy̯	0.231
ˈa	ˈæ	0.223
x	xː	0.216
ˈiː	ˈi	0.189
v	f	0.169
ˈiː	ˈyː	0.162
ˈi	ˈy	0.156
ʃ	ʃː	0.146
k	ʧ	0.145
ˈɛː	ˈe	0.122
p	pː	0.122
ˈi	-	0.113
ˈoː	-	0.108
v	bː	0.108
ˈiː	ˈeːo̯_ɣ	0.101
ə	o	0.101
ˈɛ	ˈɛ	0.096
ˈɛ	ˈiːy̯	0.096
ˈu	ˈy	0.083
ə	-	0.082
n	nː	0.082
ʧ	ʧː	0.079
ɫ	ɫː	0.079
t	tː	0.079
ˈɛː	ˈeo̯	0.071
ˈɔː	ˈæɑ̯	0.069
ˈiː	ˈeːo̯	0.064
l	ɫ	0.061
l	h_l	0.06
