Old Chinese	Old Chinese	probability
ʦʰ	ʦʰ	1.0
ʔ_s	ʦ	1.0
ʔ_lʼ	t	1.0
ʔ_#>	#>	1.0
ʔ	-	1.0
ɯː_ɡ	²⁴	1.0
ɢʷ	x	1.0
ɢ	œ	1.0
ɡʷ	w	1.0
ɡ_#>	#>	1.0
ŋʷ	n_j	1.0
ŋ_s	ŋ_⁵⁵	1.0
ŋ	ŋ	1.0
z	ʦ	1.0
w	ɔ_²⁴	1.0
uː_ʔ	a_w	1.0
uː	a	1.0
tʰ	ʦʰ	1.0
t	t	1.0
sʰ	ʦʰ	1.0
s_#>	#>	1.0
r̥ʰ	tʰ	1.0
r_ɯ	e_j	1.0
r_aː	a	1.0
qʰʷ	-	1.0
qʰ	-	1.0
pʰ	pʰ	1.0
n_ʔ	ŋ_²¹	1.0
n_s	ŋ_⁵⁵	1.0
n_i	n	1.0
m_ʔ	ŋ_²¹	1.0
m_r	m	1.0
m_#>	ŋ_³³_#>	1.0
l̥ʰ	tʰ	1.0
lʼ	tʰ	1.0
kʷ	k_o	1.0
kʰʷ	kʰ_y	1.0
kʰ_l	ʦʰ	1.0
kʰ	kʰ	1.0
k	k	1.0
j	œ	1.0
iː	i	1.0
hʷ	x_w	1.0
h_m	x	1.0
h_l	s	1.0
h	s	1.0
e_u	a_w	1.0
e_d	ɛ	1.0
b	p	1.0
aː_ʔ	u	1.0
aː_ɡ	²⁴	1.0
a_ʔ	y	1.0
<#_ɡ	<#	1.0
<#_ŋ	<#	1.0
<#_s	<#_s	1.0
<#_r	<#_l	1.0
<#_q	<#	1.0
<#_m	<#	1.0
<#	<#_w	1.0
ɡ	k	0.75
oː	ɔ	0.714
r	-	0.667
e	j	0.6
l	-	0.588
a	a	0.556
ɯː	ɛ	0.545
p	p	0.545
m	m	0.5
d	-	0.5
#>	²¹_#>	0.475
o	j	0.444
i	j	0.444
#>	⁵⁴_#>	0.424
aː	ɔ	0.417
eː	j	0.4
e	i_⁵⁴	0.4
n	ŋ	0.389
r	a	0.333
o	y	0.333
n	n	0.333
m	ŋ_⁵⁴	0.333
l	ɛ	0.294
oː	e_²¹	0.286
n	j_ŋ	0.278
i	i	0.278
ɯː	a_j	0.273
p	x	0.273
ɯ	-	0.267
ɡ	-	0.25
u	-	0.25
d	ɛ	0.25
d	t	0.25
aː	u	0.25
o	y_⁴²	0.222
a	ɔ	0.222
a	y	0.222
ɯ	u_²⁴	0.2
ɯ	u	0.2
ɯ	i	0.2
eː	a_j	0.2
eː	a	0.2
eː	-	0.2
u	ɥ	0.188
u	u	0.188
ɯː	ɔ	0.182
p	-	0.182
m	-	0.167
i	y	0.167
aː	w	0.167
aː	a	0.167
ɯ	y	0.133
u	ɔ	0.125
u	œ_ɥ	0.125
u	a_w	0.125
l	w	0.118
i	e	0.111
#>	²⁴_#>	0.068
