American English	Old English	probability
b	b	0.975
d	d	0.931
f	f	0.935
h	h	1.0
i	i	0.63
i	iː	0.244
i	iːy̯	0.126
j	j	1.0
k	k	0.684
k	ʧ	0.226
k	kː	0.062
kʰ	k	0.679
kʰ	ʧ	0.321
l	l	0.941
l	l̥	0.056
m	m	0.913
n	n	0.908
n	nː	0.084
oʊ̯	u	0.461
oʊ̯	-	0.349
oʊ̯	i	0.189
p	p	0.924
p	pː	0.076
pʰ	p	1.0
s	s	1.0
t	t	0.68
t	x_t	0.143
t	ç_t	0.138
tʰ	t	0.934
tʰ	b	0.066
tː	t	1.0
v	v	0.517
v	f	0.262
v	bː	0.22
w	w	0.888
w	ʍ	0.097
z	z	1.0
ð	ð	0.608
ð	d	0.355
ŋ	ŋ	1.0
ə	-	0.511
ə	o	0.252
ə	e	0.119
ə	ɑ	0.082
ɚ	r	0.408
ɚ	e	0.226
ɚ	o	0.188
ɚ	r_e	0.146
ɡ	ɡ	0.991
ɪ	o	0.651
ɪ	e	0.349
ɫ	ɫ	0.533
ɫ	l	0.353
ɫ	o_l	0.064
ɹ	r	0.871
ɹ	r̥	0.053
ɾ	t	1.0
ʃ	ʃ	0.841
ʃ	ʃː	0.159
ʤ	ʤ	1.0
ʧ	ʧ	0.942
ʧ	ʧː	0.058
ˈaɪ̯	ˈi	0.4
ˈaɪ̯	ˈiː	0.31
ˈaɪ̯	ˈyː	0.097
ˈaɪ̯	ˈeːo̯	0.09
ˈaɪ̯	ˈæːɑ̯	0.057
ˈaʊ̯	ˈuː	0.869
ˈaʊ̯	ˈu	0.131
ˈeɪ̯	ˈɑ	0.448
ˈeɪ̯	ˈæ	0.164
ˈeɪ̯	ˈæːɑ̯	0.131
ˈeɪ̯	ˈe_j	0.101
ˈeɪ̯	ˈæɑ̯	0.095
ˈeɪ̯	ˈe	0.061
ˈi	ˈeːo̯	0.24
ˈi	ˈæːɑ̯	0.185
ˈi	ˈeː	0.18
ˈi	ˈiːy̯	0.171
ˈi	ˈæː	0.083
ˈi	ˈe	0.076
ˈoʊ̯	ˈɑː	0.75
ˈoʊ̯	ˈo	0.188
ˈoʊ̯	ˈæɑ̯	0.062
ˈu	ˈoː	0.5
ˈu	ˈeː	0.288
ˈu	ˈeːo̯	0.106
ˈu	ˈiːy̯	0.092
ˈæ	ˈɑ	0.613
ˈæ	ˈæ	0.238
ˈæ	ˈæɑ̯	0.073
ˈɑ	ˈæɑ̯	0.375
ˈɑ	ˈeo̯	0.216
ˈɑ	ˈo	0.154
ˈɑ	ˈɑ	0.122
ˈɑ	ˈæ	0.084
ˈɔ	ˈo	0.634
ˈɔ	ˈeo̯	0.172
ˈɔ	ˈæɑ̯	0.11
ˈɔ	w	0.083
ˈɛ	ˈe	0.28
ˈɛ	ˈæːɑ̯	0.166
ˈɛ	ˈeːo̯	0.126
ˈɛ	ˈæː	0.117
ˈɛ	ˈiːy̯	0.088
ˈɛ	ˈeː	0.063
ˈɛ	ˈɛ	0.061
ˈɛ	ˈeo̯	0.058
ˈɝ	ˈy	0.403
ˈɝ	ˈeo̯	0.215
ˈɝ	ˈo	0.194
ˈɝ	ˈeːo̯	0.117
ˈɝ	ˈi	0.071
ˈɪ	ˈi	0.627
ˈɪ	ˈy	0.206
ˈɪ	ˈeo̯	0.058
ˈʊ	ˈu	0.589
ˈʊ	ˈoː	0.411
ˈʌ	ˈu	0.637
ˈʌ	ˈoː	0.168
ˈʌ	ˈɑː	0.071
ˈʌ	ˈuː	0.058
θ	θ	0.97
