Yiddish	Middle English	probability
ˈʊ_t	ˈoː_d	1.0
ˈɪ_ʀ	ˈeː	1.0
ˈɪ_ɡ	ˈiː_ə	1.0
ˈɛ_ɡ	ˈæi̯	1.0
ˈɔ_ɡ	ˈæi̯	1.0
ˈɔ_f	ˈɛː_p	1.0
ˈa_n	ˈoː	1.0
ʧ	ʃ_ə	1.0
ʦ	t	1.0
ʀ_ˈɪ	r	1.0
ɪ_k	iː	1.0
ɛ_m	m	1.0
ɛ	-	1.0
s_t	s_t	1.0
p	-	1.0
j	j	1.0
h	h	1.0
d_z	s	1.0
a	-	1.0
v	w	0.932
ʀ	r	0.901
m	m	0.899
z	s	0.88
n	n	0.875
ə	ə	0.818
ŋ	ŋ	0.798
ˈɛɪ̯	ˈɔː	0.786
ə_ʀ	r_ə	0.753
f	f	0.696
k	k	0.693
t	d	0.674
ˈʊ	ˈu	0.655
ˈaɪ̯	ˈiː	0.655
ɫ	l	0.62
b	b	0.603
ʃ	ʃ	0.59
s	t_ə	0.552
ɡ	ɡ	0.546
ˈɛ	ˈɛ	0.483
ˈɪ	ˈi	0.472
d	θ	0.464
ˈa	ˈa	0.455
ˈɔɪ̯	ˈɛː	0.432
ʃ	s	0.41
s	t	0.4
b	v	0.397
χ	ç	0.389
ɫ	ɫ	0.38
d	d	0.357
ˈɔɪ̯	ˈuː	0.337
ɡ	ə	0.323
χ	k	0.307
f	p	0.275
t	t	0.272
ˈa	ˈɔː	0.262
ˈaɪ̯	ˈeː	0.261
ˈɔ	ˈu	0.254
ə_ʀ	r	0.247
ˈɪ	ˈiː	0.242
ˈɪ	ˈeː	0.217
ˈɛɪ̯	-	0.214
k	ʧ	0.203
ŋ	n	0.202
ˈʊ	ˈoː	0.198
χ	x	0.197
ˈɔ	ˈɔ	0.186
d	ð	0.178
ˈɛ	ˈɛː	0.172
ˈɛ	ˈi	0.164
ˈɔ	ˈɛː	0.164
ˈɔ	ˈaː	0.131
ˈa	ˈaː	0.13
ˈɛ	ˈeː	0.128
ə	-	0.128
n	-	0.125
z	z	0.12
ˈɔ	ˈoː	0.118
χ	ʧ_ə	0.107
k	-	0.105
m	-	0.101
ˈɔ	ˈa	0.097
ˈɔɪ̯	ˈeː	0.095
ˈa	ˈɛ	0.088
ˈaɪ̯	ˈi	0.084
ˈʊ	-	0.078
ʀ	r_ə	0.071
ˈʊ	ˈɔ	0.07
ˈɪ	-	0.069
ˈɔɪ̯	ˈæi̯	0.068
ˈɔɪ̯	-	0.068
v	ʍ	0.068
ɡ	x	0.067
ɡ	j	0.064
t	θ	0.055
ˈɛ	-	0.053
ə	d_ə	0.053
ˈɔ	-	0.05
