West Flemish	Icelandic	probability
b	b̥	1.0
d	θ	0.359
d	d̥	0.356
d	ð	0.22
d	-	0.053
f	v_ʏ	0.644
f	f	0.341
h	ɣ_ʏ	0.248
h	k	0.163
h	c	0.106
h	ɣ	0.106
h	-	0.096
h_t	ʰt	1.0
j	-	0.263
j	ˈeːi̯	0.229
j	ˈɑːu̯	0.123
k	k	0.36
k	kʰ	0.189
k	ɡ̊_ʏ	0.132
k	cʰ	0.094
k	c	0.054
l	l	0.645
l	l̥	0.272
l	l_ʏ	0.049
l	-	0.035
l_ə	l	1.0
m	m	0.582
m	m_ʏ	0.326
m	p	0.079
n	n	0.387
n	a	0.248
n	-	0.158
n	t_n̥	0.086
n	nː	0.05
n_d	nː	1.0
p	p_ʏ	0.349
p	ʰp	0.142
p	p	0.142
p	v_ʏ	0.088
p	v	0.088
s	s	0.728
s	s_k	0.155
s	v	0.053
s	sː	0.037
s	k_s	0.036
t	t	0.239
t	ð	0.163
t	tʰ	0.127
t	t_ʏ	0.126
t	d̥_ʏ	0.084
v	f	0.708
v	v	0.138
v	-	0.111
v	p	0.04
w	ˈoːu̯	0.37
w	l	0.173
w	ˈɔu̯	0.101
w	l̥	0.101
z	s	0.889
z	s_j	0.103
ç	ɡ̊	0.468
ŋ	ŋ	0.827
ŋ	ɲ	0.089
ŋ	-	0.059
ə	a	0.382
ə	-	0.329
ə	ʏ	0.106
ə	ɪ	0.087
ə	n̥	0.034
ə_l	l	1.0
ɦ	ɡ̊	0.37
ɦ	ɟ̊	0.331
ɦ	ɣ	0.129
ɦ	-	0.106
ɦ	h	0.052
ɦ_ə	ɡ̊	0.468
ɪ	-	0.219
ɾ	r	0.502
ɾ	r̥	0.277
ɾ	ɪ_r̥	0.114
ɾ	-	0.054
ʃ	s	1.0
ʋ	v	0.542
ʋ	kʰ	0.22
ʋ	-	0.171
ʋ	r̥	0.062
ˈeː	ˈɛː	0.315
ˈeː	ˈɛ	0.16
ˈeː	ˈɪː	0.103
ˈeː	ˈɛːi̯	0.101
ˈeː	ˈœː	0.065
ˈi	ˈiː	0.879
ˈi	j	0.102
ˈiə̯	ˈiː	0.383
ˈiə̯	j_ˈoːu̯	0.164
ˈiə̯	ˈʏː	0.112
ˈiə̯	ˈɑːu̯	0.097
ˈiə̯	ˈai̯	0.074
ˈoː	ˈœːy̯	0.308
ˈoː	ˈɔ	0.232
ˈoː	ˈɛːi̯	0.186
ˈoː	ˈi	0.062
ˈoː	ˈa	0.05
ˈu	ˈu	0.311
ˈu	ˈʏ	0.304
ˈu	ˈa	0.225
ˈu	-	0.129
ˈuə̯	ˈoːu̯	0.563
ˈuə̯	ˈaːi̯	0.155
ˈuə̯	ˈai̯	0.102
ˈuə̯	ˈɔu̯	0.077
ˈuə̯	ˈiː	0.076
ˈyː	ˈuː	0.768
ˈyː	ˈi	0.08
ˈyː	ˈʏ	0.08
ˈæ	ˈa	0.358
ˈæ	ˈɛ	0.304
ˈæ	ˈɛː	0.129
ˈæ	ˈɪ	0.092
ˈæ	j	0.065
ˈøː	ˈɛː	0.425
ˈøː	ˈɔː	0.229
ˈøː	ˈʏ	0.123
ˈœ	ˈɪ	0.583
ˈœ	ˈʏ	0.197
ˈœ	ˈoːu̯	0.084
ˈɑ	ˈa	0.312
ˈɑ	ˈɑu̯	0.165
ˈɑ	ˈaː	0.132
ˈɑ	v_ˈaː	0.085
ˈɑ	ˈœ	0.085
ˈɒː	ˈaː	0.247
ˈɒː	ˈa	0.247
ˈɒː	ˈɑːu̯	0.169
ˈɒː	ˈaːu̯	0.07
ˈɒː	ˈɛ	0.07
ˈɔ	ˈɔu̯	0.144
ˈɔ	ˈɪ	0.144
ˈɔ	ˈɔ	0.135
ˈɔ	ˈou̯	0.135
ˈɔ	ˈɑu̯	0.089
ˈɛ	ˈɛ	0.409
ˈɛ	ˈiː	0.2
ˈɛ	ˈɪː	0.129
ˈɛ	ˈɪ	0.078
ˈɛ	ˈɛːi̯	0.075
ˈɛː	j	0.342
ˈɛː	ˈɛːi̯	0.274
ˈɛː	ˈœː	0.158
ˈɛː	ˈɛi̯	0.154
ˈɪ	ˈi	0.372
ˈɪ	ˈɪ	0.234
ˈɪ	-	0.083
ˈɪ	ˈʏ	0.081
ˈɪ	ˈa	0.06
