West Flemish	Icelandic	probability
b	b̥	1.0
v̥	v_ʏ	1.0
z	s	1.0
ɡ̊	ɡ̊	1.0
ʃ	s	1.0
ˈyː	ˈuː	1.0
ˈøː	ˈɔː	1.0
ˈɛ	ˈɛ	1.0
d̥	ð	0.421
k	kʰ	0.351
ɦ	ɡ̊	0.341
ˈiə̯	ˈʏː	0.101
ˈu	ˈu	0.371
ˈu	ˈʏ	0.461
m	m_ʏ	0.342
s	s	0.852
t	t	0.502
ŋ	r̥_#>	0.122
ə	ɪ	0.182
ɦ̥	-	0.682
ɾ	ɪ_r̥	0.102
ʋ	-	0.132
ˈuə̯	ˈoːu̯	0.772
ˈœ	ˈɪ	0.732
ˈɑ	ˈɛ	0.052
d̥	d̥_ʏ	0.23
l	l	0.713
n	nː	0.053
v	v	0.143
ˈiə̯	j	0.3
ˈoː	ˈɔ	0.443
ˈɒː	ˈaː	0.313
ˈɒː	ˈɑːu̯	0.43
ˈɔ	-	0.163
ˈɛː	j	0.183
ˈɪ	ˈi	0.523
d̥	ð_ʏ	0.134
h	-	0.384
t	tʰ	0.214
w	l	0.424
ŋ	ŋ	0.184
ŋ	ŋ_ɡ̊	0.684
ə	-	0.074
ʋ	kʰ_v	0.064
ˈeː	ˈɪː	0.074
ˈeː	ˈɛ	0.104
ˈiə̯	j_ˈuː	0.114
ˈæ	ˈa	0.264
ˈɔ	ˈou̯	0.34
k	cʰ	0.05
k	ʰk	0.145
l	l̥	0.265
p	p_ʏ	0.215
ɾ	r	0.445
ʋ	v	0.805
ˈeː	ˈɛː	0.435
ˈi	ˈɛː	0.055
ˈi	ˈiː	0.945
d	θ	0.366
d̥	-	0.056
h	k	0.06
h	c	0.556
n	a	0.306
t	t_ʏ	0.216
w	l̥	0.576
ə	ʏ	0.196
ɦ	-	0.346
ɾ	-	0.066
ˈɑ	ˈaː	0.076
ˈɑ	ˈɑu̯	0.196
ˈɒː	ˈɔː	0.06
d	ð	0.157
d	d̥	0.477
n	n̥	0.07
n	n	0.337
ɦ	ɣ	0.057
ɦ	ɟ̊	0.257
ɾ	r_t	0.07
ɾ	r̥	0.307
ˈeː	j	0.117
ˈeː	ˈɛːi̯	0.27
ˈiə̯	ˈiː	0.327
ˈɒː	ˈa	0.107
ˈɔ	ˈʏ	0.497
ˈɪ	ˈɪ	0.477
k	k_ʏ	0.278
m	m	0.658
n	-	0.188
s	s_k	0.148
v	f	0.748
ə	a	0.548
ɦ̥	ɣ	0.318
ˈiə̯	j_ˈoːu̯	0.158
ˈu	ˈa	0.168
ˈuə̯	ˈaːi̯	0.228
ˈœ	ˈʏ	0.268
ˈɑ	ˈaːi̯	0.088
ˈɛː	ˈɛːi̯	0.258
d̥	d̥	0.159
k	k	0.149
p	ʰp	0.269
p	p	0.469
v	-	0.109
ˈoː	ˈɛːi̯	0.229
ˈoː	ˈœːy̯	0.329
ˈæ	ˈɛ	0.689
ˈɑ	ˈœ	0.179
ˈɑ	ˈa	0.409
ˈɒː	<#_h	0.059
ˈɛː	ˈɛi̯	0.559
