Asturian	Spanish	probability
b	b	1.0
d	d	1.0
f	f	1.0
k	k	1.0
o	o	1.0
p	p	1.0
s	s	1.0
t	t	1.0
w	w	1.0
ð	ð	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ʧ	ʧ	1.0
ˈa	ˈa	1.0
ˈu	ˈu	1.0
β	β	1.0
θ	θ	1.0
ʝ	ʝ	0.181
j	j	0.882
ɲ	n	0.182
ɾ	ɾ	0.992
ʎ	ʝ	0.162
e	ɾ_e	0.063
i	i	0.813
l	l	0.963
ŋ	n	0.553
ʃ	ɟ͡ʝ	0.053
ʃ	θ	0.203
ʃ	x	0.743
m	m_b	0.14
r	ɾ	0.105
r	r	0.895
ˈi	ˈi_x	0.055
ˈi	ˈi	0.945
ˈo	w_ˈe	0.235
ˈo	ˈo	0.765
a	a	0.986
m	m	0.86
u	o	0.96
e	e	0.897
i	e	0.187
ŋ	ŋ	0.447
ʎ	l	0.67
j	ˈi	0.118
ɲ	ɲ	0.818
ˈe	ˈe	0.968
n	n	0.99
ʎ	ɟ͡ʝ	0.169
ʝ	x	0.819
