Occitan	Campidanese	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_b	1.0
<#_ɥ	<#_ˈo	1.0
<#_ʤ	<#_b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈɔ	<#_ˈo	1.0
a_l	a_l	1.0
a_n	a_n	1.0
a_s	a_s	1.0
a_ð	a_ð	1.0
i	ʧ_i	1.0
j	-	1.0
j_s	ʃː_i	1.0
j_ɾ	ð	1.0
j_ˈɛ	ˈe	1.0
k_#>	u	1.0
m	m	1.0
m_b	m_b	1.0
r_k	r_k	1.0
s_#>	z	1.0
s_k	s_k	1.0
s_p	s_p	1.0
t_#>	ð_u_#>	1.0
t_ˈa	t_ˈa	1.0
w_#>	#>	1.0
w_t	t	1.0
z	ʒ	1.0
ð_ɔ	ð_a	1.0
ŋ	ŋ	1.0
ɡ	ɡ_w	1.0
ɣ	ɣ	1.0
ɥ	-	1.0
ɥ_ˈɔ	ˈo_ɣ	1.0
ɥ_ˈɛ	ˈo	1.0
ɲ	n_ʤ	1.0
ʎ	lː	1.0
ʤ	ʤ	1.0
ʤ_e	ɣ	1.0
ʧ	t	1.0
ˈa_j	ˈa	1.0
ˈa_n	ˈa_n	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_k	ˈi_k	1.0
ˈi_n	ˈi_n	1.0
ˈu_n	ˈo_n	1.0
ˈy	ˈu	1.0
ˈy_n	ˈu_n	1.0
ˈɔ_r	ˈo_r	1.0
#>	e_#>	0.061
<#_a	<#_a	0.571
<#_s	<#_ʧ	0.231
l	ɖː	0.171
n	nː	0.231
s	z_ĕ	0.111
s	-	0.111
s	s	0.611
ɔ_#>	#>	0.071
ˈa	r_ˈa	0.1
ˈu	ˈo_n	0.1
ˈɛ	j	0.061
ˈɛ	ˈi	0.121
#>	i_#>	0.412
<#_e	a	0.2
e_#>	e_#>	0.182
r	r	0.632
ɾ	e_r	0.32
ˈa	ˈa	0.72
ˈi	ˈi	0.542
<#_k	<#	0.133
a	-	0.3
e	ˈe	0.133
e_#>	i_#>	0.273
l	r	0.073
l	l	0.463
r	rː	0.263
t	d	0.143
u	ˈo	0.143
ˈe	ˈe_n	0.083
ˈi	ˈu	0.083
ˈi	i_r	0.083
ˈɔ	ˈo_l	0.133
<#_s	<#	0.154
<#_ɡ	<#_ɡ	0.4
u	-	0.214
ɾ_ˈa	r_ˈa_n	0.4
ʦ	ʒ	0.714
ˈu	ˈo	0.4
<#_s	<#_s	0.615
d_ɾ	i	0.5
d_ɾ	e_r	0.5
k	k	0.5
k	ɣ	0.5
l	-	0.195
n_#>	n_t_i	0.5
n_#>	n_t_u_#>	0.5
r	-	0.105
ŋ_k	ŋ_ɡ	0.5
ŋ_k	ŋ_k	0.5
ɾ_ˈe	r_ˈe	0.5
ɾ_ˈe	r_ˈi	0.5
ˈe	ˈi	0.5
ˈi	ˈi_r	0.125
ˈi_l	ˈi_ɖː	0.5
ˈi_l	ˈi_lː	0.5
ˈu	ˈu	0.5
β	o	0.25
β	β	0.75
#>	u_#>	0.496
<#_ɡ	<#_b	0.6
e	e	0.6
e_#>	r_i_#>	0.136
u	u	0.286
w	ɣ	0.286
w	v	0.286
ɾ_ˈa	r_ˈa	0.6
ʦ	ʦ	0.286
<#_k	<#_k	0.867
a	a	0.7
e	i	0.267
s	o_z_ŏ	0.167
t	t	0.857
u	o	0.357
ˈe	ˈe	0.417
ˈi	ˈi_n	0.167
ˈɔ	ˈo	0.867
<#_e	<#_i	0.8
ɾ	r	0.68
ˈa	ˈa_r	0.18
ˈɛ	ˈe	0.818
<#_a	<#	0.429
e_#>	u_#>	0.409
n	n	0.769
w	β	0.429
ɔ_#>	a_#>	0.929
