Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ	ˈu	1.0
ˈœʏ̯	ˈɑu̯	1.0
ˈœ	ˈu	1.0
ˈæː	ˈe	1.0
ˈæʉ̯	ˈɑu̯	1.0
ˈæɪ̯	ˈɑi̯	1.0
ˈæ	ˈe	1.0
ˈiː_n	ˈiː_n	1.0
ˈiː_#>	u_n_#>	1.0
ʰpː	pː	1.0
ʰkː	ŋ_k	1.0
ʉ	u_ð	1.0
ɾ_s	sː	1.0
ɾ_n	r_n	1.0
ɾ_#>	r_#>	1.0
ɲ	ŋ	1.0
ɪ	iː	1.0
ə_n	n	1.0
ə_#>	j_ɔ̃ː_#>	1.0
ə	-	1.0
ŋː	ɡ	1.0
ŋ	a	1.0
çː	-	1.0
v	w	1.0
tʰ	θ	1.0
sː	n_s	1.0
pʰ	p	1.0
p	p	1.0
mː	m	1.0
m_j	mː	1.0
kʰ_ʋ	xʷ	1.0
j_ˈœ	ˈe	1.0
h	x	1.0
f	ɸ	1.0
e_#>	#>	1.0
b	b	1.0
<#_ˈɛ	<#_ˈɑi̯	1.0
<#_ˈæɪ̯	<#_ˈɑi̯	1.0
<#_ʋ	<#_w	1.0
<#_ɾ	<#_r	1.0
<#_ɡ	<#_ɣ	1.0
<#_ç	<#_k	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
s	s	0.926
ˈɑ	ˈɑ	0.885
ˈʉ	ˈu	0.882
ˈɑː	ˈɑ	0.846
ɾ	r	0.842
ɡː	ɣ_j	0.8
ɑ	ɑ_n	0.8
m	m	0.8
d	d	0.783
l	l	0.781
kʰ	k	0.778
t	t	0.774
ˈɪ	ˈi	0.769
n	n	0.76
ˈyː	ˈeu̯	0.714
ˈuː	ˈɔː	0.667
ˈʏ	ˈu	0.643
ˈɔ	ˈu	0.636
ˈʉː	ˈuː	0.632
ˈiː	ˈiː	0.615
ʂ	s_k	0.583
<#	<#_w	0.583
ʰtː	t	0.556
ˈøː	ˈɔː	0.545
j	ɣ	0.455
ʰtː	x_t	0.444
ɡ	ɣ_ɑ	0.421
ɡ	ɣ	0.421
<#	<#_x	0.417
nː	nː	0.412
#>	ɑ̃_#>	0.397
#>	z_#>	0.397
ˈɛ	ˈɑ	0.389
ˈoː	ˈɛː	0.389
ˈiː	ˈi	0.385
ˈeː	ˈe	0.385
ʋ	β	0.353
k	k	0.353
ˈɛ	ˈe	0.333
ç	θ	0.333
ç	k	0.333
ç	-	0.333
lː	lː	0.333
ʋ	w	0.294
e	ɔ̃ː	0.294
ˈyː	-	0.286
ˈøː	-	0.273
j	ˈe	0.273
ˈʉː	ˈeu̯	0.263
ʂ	s	0.25
ʋ	β_ɑ	0.235
nː	n_θ	0.235
nː	n_d	0.235
k	k_ɑ	0.235
e	-	0.235
ˈɪ	ˈi_ŋ	0.231
ˈeː	ˈi	0.231
ˈɛ	ˈi	0.222
ˈuː	-	0.222
lː	l_θ	0.222
lː	l_d	0.222
lː	l	0.222
kʰ	kʷ	0.222
ˈʏ	-	0.214
ɡː	jː	0.2
m	m_ɑ	0.2
ˈɔ	ˈɑ_x	0.182
ˈɔ	-	0.182
ˈøː	ˈɑi̯_w	0.182
j	l	0.182
k	k_s	0.176
e	ɔːː	0.176
ˈoː	ˈɑi̯	0.167
ʂ	s_ˈe	0.167
t	t_ɑ	0.161
n	n_ɑ	0.16
ɡ	k	0.158
l	l_ɑ	0.156
ˈɑː	ˈɑ_ð	0.154
ˈeː	ˈe_w	0.154
ˈeː	-	0.154
ˈʏ	ˈe	0.143
#>	ɑ_z_#>	0.134
d	ð	0.13
ˈʉ	ˈu_ŋ	0.118
ʋ	i_ɸ	0.118
nː	n	0.118
k	k_i	0.118
k	-	0.118
e	u	0.118
ˈɑ	ˈɑ_ŋ	0.115
ˈuː	ˈu	0.111
ˈoː	ˈɑː	0.111
ˈoː	ˈɑ_x	0.111
ˈoː	ˈɑ	0.111
ˈoː	ˈe	0.111
ˈʉː	-	0.105
ɑ	ɑ	0.1
j	ɡʷ	0.091
ɾ	i	0.088
e	ɑ	0.088
d	θ	0.087
n	ɔːː	0.08
ˈeː	ˈeː	0.077
s	s_w	0.074
ɾ	r_ɑ	0.07
t	t_i	0.065
l	ɑ_l	0.062
e	ɛː	0.059
ˈɛ	ˈĩː	0.056
