Proto-Slavic	Proto-Slavic	probability
̌_r	aː_̌	1.0
̂_l	̂	1.0
̂	̂	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤ	ʒ̊	1.0
ʒ	ʒ	1.0
ʎ	l	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɨː	iː	1.0
ɛː_ˀ	i_̂	1.0
z	z	1.0
x	x	1.0
v_ŭ_#>	ʋ_#>	1.0
v	ʋ	1.0
ŭ_j_ĭ_#>	#>	1.0
ŭ_#>	#>	1.0
uː	uː	1.0
u	u	1.0
tʲ	c	1.0
t_ŭ_#>	t_#>	1.0
t_ĭ_#>	t_#>	1.0
s_ŭ_#>	s_#>	1.0
s	s	1.0
rʲ	r	1.0
r_d	d̥	1.0
p	p	1.0
õː	uː	1.0
o_l	l_aː	1.0
o_d	o_d	1.0
o_#>	o_#>	1.0
n	n	1.0
m_ĭ	a_n	1.0
m	m	1.0
l_ŭ_#>	l_#>	1.0
l_a	l_a	1.0
j	-	1.0
ĭː	r̩_t	1.0
iː	iː	1.0
i_#>	i_#>	1.0
ẽː	eː	1.0
ẽ	e	1.0
eː	-	1.0
e_#>	i_#>	1.0
d_ŭ	d̥	1.0
aː	aː	1.0
a_#>	a_#>	1.0
a	a	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
#>	̂_#>	1.0
k	k	0.923
t	t	0.875
ˀ	̂	0.778
d	d	0.769
̌_#>	̂_#>	0.765
̌	̂	0.759
e	e	0.75
<#	<#_j	0.75
ɡ	ɡ	0.737
r	r	0.737
l	l	0.733
b	b	0.727
ɨ	i	0.667
ŭ	-	0.583
r_ŭ	r	0.571
ĭ	-	0.533
ɛː	iː	0.5
o	o	0.481
i	i	0.455
r_ŭ	a_r	0.429
oː	oː	0.429
ŭ	a	0.417
i	iː	0.364
ɨ	iː	0.333
oː	r_aː	0.286
oː	l_aː	0.286
b	b̥	0.273
l	-	0.267
r	-	0.263
o	oː	0.259
ɛː	i	0.25
<#	<#_z	0.25
̌	̌	0.241
̌_#>	#>	0.235
d	-	0.231
ˀ	̌	0.222
ĭ	a	0.2
i	aː	0.182
ĭ	r̩	0.167
e	eː	0.167
ɡ	ɡ̊	0.158
ɛː	i_̂	0.125
ɛː	e	0.125
t	-	0.125
o	r	0.111
ɡ	-	0.105
ĭ	uː	0.1
e	e_̂	0.083
k	-	0.077
o	o_̂	0.074
o	-	0.074
