Ukrainian	Slovak	probability
bʲ	b	1.0
e	-	1.0
j	j	1.0
kʲ	k	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
rʲ	r	1.0
sʲ	s	1.0
tʲ	c	1.0
w	ʋ	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ʃ	ʃ	1.0
ʊ	ˈu	1.0
ʋʲ	ʋ	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ˈɛ	ˈɛ	1.0
ˈɪ	ˈi	1.0
nʲ	ɲ	0.91
ɔ	ɪ̯ˈɛ	0.061
ʋ	v	0.231
ˈi	ˈa	0.091
d	d	0.562
i	ɪ̯ˈɛ	0.492
k	k	0.922
r	ˈr̩	0.212
ɛ	ˈɛ	0.422
ˈu	ˈuː	0.42
ˈɔ	ɔ	0.2
d	t	0.193
lʲ	ɫ	0.073
ɦ	x	0.343
ɫ	d_ɫ	0.073
ˈɔ	ˈɔ	0.523
lʲ	l	0.4
s	s	0.974
t	c	0.24
ɐ	ˈa	0.124
ɔ	ɔ	0.364
ʧ	ʧ	0.664
ˈi	ˈɛ	0.454
b	b	0.45
b	p	0.55
d	ɟ	0.245
ʒ	ʃ	0.325
ʒ	ʒ	0.675
ˈɑ	ˈa	0.405
ˈɑ	a	0.595
t	t	0.76
ʧ	c	0.336
lʲ	ʎ	0.527
ɔ	ˈɔ	0.377
ɦ	ɦ	0.657
ˈi	ɛ	0.147
ˈɔ	ˈaː	0.07
ˈɔ	ˈa	0.207
k	-	0.078
r	r	0.788
ɐ	a	0.778
ɛ	ɛ	0.578
ɫ	ɫ	0.398
ˈu	ˈu	0.58
i	-	0.129
i	ɛ	0.379
nʲ	n	0.09
ɐ	-	0.099
ɔ	ˈa	0.099
ɔ	-	0.099
ɫ	l	0.529
ʋ	ʋ	0.769
ˈi	ɪ̯ˈɛ	0.119
ˈi	ˈɔ	0.189
