Old Church Slavonic	Old Church Slavonic	probability
ʧ	ʧ	1.0
ʊ_ˈ	ɤ_ˈ	1.0
ʊ_#>	#>	1.0
ʃ	ʃ	1.0
ɡ_ʊ	ɡ̊	1.0
ɛ̃	ɛ	1.0
ɛ_ˈ	ɛ_ˈ	1.0
ɛ_l	ɛ_l	1.0
ɔ_#>	o_#>	1.0
ɑ_#>	ɐ_#>	1.0
x_ʊ_#>	x_#>	1.0
x	x	1.0
v_ʊ	f	1.0
u_ˈ	u	1.0
u	u	1.0
t_ɪ_#>	t_#>	1.0
s_ʊ_#>	s_#>	1.0
s	s	1.0
rʲ	r	1.0
r_ʊ_#>	r_#>	1.0
r_ʊ	ɐ_r	1.0
r_ɪ	ɤ	1.0
r_æ	r_ɛ	1.0
r	r	1.0
n_ʊ_#>	n_#>	1.0
m_ɪ	ɛ_m	1.0
m	m	1.0
l_ʊ_#>	ɫ_#>	1.0
l_ɪ	ɤ	1.0
k_ʊ_#>	k_#>	1.0
k	k	1.0
j	j	1.0
d_ʊ	d̥	1.0
d_æ	dʲ	1.0
d	d	1.0
a	a	1.0
<#_ɔ	<#_o	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
t	t	0.952
ˈ_#>	ˈ_#>	0.905
p	p	0.9
n	n	0.889
ɡ	ɡ	0.875
z	z	0.875
ʦ	ʦ	0.857
ɑ	a	0.829
ˈ	ˈ	0.826
v	v	0.8
i	i	0.8
ɛ	ɛ	0.786
ʒ	ʒ	0.778
ɯ	i	0.778
ɔ̃	ɤ	0.778
ɔ	ɔ	0.722
#>	ˈ_#>	0.714
b	b	0.692
æ	a	0.682
l	ɫ	0.613
ʊ	-	0.571
ɪ	-	0.52
t_i	ɐ	0.5
t_i	j_ɐ	0.5
ʊ	ɐ	0.429
æ	ɛ	0.318
ɔ	o	0.278
b	b̥	0.231
ʒ	ʒ̊	0.222
ɯ	-	0.222
ɔ̃	ɐ	0.222
ɛ	ɛ_ˈ	0.214
ɪ	ɛ	0.2
ɪ	ɐ	0.2
v	vʲ	0.2
l	lʲ	0.194
ʦ	ʦʲ	0.143
#>	n_#>	0.143
#>	k_#>	0.143
ˈ	-	0.138
i	i_ˈ	0.133
l	l	0.129
ɡ	-	0.125
z	z̥	0.125
ɑ	ɐ	0.122
n	nʲ	0.111
p	pʲ	0.1
ˈ_#>	#>	0.095
ɪ	ɤ	0.08
b	bʲ	0.077
i	rʲ	0.067
l	-	0.065
