Cantonese	Cantonese	probability
⁵⁵	⁵³	1.0
⁵	⁵⁵	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʊ	o	1.0
ʃ	ɕ_j	1.0
ɪ_ŋ	i_n	1.0
ɪ	ə	1.0
ɥ	-	1.0
ɔː_ŋ	ɑ̃	1.0
ɔː_n	ø	1.0
ɔː_k̚	o_ʔ	1.0
ɔː_j	e	1.0
ɐ_w	ɜ	1.0
ɐ_j	i	1.0
œː_ŋ	ã	1.0
ŋ̍	ŋ̍	1.0
¹³	²³	1.0
³⁵	³⁴	1.0
³³	³⁴	1.0
²¹	²³	1.0
²²	²³	1.0
²	¹²	1.0
u	o	1.0
pʰ	b	1.0
p	p	1.0
l	l	1.0
kʷʰ	ʥ	1.0
kʰ	-	1.0
j_iː	nʲ_i	1.0
iː_n	i	1.0
e	i	1.0
aː_n	e	1.0
aː_m	ø	1.0
<#_w	<#_ɦ	1.0
<#_pʰ	<#	1.0
<#_j	<#	1.0
k̚	ʔ	0.857
³	⁵⁵	0.8
m	m	0.786
ɔː	u	0.714
aː	a	0.692
tʰ	tʰ	0.667
ŋ	ŋ	0.647
n	n	0.625
iː	z̩	0.615
ʧʰ	ʦʰ	0.6
ɛː	-	0.6
uː	-	0.6
w	ɔ	0.571
o_w	ɔ	0.571
t̚	ʔ	0.545
ɵ	ə	0.5
ɵ	-	0.5
t	t	0.5
t	d	0.5
f	f	0.5
s	s	0.471
t̚	ɪ_ʔ	0.455
j	-	0.45
ʦʰ	ʦʰ	0.444
k	ʨ	0.444
k	k	0.444
w	ɤ	0.429
o_w	u	0.429
ʧʰ	ʑ	0.4
ɛː	o	0.4
yː	ɥ	0.4
uː	u	0.4
iː	j	0.385
ʦʰ	z	0.333
tʰ	d	0.333
ɐ	ə	0.304
s	ɕ	0.294
ɔː	w	0.286
h	ɦ	0.267
h	kʰ	0.267
h	h	0.267
j	ɦ	0.25
s	z	0.235
ʦʰ	ʨʰ	0.222
ɐ	j	0.217
m	-	0.214
³	⁵	0.2
yː	ø	0.2
yː	i	0.2
yː	-	0.2
j	nʲ	0.2
h	ʨʰ	0.2
ɐ	i	0.174
ɐ	-	0.174
n	-	0.167
f	v	0.167
f	kʰ	0.167
f	h	0.167
aː	o	0.154
aː	-	0.154
k̚	o_ʔ	0.143
ɐ	y	0.13
n	ø	0.125
ŋ	ɑ̃	0.118
ŋ	n	0.118
ŋ	ã	0.118
k	ɡ	0.111
j	e	0.1
n	nʲ	0.083
