Swiss German	Old High German	probability
χː	xː	1.0
χ	x	1.0
ˈɒ	ˈɑ	1.0
ˈøː	ˈoː	1.0
ˈø	-	1.0
ˈæː	ˈɛ	1.0
ˈæi̯	ˈei̯	1.0
ˈyə̯	ˈuo̯	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈuo̯	1.0
ˈo	ˈo	1.0
ˈiː	ˈiː	1.0
ˈi	ˈi	1.0
ˈeː	ˈeː	1.0
ʋ_ˈø	w	1.0
ʃː	s_k	1.0
ɣ̊	kʰ	1.0
æ	ɛ	1.0
v̥	f	1.0
t_ə	t_ɛ	1.0
t_r	t_r	1.0
t	t	1.0
s	s	1.0
r_n	r_n	1.0
p͡f	p͡f	1.0
p	p	1.0
n_d̥	n_t	1.0
m_ə	m_o	1.0
lː	lː	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
b̥	b	1.0
r	r	0.986
ʋ	w	0.981
l	l	0.98
m	m	0.944
ˈu	ˈu	0.9
ˈau̯	ˈou̯	0.9
ˈiə̯	ˈio̯	0.887
ʦ	ʦ	0.887
ɡ̊	ɡ	0.842
fː	f	0.796
ʃ	s	0.764
z̥	s	0.752
n	n	0.735
ˈe	-	0.662
ɡ̊ː	kː	0.635
ˈæ	ˈɛ	0.632
k͡χ	kː	0.614
tː	t	0.608
ˈɒː	ˈɑ	0.598
ʒ̊	s	0.567
ˈy	ˈu	0.561
sː	s̻ː	0.515
ˈoː	ˈoː	0.447
ə	ɑ	0.434
ʒ̊	s_k	0.433
i	i	0.415
ŋ	ŋ	0.412
ŋ	ŋ_ɡ	0.403
ˈɒː	ˈɑː	0.402
ˈyː	ˈio̯	0.394
tː	tː	0.392
k͡χ	k	0.386
ˈyː	ˈiu̯	0.376
ɡ̊ː	kː_ɑ	0.365
ˈe	ˈe	0.338
ˈoː	ˈɑː	0.333
i	ɑ	0.292
i	u	0.292
sː	s̻	0.286
n	nː	0.265
ə	ɑ_n	0.255
ˈy	ˈi	0.252
z̥	s̻	0.248
ʃ	i_s	0.236
ˈyː	-	0.23
ˈoː	ˈo	0.22
fː	fː	0.204
sː	s̻_i	0.199
ˈæ	ˈɑ	0.187
ˈy	ˈiu̯	0.187
ŋ	n_t	0.185
ˈæ	ˈe	0.181
ə	e_n	0.12
ˈiə̯	ˈie̯	0.113
ʦ	ʦː	0.113
ˈu	-	0.1
ˈau̯	ou̯	0.1
ɡ̊	-	0.097
ɡ̊	ɡ_ɑ	0.061
ə	-	0.056
m	mː	0.056
