American English	Middle English	probability
θ	θ	1.0
ˈaʊ̯	ˈuː	1.0
ˈaɪ̯	ˈiː	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ʔ	t	1.0
ʃ	ʃ	1.0
ɾ	t	1.0
ɹ_n	r_n	1.0
ɪ	i	1.0
ɡ	ɡ	1.0
z	z	1.0
v	v	1.0
t_i	eː	1.0
t	t	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
oʊ̯	ɔu̯	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
j_ˈu	ˈɛu̯	1.0
j	j	1.0
i	iː	1.0
d_ɹ	d_r	1.0
d	d	1.0
b	b	1.0
ɹ	r	0.958
f	f	0.957
n	n	0.925
ˈɪ	ˈi	0.903
h	h	0.9
ə	ə	0.892
w	w	0.888
ˈoʊ̯	ˈɔː	0.832
ŋ	ŋ	0.831
ˈʌ	ˈu	0.729
k	k	0.712
ˈɔ	ˈɔ	0.667
ˈɝ	ˈu_r	0.66
ɫ	ɫ	0.638
ˈi	ˈeː	0.625
ˈu	ˈoː	0.605
ˈɛə̯	ˈɔː	0.6
ð	ð	0.558
ˈæ	ˈa	0.543
ˈɛ	ˈɛ	0.538
ˈʊ	ˈu	0.5
ˈʊ	ˈoː	0.5
ð	d_ə	0.442
ˈeɪ̯	ˈaː	0.43
ˈɑ	ˈa	0.41
ˈʌɪ̯	ˈiː	0.4
ˈʌɪ̯	ˈi_ç	0.4
ˈɛə̯	ˈa	0.4
ˈeɪ̯	ˈæi̯	0.4
ˈi	ˈɛː	0.375
ɚ	r	0.371
ˈɛ	ˈɛː	0.347
ɚ	ə_r	0.347
ˈɝ	r	0.34
k	k_ə	0.288
ɚ	r_ə	0.282
ˈu	-	0.251
ˈæ	-	0.23
ɫ	l	0.211
ˈʌɪ̯	ˈiː_ç	0.2
ˈɑ	ˈɔ	0.181
ˈeɪ̯	-	0.17
ŋ	n_ɡ	0.169
ˈɔ	ˈa	0.167
ˈɔ	-	0.167
ˈɑ	ˈɛ	0.161
ˈʌ	ˈoː	0.155
ˈæ	ˈa_ɫ	0.155
ɫ	l_ə	0.151
ˈu	ˈiu̯	0.144
ˈɑ	ˈaː	0.125
ˈɑ	ˈɔː	0.123
ˈɛ	ˈeː	0.114
w	ʍ	0.112
ə	ɛ	0.108
h	h_ˈaː	0.1
ˈɪ	-	0.097
ˈoʊ̯	ˈɔu̯	0.084
ˈoʊ̯	-	0.083
ˈʌ	ˈɔː	0.074
ˈæ	ˈau̯	0.073
n	n_ə	0.05
