Western Lombard	Campidanese	probability
ã	a	1.0
n	n	1.0
w	w	1.0
ɡ	ɡ	1.0
ˈaː	ˈa	1.0
ˈãː	ˈa_n	1.0
ˈĩː	ˈi	1.0
ˈo	ˈo	1.0
ˈũː	ˈo_n	1.0
ˈy	ˈu	1.0
ˈø	ˈo	1.0
ˈøː	ˈo	1.0
ˈɛ̃ː	ˈe	1.0
a	a	0.911
j	-	0.1
u	u	0.141
ʋ	-	0.181
ʤ	b	0.341
ˈe	ˈe	0.651
ˈɛ	ˈi	0.071
e	o	0.132
f	β_u	0.142
r	-	0.072
r	r_i	0.102
ʧ	j_u	0.212
ʧ	ʧ	0.622
ˈɔ	ˈa	0.132
b	b	0.893
d	-	0.203
d	d	0.433
e	i	0.13
f	-	0.103
j	j	0.103
k	k	0.763
l	l_u	0.123
m	m_i	0.173
r	r_u	0.093
r	r	0.733
ʃ	-	0.63
ˈa	ˈa_i	0.053
ˈa	ˈa	0.803
ˈyː	ˈo	0.813
d	ð	0.364
i	e	0.374
p	p_u	0.114
s	ʃː_i	0.074
s	ʒ_i	0.174
t	t_e	0.074
u	o	0.784
ɲ	nː	0.64
ˈẽː	ˈi	0.374
ˈu	ˈo	0.304
k	ɣ_u	0.135
l	-	0.135
ˈa	ˈa_r	0.145
ˈi	ˈi	0.825
a	e	0.056
f	f	0.756
i	i	0.626
p	p	0.886
t	n_t	0.146
u	i	0.076
ʧ	t_i	0.166
ˈẽː	ˈe	0.626
ˈu	ˈu	0.696
b	-	0.107
m	m	0.827
ɲ	n	0.237
ʃ	s	0.37
ˈyː	ˈu	0.187
e	e	0.738
j	ʣ_u	0.138
j	r	0.658
k	-	0.058
s	s	0.688
ʋ	β	0.08
ʋ	j	0.08
ʋ	b	0.658
ˈi	ˈi_ʣ	0.138
ˈɔ	ˈo	0.868
l	ɖː_u	0.139
l	l	0.519
t	t_u	0.079
t	t	0.639
ʤ	j	0.659
ˈe	ˈi	0.349
ˈɛ	ˈe	0.929
