Phone1	Phone2	Surprisal
a	a	0.0
b	b	0.0
bʲ	bʲ	0.0
b̥	b̥	0.0
d	d	0.0
d̥	d̥	0.0
e	-	0.0
i	i	0.589
i	ɨ	1.577
j	j	0.303
j	-	2.402
k	k	0.0
kʲ	kʲ	0.0
l	l	0.0
m	m	0.392
m	-	2.072
mʲ	mʲ	0.0
n	n	0.0
o	ˈɛ	0.0
p	p	0.0
pʲ	pʲ	0.0
s	s	0.0
t	t	0.074
t	-	4.323
u	u	0.0
w	w	0.979
w	v	1.15
w	f	5.544
w	-	5.604
x	x	0.809
x	k	1.975
x	ɡ̊	2.515
xʲ	x	0.0
z	z	0.0
z̥	z̥	0.0
ɔ	ɔ	0.264
ɔ	ɛ	2.58
ɛ	e	0.703
ɛ	ɛ	1.374
ɥ	vʲ	0.31
ɥ	-	2.369
ɦ	ɡ	0.244
ɦ	-	2.682
ɪ	ɨ	0.143
ɪ	-	3.406
ɲ	ɲ	0.238
ɲ	nʲ	2.715
ʀ	r	0.185
ʀ	ʂ	3.051
ʀʲ	rʲ	0.0
ʃ	ɕ	1.027
ʃ	-	1.532
ʃ	t͡ʂ	2.612
ʒ	ʐ	0.398
ʒ	ʒ	2.053
ʒ̊	ʐ̊	0.0
ʥ	ʑ	0.0
ʦ	ʦ	0.0
ʧ	ʦ	0.0
ʨ	ɕ	0.178
ʨ	ʨ	3.106
ˈa	ˈa	0.407
ˈa	ˈɪ	2.694
ˈa	-	3.457
ˈe	ˈɪ	0.789
ˈe	ˈa	2.158
ˈe	ˈe	2.343
ˈi	ˈi	0.369
ˈi	ˈɨ	2.147
ˈo	ˈɔ	0.558
ˈo	ˈɛ	1.641
ˈu	ˈu	0.152
ˈu	-	3.324
ˈɔ	ˈɔ	1.009
ˈɔ	ˈɛ	1.635
ˈɔ	ˈa	3.25
ˈɔ	ɨ	3.715
ˈɔ_x	ˈɔ_k	0.0
ˈɛ	ˈe	1.246
ˈɛ	ˈɛ	1.656
ˈɛ	ˈa	2.718
ˈɛ	ˈɪ	3.198
ˈɪ	ˈɨ	0.455
ˈɪ	-	1.887
